material_id,formula_pretty,crystal_system,space_group,number,nsites,volume,density,density,energy,energy_per_atom,A_site,B_site,X_site,energy_above_hull,k_voigt,k_reuss,k_vrh
mp-1183115,AcAlO3,Cubic,Pm-3m,221,5,57.4514132376898,8.72823008186665,8.54677368663323,-39.09924288,-7.819848576,Ac,Al,O,0,,,
mp-1183052,AcBO3,Cubic,Pm-3m,221,5,51.5481264078606,9.20687860580169,9.20687860674916,-35.95268513,-7.190537026,Ac,B,O,0.792472744666666,,,
mp-866101,AcCrO3,Cubic,Pm-3m,221,5,61.3628450402608,8.84878804672862,8.69648776439053,-42.17972925,-8.43594585,Ac,Cr,O,0,,,
mp-864606,AcCuO3,Cubic,Pm-3m,221,5,59.9293866568102,9.38047093807459,9.16094865738273,-33.10720375,-6.62144075,Ac,Cu,O,0,,,
mp-861502,AcFeO3,Cubic,Pm-3m,221,5,61.7973106325867,8.8899994659195,8.88749944089024,-39.36239622,-7.872479244,Ac,Fe,O,0,,,
mp-1183053,AcGaO3,Cubic,Pm-3m,221,5,61.4550782933074,9.31449500321555,9.09709602156382,-35.24674247,-7.049348494,Ac,Ga,O,0,,,
mp-1183142,AcMgO3,Cubic,Pm-3m,221,5,64.7837537322569,7.67174835858463,7.67175047059251,-33.5421901,-6.70843802,Ac,Mg,O,0.0821852571250012,,,
mp-864911,AcMnO3,Cubic,Pm-3m,221,5,62.2413988297879,8.80237325334026,8.74581750474719,-41.25959656,-8.251919312,Ac,Mn,O,0,,,
mp-1183139,AcNiO3,Cubic,Pm-3m,221,5,58.3582177995911,9.49494276708606,9.08984200957633,-32.22996124,-6.445992248,Ac,Ni,O,0,,,
mp-1183145,AcPdO3,Cubic,Pm-3m,221,5,66.6866737391648,9.49754705549638,9.24097272383091,-33.26572516,-6.653145032,Ac,Pd,O,0.00810204100000078,,,
mp-1183152,AcScO3,Cubic,Pm-3m,221,5,70.1918013074356,7.56920740882924,7.56920789310877,-42.38073837,-8.476147674,Ac,Sc,O,0.0241400348749998,,,
mp-1183150,AcSiO3,Cubic,Pm-3m,221,5,62.5790478372491,8.04234550849309,8.042348175117,-36.6716862,-7.33433724,Ac,Si,O,0.470820513500001,,,
mp-865927,AcTiO3,Cubic,Pm-3m,221,5,63.7995700747627,8.40335251816533,8.28464459357667,-42.82411215,-8.56482243,Ac,Ti,O,0,,,
