nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,symprec,version,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
20.0,3.0,LiBeH3,175.24459069597393,0.7192702054379653,Triclinic,P-1,2.0,-1,0.1,1.16.2,mp-24818,-3.490937505,-0.32563473166666695,,,['icsd-162775']
20.0,3.0,LiBeH3,154.36249672370604,0.8165727778904707,Monoclinic,C2/c,15.0,2/m,0.1,1.16.2,mp-977298,-3.4789126679999995,-0.3136098946666664,,,['icsd-162772']
30.0,3.0,LiBeH3,240.92685775587546,0.7847706183063233,Triclinic,P-1,2.0,-1,0.1,1.16.2,mp-24817,-3.494190199333333,-0.328887426,,,['icsd-162771']
10.0,3.0,LiBeH3,90.21956436586642,0.6985636299496158,Monoclinic,C2,5.0,2,0.1,1.16.2,mp-1079676,-3.4883234529999996,-0.3230206796666664,,,['icsd-162774']
20.0,3.0,LiBeH3,124.61285701070099,1.011518520444171,Orthorhombic,Pnma,62.0,mmm,0.1,1.16.2,mp-24342,-3.3899778135,-0.22467504016666667,,,['icsd-173447']
30.0,3.0,LiBeH3,247.51939548406978,0.7638687011089059,Orthorhombic,Cmcm,63.0,mmm,0.1,1.16.2,mp-977148,-3.4892464823333333,-0.323943709,,,['icsd-162773']
60.0,3.0,LiBeH3,485.255000416245,0.7792699465868228,Monoclinic,P2_1/c,14.0,2/m,0.1,1.16.2,mp-570218,-3.4942290168333328,-0.32892624349999977,,,['icsd-162770']
5.0,3.0,LiBeO3,43.1416576665112,2.461513393735289,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-982975,-5.445053,-1.3473726269166668,,,
5.0,3.0,LiBO3,36.18478119222366,3.0173120339394766,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-1185302,-5.925629018,-1.2399528637500006,,,
5.0,3.0,NaLiO3,56.52694344651089,2.289246331384625,Cubic,Pm-3m,221.0,m-3m,0.1,1.16.2,mp-975990,-4.35389962,-0.7395967612270112,,,
