nsites,nelements,formula_pretty,volume,density,crystal_system,symbol,number,point_group,material_id,energy_per_atom,formation_energy_per_atom,e_total,e_electronic,icsd
40,3,LiBrO3,619.949427557576,2.88942796314865,Orthorhombic,Pbca,61,mmm,mp-1197831,-4.20121256425,-0.540809098166667,,,['icsd-4323']
40,3,LiIO3,674.129674681057,3.58338793724552,Tetragonal,P4_2/n,86,4/m,mp-555562,-4.89320181925,-1.24873074916667,,,['icsd-20032']
10,3,LiIO3,131.047417289717,4.60838564076932,Hexagonal,P6_3,173,6,mp-22955,-5.032257208,-1.38778613791667,7.94006914193734,3.60360071639916,"['icsd-35475', 'icsd-35476', 'icsd-80026', 'icsd-35473', 'icsd-35472', 'icsd-80025', 'icsd-35474', 'icsd-9508', 'icsd-14377', 'icsd-14344']"
10,3,LiIO3,99.6534535951193,6.0601716680235,Hexagonal,P6_3/mmc,194,6/mmm,mp-1080052,-4.173756575,-0.529285504916667,,,['icsd-26738']
10,3,LiIO3,114.01919138785,5.29662619728237,Hexagonal,P6_322,182,622,mp-545343,-4.790766707,-1.14629563691667,,,['icsd-20012']
40,3,LiIO3,567.168717752546,4.25917027646313,Tetragonal,P4_2/n,86,4/m,mp-23384,-5.0412755685,-1.39680449841667,,,"['icsd-2642', 'icsd-201816']"
20,3,LiIO3,280.602850071686,4.30442553198268,Orthorhombic,Pna2_1,33,mm2,mp-22994,-5.0364681825,-1.39199711241667,7.17946212,3.26179022,"['icsd-201817', 'icsd-41199']"
10,3,LiIO3,159.84612568357,3.77811494345096,Orthorhombic,Cmcm,63,mmm,mp-1180548,-4.702256962,-1.05778589191667,,,
20,3,LiSeO3,339.692268740851,2.61819149915493,Orthorhombic,P2_12_12_1,19,222,mp-1211104,-5.48385317,-1.43487307438542,,,
40,3,CCl3F,923.976000636051,1.97498724392249,Orthorhombic,Pbca,61,mmm,mp-23071,-4.35266182725,-1.01551093925,3.15481772333333,2.11365318666667,"['icsd-74766', 'icsd-80891']"
20,3,CBr3F,641.979573710352,2.80097988425703,Orthorhombic,Pnma,62,mmm,mp-28765,-3.8943620875,-0.7345161975,,,"['icsd-72369', 'icsd-72370']"
10,3,H3CCl,127.363164469396,1.31649523133345,Orthorhombic,Cmc2_1,36,mm2,mp-1078233,-4.625037816,-0.3739617585,,,"['icsd-193939', 'icsd-193940', 'icsd-193942', 'icsd-193941']"
20,3,CN3Cl,415.3915308317,1.43085580421257,Monoclinic,P2_1/c,14,2/m,mp-1188937,-6.484104575,0.7332328105,,,['icsd-16730']
10,3,CClF3,160.287689377682,2.1643346525075,Orthorhombic,Cmc2_1,36,mm2,mp-28473,-5.14822885,-1.785901039,2.21326567333616,1.88116640333333,['icsd-49696']
10,3,H3CBr,157.448480339628,2.00254865648909,Orthorhombic,Cmc2_1,36,mm2,mp-1078197,-4.488575583,-0.2966011915,,,"['icsd-193936', 'icsd-193935', 'icsd-193934']"
5,3,H3CI,3708.6735024971,0.0635524366893042,Trigonal,R3m,160,3m,mp-1096983,-4.336038568,-0.1599965725,,,
20,3,H3CI,354.261999863785,2.66125340069635,Orthorhombic,Pnma,62,mmm,mp-1181198,-4.359877885,-0.183835889500001,,,['icsd-241117']
20,3,CIF3,467.975685858363,2.78063026528003,Orthorhombic,Cmce,64,mmm,mp-556845,-4.8468588175,-1.5595650685,,,['icsd-73268']
40,3,H3CS,522.698916026639,1.19702705446777,Monoclinic,P2_1/c,14,2/m,mp-554676,-4.939623659,-0.230964960125,,,['icsd-249027']
