material_id,formula_pretty,icsd,crystal_system,symbol,number,point_group,nsites,nelements,volume,density,energy_per_atom,formation_energy_per_atom
mp-1183115,AcAlO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,57.4514132376898,8.728230081866650,-8.232146192,-3.6907827977500000
mp-1183052,AcBO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,51.54812640786060,9.206878605801690,-7.604279514,-2.476152931583330
mp-866101,AcCrO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,61.36284504026080,8.848788046728620,-8.862593228,-3.13973550575
mp-864606,AcCuO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,59.92938665681020,9.380470938074590,-7.035745362,-2.42365579975
mp-861502,AcFeO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,61.79731063258670,8.889999465919500,-8.258555312,-2.77230284175
mp-1183053,AcGaO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,61.455078293307400,9.31449500321555,-7.461883426,-3.06401599325
mp-1183142,AcMgO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,64.78375373225690,7.671748358584630,-7.120950934,-3.0086466957500000
mp-864911,AcMnO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,62.241398829787900,8.802373253340260,-8.599044686,-2.9743933993362100
mp-1183139,AcNiO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,58.35821779959110,9.494942767086060,-7.404515516000000,-2.456239951750000
mp-1183145,AcPdO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,66.68667373916480,9.497547055496380,-7.065943372,-2.2377187817500000
mp-1183152,AcScO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,70.19180130743560,7.569207408829240,-8.888565856,-3.8298238067500000
mp-1183150,AcSiO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,62.5790478372491,8.042345508493090,-7.746321594000000,-2.86900975975
mp-865927,AcTiO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,63.7995700747627,8.403352518165330,-8.979745746,-3.6083991144166700
mp-1183168,AcVO3,,Cubic,Pm-3m,221.0,m-3m,5.0,3.0,62.471313314162800,8.6637462299545,-8.750861914000000,-3.1418324717500000
mp-558950,AgAsO3,['icsd-55074'],Orthorhombic,Pca2_1,29.0,mm2,120.0,3.0,1728.699514830730,5.3205196643791100,-5.71533458975,-1.2489864813333300
mp-1178563,AgAsO3,,Trigonal,R-3,148.0,-3,10.0,3.0,119.28055162319500,6.425733028349930,-5.741099904,-1.2747517955833300
mp-775767,AgAsO3,,Monoclinic,C2/c,15.0,2/m,20.0,3.0,304.7254522248720,5.030528133497360,-5.7038320395,-1.2374839310833300
mp-776165,AgAuO3,,Cubic,Fd-3m,227.0,m-3m,20.0,3.0,273.488677155319,8.569172736555060,-4.5489843810000000,-0.3596835535833330
mp-752678,AgAuO3,,Orthorhombic,Cmcm,63.0,mmm,20.0,3.0,294.29506712515900,7.963340122990180,-4.189676009500000,-0.00037518208333295900
mp-775774,AgBiO3,,Orthorhombic,Cmmm,65.0,mmm,10.0,3.0,154.488213998263,7.843217926395460,-5.340340333,-1.037718079583330
mp-23548,AgBiO3,"['icsd-89432', 'icsd-91777']",Trigonal,R-3,148.0,-3,10.0,3.0,154.63007543874300,7.8360223650541100,-5.318382012,-1.0157597585833300
