Name,A_site,B_site,X_site,Spacegroup,Ehull,BulkModulus,Energy,ZPE,s_A,s_B,s_X,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF,A_Z,B_Z,X_Z,A_M,B_M,X_M,A_G,B_G,X_G,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII,A_EA,B_EA,X_EA,A_ChiP,B_ChiP,X_ChiP,A_ChiA,B_ChiA,X_ChiA,A_Rvdw,B_Rvdw,X_Rvdw,A_Rc,B_Rc,X_Rc,A_Ra,B_Ra,X_Ra,A_MP,B_MP,X_MP,A_BP,B_BP,X_BP,A_Rho,B_Rho,X_Rho,A_MV,B_MV,X_MV,A_Hf,B_Hf,X_Hf,A_Hv,B_Hv,X_Hv,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,X_CvM,A_B,B_B,X_B,A_MendeleevNo,B_MendeleevNo,X_MendeleevNo
AlBiO3,Al,Bi,O,R3c,0.053,125.0,-98.75141314,30.4940185,1.17,0.535,1.35,8.28849915349837,3.347164115545113,3.0540834996780983,3.0844128878615575,3.53098699747994,0.23618322690571852,1.1125709505122772,0.7822544599274011,0.9195671350487753,-97.98663534999999,0.9453098613210076,0.3962962962962963,13.0,83.0,8.0,26.9815386,208.9804,15.9994,13.0,15.0,16.0,5.985768,7.2855,13.61805,18.82855,16.703,35.1211,42.5,91.2,141.0,1.61,2.02,3.44,1.613,,3.61,1.84,2.07,1.52,121.0,148.0,66.0,1.25,1.6,0.6,933.47,544.4,54.8,2792.0,1837.0,90.2,2700.0,9780.0,,10.0,21.31,17.36,10.71,11.106,0.22,293.0,160.0,3.41,235.0,8.0,0.02658,0.897,0.122,0.918,2.0,2.0,2.0,80.0,87.0,101.0
BaHfO3,Ba,Hf,O,Pm-3m,0.0,103.0,-46.34564817,19.3823906,1.61,0.71,1.35,8.124592336547465,3.6417216761147713,2.9734532972380987,2.1025489900185583,2.9734532972380987,0.0,0.0,0.0,0.0,-42.90841904,1.0160369283068837,0.5259259259259259,56.0,72.0,8.0,137.327,178.49,15.9994,2.0,4.0,16.0,5.211664,6.82507,13.61805,10.00383,15.0,35.1211,13.95,0.0,141.0,0.89,1.3,3.44,0.881,2.6,3.61,2.68,2.23,1.52,215.0,175.0,66.0,2.15,1.55,0.6,1000.0,2506.0,54.8,2143.0,4876.0,90.2,3510.0,13310.0,,38.16,13.44,17.36,7.12,27.2,0.22,140.0,630.0,3.41,18.0,23.0,0.02658,0.204,0.144,0.918,1.0,3.0,2.0,14.0,50.0,101.0
BaLiF3,Ba,Li,F,Pm-3m,0.015,69.0,-26.98803518,20.3287001,1.61,0.76,1.285,5.055916748337136,3.5016157809535935,2.8590573128711783,2.021658813732199,2.8590573128711783,0.0,0.0,0.0,0.0,-26.40931132,1.0010142452494155,0.5914396887159533,56.0,3.0,9.0,137.327,6.941,18.9984032,2.0,1.0,17.0,5.211664,5.391719,17.4228,10.00383,75.64,34.9708,13.95,59.6,328.0,0.89,0.98,3.98,0.881,0.912,4.193,2.68,1.82,1.47,215.0,128.0,57.0,2.15,1.45,0.5,1000.0,453.69,53.53,2143.0,1615.0,85.03,3510.0,535.0,,38.16,13.02,11.2,7.12,3.0,0.255,140.0,147.0,3.27,18.0,85.0,0.0277,0.204,3.582,0.824,1.0,1.0,2.0,14.0,12.0,102.0
BaLiH3,Ba,Li,H,Pm-3m,0.0,38.0,-16.5037107,47.721477,1.61,0.76,1.3,3.7683580593145543,3.4803465196619428,2.8416910337476873,2.009379,2.8416910337476873,0.0,0.0,0.0,0.0,-16.11107729,0.998874142355754,0.5846153846153846,56.0,3.0,1.0,137.327,6.941,1.00794,2.0,1.0,1.0,5.211664,5.391719,13.598443,10.00383,75.64,,13.95,59.6,72.8,0.89,0.98,2.2,0.881,0.912,2.3,2.68,1.82,1.1,215.0,128.0,31.0,2.15,1.45,0.25,1000.0,453.69,14.01,2143.0,1615.0,20.28,3510.0,535.0,,38.16,13.02,11.42,7.12,3.0,0.06,140.0,147.0,0.452,18.0,85.0,0.1805,0.204,3.582,14.304,1.0,1.0,1.0,14.0,12.0,103.0
BaSeO3,Ba,Se,O,P21/m,0.0,68.91,-31.84915,25.75,1.61,0.5,1.35,4.753664536251589,3.7008190663972615,2.907547372894208,2.7188465636676966,3.3296199860036215,0.05697344283835981,0.12408094775847438,0.9924677731274275,0.5972050579582903,-31.04511115,1.131370849898476,0.37037037037037035,56.0,34.0,8.0,137.327,78.96,15.9994,2.0,16.0,16.0,5.211664,9.75239,13.61805,10.00383,21.19,35.1211,13.95,195.0,141.0,0.89,2.55,3.44,0.881,2.424,3.61,2.68,1.9,1.52,215.0,120.0,66.0,2.15,1.15,0.6,1000.0,494.0,54.8,2143.0,958.0,90.2,3510.0,4819.0,,38.16,16.42,17.36,7.12,6.69,0.22,140.0,26.0,3.41,18.0,0.52,0.02658,0.204,0.321,0.918,1.0,2.0,2.0,14.0,93.0,101.0
BaTiO3,Ba,Ti,O,R3m,0.0,97.0,-39.6502036566667,27.5639139666667,1.61,0.605,1.35,5.73005654829244,3.498207810004924,2.884192498821472,2.8267811628423085,3.1671171186216367,0.04449192426599352,0.06820103013836436,1.115317848877051,0.5238102714428753,-37.77974309666671,1.070606686604696,0.44814814814814813,56.0,22.0,8.0,137.327,47.867,15.9994,2.0,4.0,16.0,5.211664,6.82812,13.61805,10.00383,13.5755,35.1211,13.95,7.6,141.0,0.89,1.54,3.44,0.881,1.38,3.61,2.68,2.11,1.52,215.0,160.0,66.0,2.15,1.4,0.6,1000.0,1941.0,54.8,2143.0,3560.0,90.2,3510.0,4507.0,,38.16,10.64,17.36,7.12,14.15,0.22,140.0,425.0,3.41,18.0,22.0,0.02658,0.204,0.524,0.918,1.0,3.0,2.0,14.0,51.0,101.0
CaCO3,Ca,C,O,R3c,0.0,76.0,-37.45715,45.79,1.34,0.16,1.35,2.6079241305173033,3.789681072031728,3.4531559879995792,2.737471224275813,3.09904952216779,0.5362869279741909,1.0637746744154173,1.0168092100589927,0.4982134365506639,-36.72983241,1.2596802923124588,0.11851851851851851,20.0,6.0,8.0,40.078,12.0107,15.9994,2.0,14.0,16.0,6.11316,11.2603,13.61805,11.87172,24.3833,35.1211,2.37,153.9,141.0,1.0,2.55,3.44,1.034,2.544,3.61,2.31,1.7,1.52,176.0,76.0,66.0,1.8,0.7,0.6,1115.0,3800.0,54.8,1757.0,4300.0,90.2,1550.0,2267.0,,26.2,5.29,17.36,8.54,117.4,0.22,155.0,715.0,3.41,200.0,140.0,0.02658,0.647,0.709,0.918,1.0,2.0,2.0,16.0,95.0,101.0
CaSnO3,Ca,Sn,O,R-3,0.0,107.43,-32.05347304,29.2927990166667,1.34,0.69,1.35,4.958291274779242,3.8082319451434956,3.3294642406712684,3.280206729042996,3.1175738509927955,0.38806893387243346,0.9641701829032658,1.1747665032180457,0.24800646095068027,-31.343684999999997,0.9324104124469671,0.5111111111111111,20.0,50.0,8.0,40.078,118.71,15.9994,2.0,14.0,16.0,6.11316,7.34392,13.61805,11.87172,14.6322,35.1211,2.37,107.3,141.0,1.0,1.96,3.44,1.034,1.824,3.61,2.31,2.17,1.52,176.0,139.0,66.0,1.8,1.45,0.6,1115.0,505.08,54.8,1757.0,2875.0,90.2,1550.0,7310.0,,26.2,16.29,17.36,8.54,7.15,0.22,155.0,290.0,3.41,200.0,67.0,0.02658,0.647,0.227,0.918,1.0,2.0,2.0,16.0,83.0,101.0
CaTcN3,Ca,Tc,N,C2/m,0.0,104.42,-39.2972579875,35.32471825,1.34,0.56,1.46,4.27230184262592,4.120525701365616,3.15478564583049,3.286534047649797,3.4848709859667633,0.9583050847955665,0.6710399836828463,1.2071881788974543,0.8289483927655819,-38.3412059175,0.9801480135259073,0.3835616438356165,20.0,43.0,7.0,40.078,98.0,14.0067,2.0,7.0,15.0,6.11316,7.28,14.5341,11.87172,15.26,29.6013,2.37,53.0,7.0,1.0,1.9,3.04,1.034,1.51,3.066,2.31,2.16,1.55,176.0,147.0,71.0,1.8,1.35,0.65,1115.0,2430.0,63.05,1757.0,4538.0,77.36,1550.0,11500.0,,26.2,8.63,13.54,8.54,33.29,0.355,155.0,550.0,2.79,200.0,51.0,0.02583,0.647,,1.04,1.0,3.0,2.0,16.0,59.0,100.0
CaWN3,Ca,W,N,C2/m,0.0,115.45,-43.11079985,34.99597655,1.34,0.6,1.46,5.953713216523869,3.7843809702608704,3.3154157901389407,3.033843242946278,3.2062960742927404,0.2834362705854861,0.8006781709117105,1.1364206841204274,0.6337787490283444,-40.729365220000005,0.9611160132632683,0.410958904109589,20.0,74.0,7.0,40.078,183.84,14.0067,2.0,6.0,15.0,6.11316,7.86403,14.5341,11.87172,16.1,29.6013,2.37,78.6,7.0,1.0,2.36,3.04,1.034,0.89,3.066,2.31,2.18,1.55,176.0,162.0,71.0,1.8,1.35,0.65,1115.0,3695.0,63.05,1757.0,5828.0,77.36,1550.0,19250.0,,26.2,9.47,13.54,8.54,52.31,0.355,155.0,800.0,2.79,200.0,170.0,0.02583,0.647,0.132,1.04,1.0,3.0,2.0,16.0,55.0,100.0
CdSnO3,Cd,Sn,O,R-3,0.0,116.32,-26.6884678666667,27.5672268166667,1.31,0.69,1.35,6.821173679928445,3.785637054390316,3.2991913428582933,3.249370503995331,3.0932055656818065,0.38346064222651854,0.9591326546359272,1.1493926004791075,0.23042959678317426,-26.025754046666698,0.9220117833118707,0.5111111111111111,48.0,50.0,8.0,112.411,118.71,15.9994,12.0,14.0,16.0,8.99382,7.34392,13.61805,16.90831,14.6322,35.1211,0.0,107.3,141.0,1.69,1.96,3.44,1.52,1.824,3.61,2.18,2.17,1.52,144.0,139.0,66.0,1.55,1.45,0.6,594.22,505.08,54.8,1040.0,2875.0,90.2,8650.0,7310.0,,13.0,16.29,17.36,6.21,7.15,0.22,100.0,290.0,3.41,97.0,67.0,0.02658,0.231,0.227,0.918,3.0,2.0,2.0,75.0,83.0,101.0
CsAuBr3,Cs,Au,Br,I4/mmm ,0.0,16.0,-13.55807017,6.83728895,1.88,1.11,1.96,5.09495746277545,4.94301902486144,4.064329009579455,2.8530623161034154,4.0383925535658864,0.0,0.03270788174267019,0.3838068156144017,0.321577194748667,-12.894715360000001,0.8844592963375707,0.5663265306122449,55.0,79.0,35.0,132.9054519,196.966569,79.904,1.0,11.0,17.0,3.893905,9.22553,11.8138,23.15744,20.2,21.591,45.5,222.8,324.6,0.79,2.54,2.96,0.659,,2.685,3.43,2.14,1.85,244.0,136.0,120.0,2.6,1.35,1.15,301.59,1337.33,265.8,944.0,3129.0,332.0,1879.0,19300.0,,70.94,10.21,19.78,2.09,12.55,5.285,65.0,330.0,14.8,36.0,320.0,0.12,0.242,0.129,0.474,1.0,3.0,2.0,8.0,70.0,98.0
