Name,Temp,FE
CsCaF3,0.0,15.6856663
CsCaF3,10.0,15.6853127
CsCaF3,20.0,15.6726282
CsCaF3,30.0,15.6147199
CsCaF3,40.0,15.4877493
CsCaF3,50.0,15.2807304
CsCaF3,60.0,14.9893997
CsCaF3,70.0,14.6128891
CsCaF3,80.0,14.15209
CsCaF3,90.0,13.608825
CsCaF3,100.0,12.9854142
CsCaF3,110.0,12.2844361
CsCaF3,120.0,11.5085861
CsCaF3,130.0,10.6605878
CsCaF3,140.0,9.743135
CsCaF3,150.0,8.7588549
CsCaF3,160.0,7.7102837
CsCaF3,170.0,6.5998526
CsCaF3,180.0,5.4298805
CsCaF3,190.0,4.2025707
CsCaF3,200.0,2.9200122
CsCaF3,210.0,1.5841816
CsCaF3,220.0,0.1969476
CsCaF3,230.0,-1.2399242
CsCaF3,240.0,-2.7247657
CsCaF3,250.0,-4.2560012
CsCaF3,260.0,-5.8321412
CsCaF3,270.0,-7.4517774
CsCaF3,280.0,-9.1135775
CsCaF3,290.0,-10.8162799
CsCaF3,300.0,-12.5586891
CsCaF3,310.0,-14.3396717
CsCaF3,320.0,-16.1581517
CsCaF3,330.0,-18.0131069
CsCaF3,340.0,-19.9035657
CsCaF3,350.0,-21.8286033
CsCaF3,360.0,-23.7873388
CsCaF3,370.0,-25.7789325
CsCaF3,380.0,-27.8025833
CsCaF3,390.0,-29.8575261
CsCaF3,400.0,-31.9430297
CsCaF3,410.0,-34.0583947
CsCaF3,420.0,-36.2029515
CsCaF3,430.0,-38.3760587
CsCaF3,440.0,-40.5771014
CsCaF3,450.0,-42.8054893
CsCaF3,460.0,-45.0606561
CsCaF3,470.0,-47.3420573
CsCaF3,480.0,-49.6491694
CsCaF3,490.0,-51.981489
CsCaF3,500.0,-54.338531
CsCaF3,510.0,-56.7198284
CsCaF3,520.0,-59.1249309
CsCaF3,530.0,-61.5534042
CsCaF3,540.0,-64.0048292
CsCaF3,550.0,-66.4788009
CsCaF3,560.0,-68.9749285
CsCaF3,570.0,-71.4928337
CsCaF3,580.0,-74.0321509
CsCaF3,590.0,-76.5925263
CsCaF3,600.0,-79.1736173
CsCaF3,610.0,-81.775092
CsCaF3,620.0,-84.3966288
CsCaF3,630.0,-87.037916
CsCaF3,640.0,-89.698651
CsCaF3,650.0,-92.3785405
CsCaF3,660.0,-95.0772996
CsCaF3,670.0,-97.7946515
CsCaF3,680.0,-100.5303274
CsCaF3,690.0,-103.2840662
CsCaF3,700.0,-106.0556136
CsCaF3,710.0,-108.8447226
CsCaF3,720.0,-111.6511529
CsCaF3,730.0,-114.4746703
CsCaF3,740.0,-117.315047
CsCaF3,750.0,-120.1720609
CsCaF3,760.0,-123.045496
CsCaF3,770.0,-125.9351413
CsCaF3,780.0,-128.8407913
CsCaF3,790.0,-131.7622457
CsCaF3,800.0,-134.6993089
CsCaF3,810.0,-137.6517901
CsCaF3,820.0,-140.619503
CsCaF3,830.0,-143.6022659
CsCaF3,840.0,-146.5999011
CsCaF3,850.0,-149.6122351
CsCaF3,860.0,-152.6390984
CsCaF3,870.0,-155.6803252
CsCaF3,880.0,-158.7357537
CsCaF3,890.0,-161.8052252
CsCaF3,900.0,-164.888585
CsCaF3,910.0,-167.9856812
CsCaF3,920.0,-171.0963657
CsCaF3,930.0,-174.2204932
CsCaF3,940.0,-177.3579214
CsCaF3,950.0,-180.5085112
CsCaF3,960.0,-183.6721262
CsCaF3,970.0,-186.8486329
CsCaF3,980.0,-190.0379002
CsCaF3,990.0,-193.2398
CsCaF3,1000.0,-196.4542064
NaCoF3,0.0,19.730801075
NaCoF3,10.0,19.73055115
NaCoF3,20.0,19.72640735
NaCoF3,30.0,19.7091304
NaCoF3,40.0,19.666908875
NaCoF3,50.0,19.58877295
NaCoF3,60.0,19.465924575
NaCoF3,70.0,19.29178785
NaCoF3,80.0,19.0617321
NaCoF3,90.0,18.772736825
NaCoF3,100.0,18.423064325
NaCoF3,110.0,18.01196665
NaCoF3,120.0,17.5394377
NaCoF3,130.0,17.00601255
NaCoF3,140.0,16.41261
NaCoF3,150.0,15.7604118
NaCoF3,160.0,15.05077175
NaCoF3,170.0,14.28514825
