Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius
Ac,89,227,3,5.17,11.75,33.77,1.1,,2.47,215,1.95,,,,1323,3573,10070,22.55,12,400,12,0.12,f,48,,,,,1.26,0
Ag,47,107.8682,11,7.57623,21.47746,125.6,1.93,1.87,2.11,145,1.6,1.045,1.33,0.385,1234.93,2435,10490,10.27,11.3,255,430,0.235,d,71,0.37,100,83,0.0000189,1.08666666666667,0
Al,13,26.9815386,13,5.985768,18.82855,42.5,1.61,1.613,1.84,121,1.25,0.77,0.905,,933.47,2792,2700,10,10.71,293,235,0.897,p,80,0.35,76,70,0.0000231,0.675,0
As,33,74.9216,15,9.7886,18.5892,78,2.18,2.211,1.85,119,1.15,0.67,0.745,0.155,1090,887,5727,12.95,24.44,32.4,50,0.329,p,89,,22,8,,0.66,0
Au,79,196.966569,11,9.22553,20.2,222.8,2.54,,2.14,136,1.35,1.21,1.45,0.488,1337.33,3129,19300,10.21,12.55,330,320,0.129,d,70,0.44,220,78,0.0000142,1.07,0
B,5,10.811,13,8.29802,25.1548,26.7,2.04,2.051,1.92,84,0.85,0.48,0.315,,2349,4200,2460,4.39,50.2,507,27,1.026,p,86,,320,,0.000006,0.41,0
Ba,56,137.327,2,5.211664,10.00383,13.95,0.89,0.881,2.68,215,2.15,1.515,1.887,0.94,1000,2143,3510,38.16,7.12,140,18,0.204,s,14,,9.6,13,0.0000206,1.49,0
Be,4,9.012182,2,9.3227,18.21114,0,1.57,1.576,1.53,96,1.05,0.64,0.44,,1560,2742,1848,4.85,7.895,297,190,1.825,s,77,0.032,130,287,0.0000113,0.59,0
Bi,83,208.9804,15,7.2855,16.703,91.2,2.02,,2.07,148,1.6,0.92,1.077,0.438,544.4,1837,9780,21.31,11.106,160,8,0.122,p,87,0.33,31,32,0.0000134,1.035,0
Br,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,0.58,0.62,0.143,265.8,332,3120,19.78,5.285,14.8,0.12,0.474,p,98,,1.9,,,0.57,1.82
C,6,12.0107,14,11.2603,24.3833,153.9,2.55,2.544,1.7,76,0.7,0.39,0.25,,3800,4300,2267,5.29,117.4,715,140,0.709,p,95,,33,,0.0000071,0.3,0
Ca,20,40.078,2,6.11316,11.87172,2.37,1,1.034,2.31,176,1.8,1.32,1.68,0.34,1115,1757,1550,26.2,8.54,155,200,0.647,s,16,0.31,17,20,0.0000223,1.14,0
Cd,48,112.411,12,8.99382,16.90831,0,1.69,1.52,2.18,144,1.55,0.985,1.23,0.37,594.22,1040,8650,13,6.21,100,97,0.231,d,75,0.3,42,50,0.0000308,1.09,0
Ce,58,140.116,3,5.5387,10.85,50,1.12,1.16,2.42,204,1.85,,,,1068,3633,6689,20.69,5.46,350,11,0.192,f,32,0.24,22,34,0.0000063,1.08,0
Cl,17,35.453,17,12.96763,23.8136,349,3.16,2.869,1.75,102,1,0.5,0.51,,171.6,239.11,3214,17.39,3.2,10.2,0.0089,0.479,p,99,,1.1,,,0.335,1.67
Co,27,58.933195,9,7.88101,17.084,63.7,1.88,1.84,2,126,1.35,0.92,1.1,0.21,1768,3200,8900,6.67,16.2,375,100,0.421,d,64,0.31,180,209,0.000013,0.768333333333333,0
Cr,24,51.9961,6,6.76651,16.4857,64.3,1.66,1.65,2.06,139,1.4,1.07,1.37,0.25,2180,2944,7140,7.23,21,339,94,0.449,d,57,0.21,160,279,0.0000049,0.94,0
