Name,Energy
Al,-0.10208314
As,-0.17789056
Au,-0.06541244
B,-0.1100176
Ba,-0.13720186
Be,-0.02550081
Bi,-0.16272578
Br,-0.12183847
C,-0.16331508
Ca,-0.06403364
Cd,-0.01695942
Cl,-0.12414335
Co,-0.27381115
Cr,-0.64313291
Cs,-0.23242696
F,-0.11863669
Ga,-0.09932876
Ge,-0.15514636
H,-0.05660654
Hf,-2.8000584
I,-0.11761517
In,-0.09459929
K,-0.17359831
La,-0.40142086
Li,-0.08561193
Mg,-0.00820571
Mn,-0.47808639
N,-0.17273685
Na,-0.093857
Nb,-0.83517901
O,-0.16665629
Pb,-0.13983971
Rb,-0.19398227
Re,-1.20538804
S,-0.16991183
Sb,-0.17308676
Sc,-1.71487715
Se,-0.16686812
Si,-0.16084527
Sn,-0.14578553
Sr,-0.08779794
Ta,-2.33088358
Tc,-0.37380788
Ti,-1.23328983
Tl,-0.0862574
V,-0.88004139
W,-1.79919044
Y,-2.03253626
Zn,-0.01276794
