Name,Z,M,G,IEI,IEII,EA,ChiP,ChiA,Rvdw,Rc,Ra,Rpp_s,Rpp_p,Rpp_d,MP,BP,Rho,MV,Hf,Hv,Kappa,CvM,B,MendeleevNo,PoissonsRatio,Kbulk,YoungsModulus,CoefficientOfLinearThermalExpansion,AverageCationicRadius,AverageAnionicRadius,Energy
Ag,47.0,107.8682,11.0,7.57623,21.47746,125.6,1.93,1.87,2.11,145.0,1.6,1.045,1.33,0.385,1234.93,2435.0,10490.0,10.27,11.3,255.0,430.0,0.235,3,71.0,0.37,100.0,83.0,1.89e-05,1.08666666666667,0.0,
Al,13.0,26.9815386,13.0,5.985768,18.82855,42.5,1.61,1.613,1.84,121.0,1.25,0.77,0.905,,933.47,2792.0,2700.0,10.0,10.71,293.0,235.0,0.897,2,80.0,0.35,76.0,70.0,2.31e-05,0.675,0.0,-0.10208314
As,33.0,74.9216,15.0,9.7886,18.5892,78.0,2.18,2.211,1.85,119.0,1.15,0.67,0.745,0.155,1090.0,887.0,5727.0,12.95,24.44,32.4,50.0,0.329,2,89.0,,22.0,8.0,,0.66,0.0,-0.17789056
Au,79.0,196.966569,11.0,9.22553,20.2,222.8,2.54,,2.14,136.0,1.35,1.21,1.45,0.488,1337.33,3129.0,19300.0,10.21,12.55,330.0,320.0,0.129,3,70.0,0.44,220.0,78.0,1.42e-05,1.07,0.0,-0.06541244
B,5.0,10.811,13.0,8.29802,25.1548,26.7,2.04,2.051,1.92,84.0,0.85,0.48,0.315,,2349.0,4200.0,2460.0,4.39,50.2,507.0,27.0,1.026,2,86.0,,320.0,,6e-06,0.41,0.0,-0.1100176
Ba,56.0,137.327,2.0,5.211664,10.00383,13.95,0.89,0.881,2.68,215.0,2.15,1.515,1.887,0.94,1000.0,2143.0,3510.0,38.16,7.12,140.0,18.0,0.204,1,14.0,,9.6,13.0,2.06e-05,1.49,0.0,-0.13720186
Be,4.0,9.012182,2.0,9.3227,18.21114,0.0,1.57,1.576,1.53,96.0,1.05,0.64,0.44,,1560.0,2742.0,1848.0,4.85,7.895,297.0,190.0,1.825,1,77.0,0.032,130.0,287.0,1.13e-05,0.59,0.0,-0.02550081
Bi,83.0,208.9804,15.0,7.2855,16.703,91.2,2.02,,2.07,148.0,1.6,0.92,1.077,0.438,544.4,1837.0,9780.0,21.31,11.106,160.0,8.0,0.122,2,87.0,0.33,31.0,32.0,1.34e-05,1.035,0.0,-0.16272578
Br,35.0,79.904,17.0,11.8138,21.591,324.6,2.96,2.685,1.85,120.0,1.15,0.58,0.62,0.143,265.8,332.0,,19.78,5.285,14.8,0.12,0.474,2,98.0,,1.9,,,0.57,1.82,-0.12183847
C,6.0,12.0107,14.0,11.2603,24.3833,153.9,2.55,2.544,1.7,76.0,0.7,0.39,0.25,,3800.0,4300.0,2267.0,5.29,117.4,715.0,140.0,0.709,2,95.0,,33.0,,7.1e-06,0.3,0.0,-0.16331508
Ca,20.0,40.078,2.0,6.11316,11.87172,2.37,1.0,1.034,2.31,176.0,1.8,1.32,1.68,0.34,1115.0,1757.0,1550.0,26.2,8.54,155.0,200.0,0.647,1,16.0,0.31,17.0,20.0,2.23e-05,1.14,0.0,-0.06403364
Cd,48.0,112.411,12.0,8.99382,16.90831,0.0,1.69,1.52,2.18,144.0,1.55,0.985,1.23,0.37,594.22,1040.0,8650.0,13.0,6.21,100.0,97.0,0.231,3,75.0,0.3,42.0,50.0,3.08e-05,1.09,0.0,-0.01695942
Ce,58.0,140.116,3.0,5.5387,10.85,50.0,1.12,1.16,2.42,204.0,1.85,,,,1068.0,3633.0,6689.0,20.69,5.46,350.0,11.0,0.192,4,32.0,0.24,22.0,34.0,6.3e-06,1.08,0.0,
Cl,17.0,35.453,17.0,12.96763,23.8136,349.0,3.16,2.869,1.75,102.0,1.0,0.5,0.51,,171.6,239.11,,17.39,3.2,10.2,0.0089,0.479,2,99.0,,1.1,,,0.335,1.67,-0.12414335
Co,27.0,58.933195,9.0,7.88101,17.084,63.7,1.88,1.84,2.0,126.0,1.35,0.92,1.1,0.21,1768.0,3200.0,8900.0,6.67,16.2,375.0,100.0,0.421,3,64.0,0.31,180.0,209.0,1.3e-05,0.768333333333333,0.0,-0.27381115
Cr,24.0,51.9961,6.0,6.76651,16.4857,64.3,1.66,1.65,2.06,139.0,1.4,1.07,1.37,0.25,2180.0,2944.0,7140.0,7.23,21.0,339.0,94.0,0.449,3,57.0,0.21,160.0,279.0,4.9e-06,0.94,0.0,-0.64313291
Cs,55.0,132.9054519,1.0,3.893905,23.15744,45.5,0.79,0.659,3.43,244.0,2.6,1.71,2.6,,301.59,944.0,1879.0,70.94,2.09,65.0,36.0,0.242,1,8.0,,1.6,1.7,,1.81,0.0,-0.23242696
Cu,29.0,63.546,11.0,7.72638,20.2924,118.4,1.9,1.85,1.96,132.0,1.35,0.88,1.16,0.185,1357.77,3200.0,8920.0,7.11,13.6,300.0,400.0,0.385,3,72.0,0.34,140.0,130.0,1.65e-05,0.82,0.0,
Dy,66.0,162.5,3.0,5.9389,11.67,50.0,1.22,1.76,2.31,192.0,1.75,,,,1680.0,2840.0,8551.0,19.01,11.35,280.0,11.0,0.173,4,24.0,0.25,41.0,61.0,9.9e-06,1.131,0.0,
Er,68.0,167.259,3.0,6.1077,11.93,50.0,1.24,1.854,2.29,189.0,1.75,,,,1802.0,3141.0,9066.0,18.46,19.9,285.0,15.0,0.168,4,22.0,0.24,44.0,70.0,1.22e-05,1.03,0.0,
Eu,63.0,151.964,3.0,5.67038,11.25,50.0,1.2,1.68,2.35,198.0,1.85,,,,1099.0,1800.0,5244.0,28.97,9.21,175.0,14.0,0.182,4,18.0,0.15,8.3,18.0,3.5e-05,1.1985,0.0,
F,9.0,18.9984032,17.0,17.4228,34.9708,328.0,3.98,4.193,1.47,57.0,0.5,0.25,0.155,,53.53,85.03,,11.2,0.255,3.27,0.0277,0.824,2,102.0,,,,,0.22,1.19,-0.11863669
Fe,26.0,55.845,8.0,7.9024,16.1877,15.7,1.83,1.8,2.04,132.0,1.4,0.95,1.16,0.22,1811.0,3134.0,7874.0,7.09,13.81,347.0,80.0,0.449,3,61.0,0.29,170.0,211.0,1.18e-05,0.8525,0.0,
Ga,31.0,69.723,13.0,5.999301,20.51515,28.9,1.81,1.756,1.87,122.0,1.3,0.76,0.935,0.17,302.91,2477.0,5904.0,11.8,5.585,256.0,29.0,0.373,2,81.0,,,,0.00012,0.76,0.0,-0.09932876
Gd,64.0,157.25,3.0,6.1498,12.09,50.0,1.2,1.72,2.34,196.0,1.8,,,,1585.0,3523.0,7901.0,19.9,9.67,305.0,11.0,0.235,4,27.0,0.26,38.0,55.0,9.4e-06,1.075,0.0,
