Name,Energy
Ac,-0.16334080
Ag,-0.04243576
Al,-0.04897598
As,-0.09326174
Au,-0.03709774
B,-0.05701143
Ba,-0.13633467
Be,-0.04038270
Bi,-0.09547045
Br,-0.06878844
C,-0.08403465
Ca,-0.06368273
Cd,-0.01674995
Ce,-3.46298560
Cl,-0.07111865
Co,-0.42163456
Cr,-1.01008768
Cs,-0.20427302
Cu,-0.04038649
Dy,-0.08752825
Er,-0.08411611
Eu,-0.05133291
F,-0.06650319
Fe,-0.85782762
Ga,-0.05198066
Gd,-0.09260575
Ge,-0.08413107
H,-0.02841282
Hf,-2.70296328
Ho,-0.08537696
I,-0.06457408
In,-0.05770951
Ir,-0.35262219
K,-0.02231835
La,-0.34261996
Li,-0.06145236
Lu,-0.11667858
Mg,-0.00814232
Mn,-0.83833961
Mo,-0.27231253
N,-0.08783095
Na,-0.07448832
Nb,-0.71102437
Nd,-0.11795272
Ni,-0.16292917
Np,-5.59254885
O,-0.09009154
Os,-0.95608338
P,-0.09637962
Pa,-1.79309092
Pb,-0.07969030
Pd,-1.47611876
Pm,-0.10716406
Pr,-0.12187591
Pt,-0.18914223
Pu,-7.12202218
Rb,-0.16461463
Re,-1.58862075
Rh,-0.97790077
Ru,-0.56565520
S,-0.09225465
Sb,-0.08840973
Sc,-1.79895583
Se,-0.08959253
Si,-0.08367818
Sm,-0.10309677
Sn,-0.09149173
Sr,-0.08697213
Ta,-2.22694803
Tb,-0.09073228
Tc,-0.33337496
Th,-0.57428629
Ti,-1.26711668
Tl,-0.04709744
Tm,-0.08233211
U,-2.77502239
V,-0.89039254
W,-1.68434609
Y,-0.02955801
Yb,-0.02955801
Zn,-0.01248240
Zr,-1.35248989
