,Name,atomic_number,atomic_weight,group_id,period,electron_affinity,en_pauling,en_allen,vdw_radius,covalent_radius_pyykko,atomic_radius,melting_point,boiling_point,density,atomic_volume,fusion_heat,evaporation_heat,thermal_conductivity,specific_heat
0,H,1,1.008,1.0,1,0.754195,2.2,13.61,110.00000000000001,32.0,25.0,,,8.2e-05,14.1,0.117,0.904,0.1815,
2,Li,3,6.94,1.0,2,0.618049,0.98,5.392,182.0,133.0,145.0,,,0.534,13.1,2.89,148.0,84.8,
3,Be,4,9.0121831,2.0,2,-2.4,1.57,9.323,153.0,102.0,105.0,,,1.85,5.0,12.21,309.0,201.0,
4,B,5,10.81,13.0,2,0.279723,2.04,12.13,192.0,85.0,85.0,,,2.34,4.6,23.6,504.5,27.4,
5,C,6,12.011,14.0,2,1.262119,2.55,15.05,170.0,75.0,70.0,,,2.2,5.3,,,1.59,
6,N,7,14.007,15.0,2,-1.4,3.04,18.13,155.0,71.0,65.0,,,0.001145,17.3,,,0.026,
7,O,8,15.999,16.0,2,1.4611135,3.44,21.36,152.0,63.0,60.0,,,0.0013080000000000001,14.0,,,0.027,
8,F,9,18.998403163,17.0,2,3.4011897000000006,3.98,24.8,147.0,64.0,50.0,,,0.001553,17.1,0.51,6.54,0.028,
10,Na,11,22.98976928,1.0,3,0.547926,0.93,5.14,227.0,155.0,180.0,,,0.97,23.7,2.64,97.9,142.0,
11,Mg,12,24.305,2.0,3,,1.31,7.646,173.0,139.0,150.0,,,1.74,14.0,9.2,131.8,156.0,
12,Al,13,26.9815385,13.0,3,0.43283,1.61,9.539,184.0,126.0,125.0,,,2.7,10.0,10.75,284.1,237.0,
13,Si,14,28.085,14.0,3,1.3895211,1.9,11.33,210.0,115.99999999999999,110.0,,,2.3296,12.1,50.6,383.0,149.0,
14,P,15,30.973761998,15.0,3,0.746607,2.19,13.33,180.0,111.00000000000001,100.0,,,1.823,17.0,2.51,49.8,,
15,S,16,32.06,16.0,3,2.07710403,2.58,15.31,180.0,103.0,100.0,,,2.07,15.5,1.23,10.5,0.27,
16,Cl,17,35.45,17.0,3,3.612725,3.16,16.97,175.0,99.0,100.0,,,0.002898,18.7,6.41,20.41,0.009,
18,K,19,39.0983,1.0,4,0.50147,0.82,4.34,275.0,196.0,220.0,,,0.89,45.3,102.5,2.33,79.0,
19,Ca,20,40.078,2.0,4,0.02455,1.0,6.1129999999999995,231.0,171.0,180.0,,,1.54,29.9,9.2,153.6,,
20,Sc,21,44.955908,3.0,4,0.188,1.36,7.042000000000001,215.0,148.0,160.0,,,2.99,15.0,15.8,332.7,15.8,
21,Ti,22,47.867,4.0,4,0.079,1.54,8.17,211.0,136.0,140.0,,,4.506,10.6,18.8,422.6,21.9,
22,V,23,50.9415,5.0,4,0.525,1.63,9.062999999999999,206.99999999999997,134.0,135.0,,,6.0,8.35,17.5,460.0,30.7,
23,Cr,24,51.9961,6.0,4,0.6659999999999999,1.66,9.77,206.0,122.0,140.0,,,7.15,7.23,21.0,342.0,93.9,
24,Mn,25,54.938044,7.0,4,,1.55,10.34,204.99999999999997,119.0,140.0,,,7.3,7.39,13.4,221.0,,
25,Fe,26,55.845,8.0,4,0.151,1.83,10.64,204.0,115.99999999999999,140.0,,,7.87,7.1,13.8,340.0,80.4,
26,Co,27,58.933194,9.0,4,0.66225646,1.88,10.86,200.0,111.00000000000001,135.0,,,8.86,6.7,15.48,389.1,100.0,
27,Ni,28,58.6934,10.0,4,1.156,1.91,11.13,197.0,110.00000000000001,135.0,,,8.9,6.6,17.61,378.6,90.9,
28,Cu,29,63.546,11.0,4,1.235,1.9,10.96,196.0,112.00000000000001,135.0,,,8.96,7.1,13.01,304.6,401.0,
29,Zn,30,65.38,12.0,4,,1.65,9.395,200.99999999999997,118.0,135.0,,,7.134,9.2,7.28,114.8,116.0,
30,Ga,31,69.723,13.0,4,0.43,1.81,10.39,187.0,124.0,130.0,,,5.91,11.8,5.59,270.3,28.1,
31,Ge,32,72.63,14.0,4,1.232712,2.01,11.8,211.0,121.0,125.0,,,5.3234,13.6,36.8,328.0,60.2,
32,As,33,74.921595,15.0,4,0.804,2.18,13.08,185.0,121.0,115.0,,,5.75,13.1,,32.4,,
33,Se,34,78.971,16.0,4,2.02067,2.55,14.34,190.0,115.99999999999999,115.0,,,4.809,16.5,5.23,59.7,0.52,
34,Br,35,79.904,17.0,4,3.3635882000000006,2.96,15.88,185.0,113.99999999999999,115.0,,,3.1028,23.5,10.57,29.56,0.005,
36,Rb,37,85.4678,1.0,5,0.48591999999999996,0.82,4.177,303.0,210.0,235.0,,,1.53,55.9,2.2,75.8,58.2,
37,Sr,38,87.62,2.0,5,0.048,0.95,5.695,249.00000000000003,185.0,200.0,,,2.64,33.7,9.2,144.0,,
38,Y,39,88.90584,3.0,5,0.307,1.22,6.631,231.99999999999997,163.0,180.0,,,4.47,19.8,11.5,367.0,,
39,Zr,40,91.224,4.0,5,0.426,1.33,7.808,223.0,154.0,155.0,,,6.52,14.1,19.2,567.0,22.7,
40,Nb,41,92.90637,5.0,5,0.917406,1.6,8.34,218.00000000000003,147.0,145.0,,,8.57,10.8,26.8,680.0,53.7,
41,Mo,42,95.95,6.0,5,0.748,2.16,8.71,217.0,138.0,145.0,,,10.2,9.4,28.0,590.0,,
42,Tc,43,97.90721,7.0,5,0.55,2.1,8.94,216.0,128.0,135.0,,,11.0,8.5,23.8,585.0,50.6,
43,Ru,44,101.07,8.0,5,1.05,2.2,9.1,213.0,125.0,130.0,,,12.1,8.3,25.5,,117.0,
44,Rh,45,102.9055,9.0,5,1.137,2.28,9.259,210.0,125.0,135.0,,,12.4,8.3,21.8,494.0,150.0,
45,Pd,46,106.42,10.0,5,0.562,2.2,9.402000000000001,210.0,120.0,140.0,,,12.0,8.9,17.24,372.4,71.8,
46,Ag,47,107.8682,11.0,5,1.3019999999999998,1.93,11.05,211.0,128.0,160.0,,,10.5,10.3,11.95,254.1,429.0,
47,Cd,48,112.414,12.0,5,,1.69,8.995,218.00000000000003,136.0,155.0,,,8.69,13.1,6.11,59.1,96.9,
48,In,49,114.818,13.0,5,0.3,1.78,9.793,193.0,142.0,155.0,,,7.31,15.7,3.24,225.1,81.8,
49,Sn,50,118.71,14.0,5,1.112067,1.96,10.79,217.0,140.0,145.0,,,7.287,16.3,7.07,296.0,66.8,
50,Sb,51,121.76,15.0,5,1.046,2.05,11.74,206.0,140.0,145.0,,,6.68,18.4,20.08,195.2,24.43,
51,Te,52,127.6,16.0,5,1.9708759999999999,2.1,12.76,206.0,136.0,140.0,,,6.232,20.5,17.91,49.8,14.3,
52,I,53,126.90447,17.0,5,3.0590368,2.66,13.95,198.0,133.0,140.0,,,4.933,25.7,15.52,41.95,,
54,Cs,55,132.90545196,1.0,6,0.47162600000000005,0.79,3.898,343.0,231.99999999999997,260.0,,,1.873,70.0,2.09,68.3,35.9,
55,Ba,56,137.327,2.0,6,0.14462,0.89,5.211,268.0,196.0,215.0,,,3.62,39.0,7.66,142.0,,
56,La,57,138.90547,3.0,6,0.47,1.1,,243.00000000000003,180.0,195.0,,,6.15,22.5,8.5,402.0,13.4,
57,Ce,58,140.116,,6,0.65,1.12,,242.0,163.0,185.0,,,6.77,21.0,5.2,398.0,11.3,
58,Pr,59,140.90766,,6,0.9620000000000001,1.13,,240.0,176.0,185.0,,,6.773,20.8,11.3,331.0,12.5,
59,Nd,60,144.242,,6,1.916,1.14,,239.0,174.0,185.0,,,7.01,20.6,7.1,289.0,,
60,Pm,61,144.91276,,6,,,,238.0,173.0,185.0,,,7.26,,,,17.9,
61,Sm,62,150.36,,6,,1.17,,236.0,172.0,185.0,,,7.52,19.9,8.9,165.0,,
62,Eu,63,151.964,,6,0.8640000000000001,,,235.0,168.0,185.0,,,5.24,28.9,,176.0,13.9,
63,Gd,64,157.25,,6,,1.2,,234.0,169.0,180.0,,,7.9,19.9,,398.0,,
64,Tb,65,158.92535,,6,1.165,,,233.0,168.0,175.0,,,8.23,19.2,,389.0,11.1,
65,Dy,66,162.5,,6,0.35200000000000004,1.22,,231.0,167.0,175.0,,,8.55,19.0,,291.0,10.7,
66,Ho,67,164.93033,,6,,1.23,,229.99999999999997,166.0,175.0,,,8.8,18.7,,301.0,,
67,Er,68,167.259,,6,,1.24,,229.0,165.0,175.0,,,9.07,18.4,,317.0,,
68,Tm,69,168.93422,,6,1.0290000000000001,1.25,,227.0,164.0,175.0,,,9.321,18.1,,232.0,,
69,Yb,70,173.045,,6,-0.02,,,225.99999999999997,170.0,175.0,,,6.9,24.8,3.35,159.0,,
70,Lu,71,174.9668,,6,0.34,1.0,6.455,224.00000000000003,162.0,175.0,,,9.84,17.8,,414.0,,
71,Hf,72,178.49,4.0,6,0.013999999999999999,1.3,6.83,223.0,152.0,155.0,,,13.3,13.6,25.1,575.0,23.0,
72,Ta,73,180.94788,5.0,6,0.322,1.5,7.93,222.00000000000003,146.0,145.0,,,16.4,10.9,24.7,758.0,57.5,
73,W,74,183.84,6.0,6,0.81626,1.7,8.67,218.00000000000003,137.0,135.0,,,19.3,9.53,35.0,824.0,173.0,
74,Re,75,186.207,7.0,6,0.15,1.9,9.46,216.0,131.0,135.0,,,20.8,8.85,34.0,704.0,48.0,
75,Os,76,190.23,8.0,6,1.1,2.2,9.78,216.0,129.0,130.0,,,22.5872,8.43,31.7,738.0,,
76,Ir,77,192.217,9.0,6,1.5638,2.2,9.96,213.0,122.0,135.0,,,22.5622,8.54,27.61,604.0,147.0,
77,Pt,78,195.084,10.0,6,2.128,2.2,10.16,213.0,123.0,135.0,,,21.5,9.1,21.76,470.0,71.6,
78,Au,79,196.966569,11.0,6,2.30863,2.4,11.33,214.0,124.0,135.0,,,19.3,10.2,12.68,340.0,318.0,
79,Hg,80,200.592,12.0,6,,1.9,10.44,223.0,133.0,150.0,,,13.5336,14.8,2.295,58.5,8.3,
80,Tl,81,204.38,13.0,6,0.377,1.8,,196.0,144.0,190.0,,,11.8,17.2,4.31,162.4,46.1,
81,Pb,82,207.2,14.0,6,0.35674316,1.8,10.97,202.0,144.0,180.0,,,11.3,18.3,4.77,177.8,35.3,
82,Bi,83,208.9804,15.0,6,0.942362,1.9,11.9,206.99999999999997,151.0,160.0,,,9.79,21.3,11.0,172.0,7.9,
89,Th,90,232.0377,,7,,1.3,,245.00000000000003,175.0,180.0,,,11.7,19.8,16.11,513.7,,
90,Pa,91,231.03588,,7,,1.5,,243.00000000000003,169.0,180.0,,,15.4,15.0,16.7,481.2,,
91,U,92,238.02891,,7,,1.7,,241.0,170.0,175.0,,,19.1,12.5,12.6,417.0,27.5,
92,Np,93,237.0,,7,,1.3,,239.0,171.0,175.0,,,20.2,21.1,9.6,336.0,,
93,Pu,94,244.0,,7,,1.3,,243.00000000000003,172.0,175.0,,,19.7,,2.8,343.5,,
