Coef_a,Coef_b,Coef_c,Coef_d,s_B,B_Z,B_M,B_G,B_IEI,B_IEII,B_EA,B_ChiP,B_Rvdw,B_Rc,B_Ra,B_MP,B_BP,B_Rho,B_MV,B_Hf,B_Hv,B_Kappa,B_CvM,B_B,B_MendeleevNo
6.1928778126442E-08,-0.000213915222955085,0.00943575286171529,30.537225700488,0.535,83,208.9804,15,7.2855,16.703,91.2,2.02,2.07,148,1.6,544.4,1837,9780,21.31,11.106,160,8,0.122,2,87
6.96472097141732E-08,-0.000213154622074976,-0.00652414289154705,20.1627956331904,0.71,72,178.49,4,6.82507,15,0,1.3,2.23,175,1.55,2506,4876,13310,13.44,27.2,630,23,0.144,3,50
8.86102821880866E-08,-0.000267807081508165,-7.60757052712079E-05,21.074258360022,0.76,3,6.941,1,5.391719,75.64,59.6,0.98,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
3.40320196282651E-08,-0.000151277431748185,0.00596868738547964,47.66802811053,0.76,3,6.941,1,5.391719,75.64,59.6,0.98,1.82,128,1.45,453.69,1615,535,13.02,3,147,85,3.582,1,12
8.04943789499828E-08,-0.000247757663821175,-0.0153103792468295,26.7136531256227,0.5,34,78.96,16,9.75239,21.19,195,2.55,1.9,120,1.15,494,958,4819,16.42,6.69,26,0.52,0.321,2,93
7.03035871699635E-08,-0.000230644778497219,0.0093011501973094,27.7612621771696,0.605,22,47.867,4,6.82812,13.5755,7.6,1.54,2.11,160,1.4,1941,3560,4507,10.64,14.15,425,22,0.524,3,51
5.11022610090223E-08,-0.000181995275010774,0.00416921335212348,46.8724619695516,0.16,6,12.0107,14,11.2603,24.3833,153.9,2.55,1.7,76,0.7,3800,4300,2267,5.29,117.4,715,140,0.709,2,95
6.40306211178584E-08,-0.000218682796940917,0.0154934923401559,29.1848560114839,0.69,50,118.71,14,7.34392,14.6322,107.3,1.96,2.17,139,1.45,505.08,2875,7310,16.29,7.15,290,67,0.227,2,83
5.67447135276132E-08,-0.000201286635175397,0.0136722728395266,35.2375574361437,0.56,43,98,7,7.28,15.26,53,1.9,2.16,147,1.35,2430,4538,11500,8.63,33.29,550,51,0.21,3,59
5.96433360374641E-08,-0.000206011883972016,0.00856455181747365,35.1350856017433,0.6,74,183.84,6,7.86403,16.1,78.6,2.36,2.18,162,1.35,3695,5828,19250,9.47,52.31,800,170,0.132,3,55
6.96157068249E-08,-0.00022912513869856,0.00637584449653772,27.8348314393238,0.69,50,118.71,14,7.34392,14.6322,107.3,1.96,2.17,139,1.45,505.08,2875,7310,16.29,7.15,290,67,0.227,2,83
1.31725774260261E-07,-0.000349375605618081,-0.105128644981886,10.873272885075,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
1.21581784886538E-07,-0.000330202831154549,-0.080451322052625,13.2487222445131,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
1.36767297350243E-07,-0.000358684052083941,-0.131876531059582,9.86846903365288,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
1.20926531433987E-07,-0.000325973197952191,-0.074830067682806,11.8054719726941,1.11,79,196.966569,11,9.22553,20.2,222.8,2.54,2.14,136,1.35,1337.33,3129,19300,10.21,12.55,330,320,0.129,3,70
9.31613372247876E-08,-0.000231342624433846,-0.00382975469169708,56.3143962130336,0.16,4,9.012182,2,9.3227,18.21114,0,1.57,1.53,96,1.05,1560,2742,1848,4.85,7.895,297,190,1.825,1,77
1.03150689260008E-07,-0.000295852513393291,-0.01319817476537,17.2009328124922,0.895,83,208.9804,15,7.2855,16.703,91.2,2.02,2.07,148,1.6,544.4,1837,9780,21.31,11.106,160,8,0.122,2,87
8.89432730478193E-08,-0.000263604334287959,-0.0415721810553794,25.6293056950199,0.39,35,79.904,17,11.8138,21.591,324.6,2.96,1.85,120,1.15,265.8,332,3119,19.78,5.285,14.8,0.12,0.474,2,98
1.03248239333397E-07,-0.000295925363118073,-0.0199560360319315,17.2547510048386,1.34,20,40.078,2,6.11316,11.87172,2.37,1,2.31,176,1.8,1115,1757,1550,26.2,8.54,155,200,0.647,1,16
5.3171181051643E-08,-0.000189704216259794,-0.0086065540177012,41.3590499056883,1.34,20,40.078,2,6.11316,11.87172,2.37,1,2.31,176,1.8,1115,1757,1550,26.2,8.54,155,200,0.647,1,16
1.2661736020088E-07,-0.000340118929009696,-0.0666733676026977,11.7619195762204,1.31,48,112.411,12,8.99382,16.90831,0,1.69,2.18,144,1.55,594.22,1040,8650,13,6.21,100,97,0.231,3,75
1.08670340480365E-07,-0.000306223513058632,-0.0268010310182152,15.9538235995976,1.31,48,112.411,12,8.99382,16.90831,0,1.69,2.18,144,1.55,594.22,1040,8650,13,6.21,100,97,0.231,3,75
