Coef_a,Coef_b,Coef_c,Coef_d,s_X,X_Z,X_M,X_G,X_IEI,X_IEII,X_EA,X_ChiP,X_ChiA,X_Rvdw,X_Rc,X_Ra,X_MP,X_BP,X_MV,X_Hf,X_Hv,X_Kappa,X_CvM,X_B,X_MendeleevNo
6.1928778126442E-08,-0.000213915222955085,0.00943575286171529,30.537225700488,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.96472097141732E-08,-0.000213154622074976,-0.00652414289154705,20.1627956331904,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.86102821880866E-08,-0.000267807081508165,-7.60757052712079E-05,21.074258360022,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
3.40320196282651E-08,-0.000151277431748185,0.00596868738547964,47.66802811053,1.3,1,1.00794,1,13.598443,100,72.8,2.2,2.3,1.1,31,0.25,14.01,20.28,11.42,0.06,0.452,0.1805,14.304,1,103
8.04943789499828E-08,-0.000247757663821175,-0.0153103792468295,26.7136531256227,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
7.03035871699635E-08,-0.000230644778497219,0.0093011501973094,27.7612621771696,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.11022610090223E-08,-0.000181995275010774,0.00416921335212348,46.8724619695516,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
6.40306211178584E-08,-0.000218682796940917,0.0154934923401559,29.1848560114839,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
5.67447135276132E-08,-0.000201286635175397,0.0136722728395266,35.2375574361437,1.46,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,63.05,77.36,13.54,0.355,2.79,0.02583,1.04,2,100
5.96433360374641E-08,-0.000206011883972016,0.00856455181747365,35.1350856017433,1.46,7,14.0067,15,14.5341,29.6013,7,3.04,3.066,1.55,71,0.65,63.05,77.36,13.54,0.355,2.79,0.02583,1.04,2,100
6.96157068249E-08,-0.00022912513869856,0.00637584449653772,27.8348314393238,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
1.31725774260261E-07,-0.000349375605618081,-0.105128644981886,10.873272885075,1.96,35,79.904,17,11.8138,21.591,324.6,2.96,2.685,1.85,120,1.15,265.8,332,19.78,5.285,14.8,0.12,0.474,2,98
1.21581784886538E-07,-0.000330202831154549,-0.080451322052625,13.2487222445131,1.81,17,35.453,17,12.96763,23.8136,349,3.16,2.869,1.75,102,1,171.6,239.11,17.39,3.2,10.2,0.0089,0.479,2,99
1.36767297350243E-07,-0.000358684052083941,-0.131876531059582,9.86846903365288,2.2,53,126.90447,17,10.45126,19.1313,295.2,2.66,2.359,1.98,139,1.4,386.85,457.4,25.72,7.76,20.9,0.449,0.214,2,97
1.20926531433987E-07,-0.000325973197952191,-0.074830067682806,11.8054719726941,1.98,34,78.96,16,9.75239,21.19,195,2.55,2.424,1.9,120,1.15,494,958,16.42,6.69,26,0.52,0.321,2,93
9.31613372247876E-08,-0.000231342624433846,-0.00382975469169708,56.3143962130336,1.3,1,1.00794,1,13.598443,100,72.8,2.2,2.3,1.1,31,0.25,14.01,20.28,11.42,0.06,0.452,0.1805,14.304,1,103
1.03150689260008E-07,-0.000295852513393291,-0.01319817476537,17.2009328124922,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
8.89432730478193E-08,-0.000263604334287959,-0.0415721810553794,25.6293056950199,1.35,8,15.9994,16,13.61805,35.1211,141,3.44,3.61,1.52,66,0.6,54.8,90.2,17.36,0.22,3.41,0.02658,0.918,2,101
1.03248239333397E-07,-0.000295925363118073,-0.0199560360319315,17.2547510048386,1.285,9,18.9984032,17,17.4228,34.9708,328,3.98,4.193,1.47,57,0.5,53.53,85.03,11.2,0.255,3.27,0.0277,0.824,2,102
5.3171181051643E-08,-0.000189704216259794,-0.0086065540177012,41.3590499056883,1.3,1,1.00794,1,13.598443,100,72.8,2.2,2.3,1.1,31,0.25,14.01,20.28,11.42,0.06,0.452,0.1805,14.304,1,103
