Name,mean_A2B,X_EA,X_Z,X_IEII,X_Rvdw,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,std_A2X,A_ChiP,A_EA,B_Hf,std_B2X,X_G,B_MP,X_Kappa,A_MP,B_Kappa,B_Z,OF,A_Kappa,A_Z,B_Ra,B_Rho,A_CvM,X_MV,A_G,B_EA,A_B,std_X2X,B_CvM,B_ChiP,TF,std_A2B,X_IEI,B_IEI,B_MV
AlBiO3,3.347164115545113,141.0,8.0,35.1211,1.52,3.53098699747994,1.84,3.0540834996780983,5.985768,-97.98663535,1.613,1.1125709505122772,1.61,42.5,11.106,0.7822544599274011,16.0,544.4,0.02658,933.47,8.0,83.0,0.3962962962962963,235.0,13.0,1.6,9780.0,0.897,17.36,13.0,91.2,2.0,0.9195671350487752,0.122,2.02,0.9453098613210076,0.2361832269057185,13.61805,7.2855,21.31
BaHfO3,3.6417216761147713,141.0,8.0,35.1211,1.52,2.9734532972380987,2.68,2.9734532972380987,5.211664,-42.90841904,0.881,0.0,0.89,13.95,27.2,0.0,16.0,2506.0,0.02658,1000.0,23.0,72.0,0.5259259259259259,18.0,56.0,1.55,13310.0,0.204,17.36,2.0,0.0,1.0,0.0,0.144,1.3,1.0160369283068835,0.0,13.61805,6.82507,13.44
BaLiF3,3.501615780953593,328.0,9.0,34.9708,1.47,2.8590573128711783,2.68,2.8590573128711783,5.211664,-26.40931132,0.881,0.0,0.89,13.95,3.0,0.0,17.0,453.69,0.0277,1000.0,85.0,3.0,0.5914396887159533,18.0,56.0,1.45,535.0,0.204,11.2,2.0,59.6,1.0,0.0,3.582,0.98,1.0010142452494155,0.0,17.4228,5.391719,13.02
BaLiH3,3.4803465196619428,72.8,1.0,,1.1,2.841691033747688,2.68,2.841691033747688,5.211664,-16.11107729,0.881,0.0,0.89,13.95,3.0,0.0,1.0,453.69,0.1805,1000.0,85.0,3.0,0.5846153846153846,18.0,56.0,1.45,535.0,0.204,11.42,2.0,59.6,1.0,0.0,3.582,0.98,0.998874142355754,0.0,13.598443,5.391719,13.02
BaSeO3,3.7008190663972615,141.0,8.0,35.1211,1.52,3.329619986003621,2.68,2.907547372894208,5.211664,-31.04511115,0.881,0.1240809477584743,0.89,13.95,6.69,0.9924677731274276,16.0,494.0,0.02658,1000.0,0.52,34.0,0.3703703703703703,18.0,56.0,1.15,4819.0,0.204,17.36,2.0,195.0,1.0,0.5972050579582903,0.321,2.55,1.131370849898476,0.0569734428383598,13.61805,9.75239,16.42
BaTiO3,3.498207810004924,141.0,8.0,35.1211,1.52,3.1671171186216367,2.68,2.884192498821472,5.211664,-37.77974309666671,0.881,0.0682010301383643,0.89,13.95,14.15,1.115317848877051,16.0,1941.0,0.02658,1000.0,22.0,22.0,0.4481481481481481,18.0,56.0,1.4,4507.0,0.204,17.36,2.0,7.6,1.0,0.5238102714428753,0.524,1.54,1.070606686604696,0.0444919242659935,13.61805,6.82812,10.64
CaCO3,3.789681072031728,141.0,8.0,35.1211,1.52,3.09904952216779,2.31,3.4531559879995792,6.11316,-36.72983241,1.034,1.0637746744154173,1.0,2.37,117.4,1.0168092100589927,16.0,3800.0,0.02658,1115.0,140.0,6.0,0.1185185185185185,200.0,20.0,0.7,2267.0,0.647,17.36,2.0,153.9,1.0,0.4982134365506639,0.709,2.55,1.2596802923124588,0.5362869279741909,13.61805,11.2603,5.29
CaSnO3,3.808231945143496,141.0,8.0,35.1211,1.52,3.1175738509927955,2.31,3.3294642406712684,6.11316,-31.343685,1.034,0.9641701829032658,1.0,2.37,7.15,1.1747665032180457,16.0,505.08,0.02658,1115.0,67.0,50.0,0.5111111111111111,200.0,20.0,1.45,7310.0,0.647,17.36,2.0,107.3,1.0,0.2480064609506802,0.227,1.96,0.9324104124469672,0.3880689338724334,13.61805,7.34392,16.29
CaTcN3,4.120525701365616,7.0,7.0,29.6013,1.55,3.484870985966764,2.31,3.15478564583049,6.11316,-38.3412059175,1.034,0.6710399836828463,1.0,2.37,33.29,1.2071881788974543,15.0,2430.0,0.02583,1115.0,51.0,43.0,0.3835616438356165,200.0,20.0,1.35,11500.0,0.647,13.54,2.0,53.0,1.0,0.8289483927655819,,1.9,0.9801480135259072,0.9583050847955664,14.5341,7.28,8.63
CaWN3,3.7843809702608704,7.0,7.0,29.6013,1.55,3.2062960742927404,2.31,3.3154157901389407,6.11316,-40.729365220000005,1.034,0.8006781709117105,1.0,2.37,52.31,1.1364206841204274,15.0,3695.0,0.02583,1115.0,170.0,74.0,0.410958904109589,200.0,20.0,1.35,19250.0,0.647,13.54,2.0,78.6,1.0,0.6337787490283444,0.132,2.36,0.9611160132632685,0.2834362705854861,14.5341,7.86403,9.47
CdSnO3,3.785637054390316,141.0,8.0,35.1211,1.52,3.0932055656818065,2.18,3.2991913428582933,8.99382,-26.02575404666669,1.52,0.9591326546359272,1.69,0.0,7.15,1.1493926004791075,16.0,505.08,0.02658,594.22,67.0,50.0,0.5111111111111111,97.0,48.0,1.45,7310.0,0.231,17.36,12.0,107.3,3.0,0.2304295967831742,0.227,1.96,0.9220117833118708,0.3834606422265185,13.61805,7.34392,16.29
CsAuBr3,4.94301902486144,324.6,35.0,21.591,1.85,4.0383925535658864,3.43,4.064329009579455,3.893905,-12.89471536,0.659,0.0327078817426701,0.79,45.5,12.55,0.3838068156144017,17.0,1337.33,0.12,301.59,320.0,79.0,0.5663265306122449,36.0,55.0,1.35,19300.0,0.242,19.78,1.0,222.8,1.0,0.321577194748667,0.129,2.54,0.8844592963375707,0.0,11.8138,9.22553,10.21
CsAuCl3,4.746958874330636,349.0,17.0,23.8136,1.75,3.9364989780091455,3.43,3.907573973938688,3.893905,-14.24999944,0.659,0.0290941202707055,0.79,45.5,12.55,0.4194149962577046,17.0,1337.33,0.0089,301.59,320.0,79.0,0.6132596685082873,36.0,55.0,1.35,19300.0,0.242,17.39,1.0,222.8,1.0,0.3853812737649267,0.129,2.54,0.8935698707460138,3.8459253727671276e-16,12.96763,9.22553,10.21
