Name,X_EA,mean_A2B,X_Z,X_Rvdw,X_IEII,mean_X2X,A_Rvdw,mean_A2X,A_IEI,E_coh,A_ChiA,B_Hf,X_G,A_EA,std_A2X,A_ChiP,B_MP,std_B2X,OF,A_MP,B_Z,X_Kappa,A_Kappa,B_Kappa,B_Ra,A_Z,B_Rho,X_MV,A_CvM,A_G,B_EA,B_CvM,TF,std_X2X,A_B,std_A2B,B_ChiP,X_IEI,B_MV,B_IEI
AlBiO3,141.0,3.347164115545113,8.0,1.52,35.1211,3.53098699747994,1.84,3.0540834996780983,5.985768,-97.98663535,1.613,11.106,16.0,42.5,1.1125709505122772,1.61,544.4,0.7822544599274011,0.3962962962962963,933.47,83.0,0.02658,235.0,8.0,1.6,13.0,9780.0,17.36,0.897,13.0,91.2,0.122,0.9453098613210076,0.9195671350487752,2.0,0.2361832269057185,2.02,13.61805,21.31,7.2855
BaHfO3,141.0,3.6417216761147713,8.0,1.52,35.1211,2.9734532972380987,2.68,2.9734532972380987,5.211664,-42.90841904,0.881,27.2,16.0,13.95,0.0,0.89,2506.0,0.0,0.5259259259259259,1000.0,72.0,0.02658,18.0,23.0,1.55,56.0,13310.0,17.36,0.204,2.0,0.0,0.144,1.0160369283068835,0.0,1.0,0.0,1.3,13.61805,13.44,6.82507
BaLiF3,328.0,3.501615780953593,9.0,1.47,34.9708,2.8590573128711783,2.68,2.8590573128711783,5.211664,-26.40931132,0.881,3.0,17.0,13.95,0.0,0.89,453.69,0.0,0.5914396887159533,1000.0,3.0,0.0277,18.0,85.0,1.45,56.0,535.0,11.2,0.204,2.0,59.6,3.582,1.0010142452494155,0.0,1.0,0.0,0.98,17.4228,13.02,5.391719
BaLiH3,72.8,3.4803465196619428,1.0,1.1,,2.841691033747688,2.68,2.841691033747688,5.211664,-16.11107729,0.881,3.0,1.0,13.95,0.0,0.89,453.69,0.0,0.5846153846153846,1000.0,3.0,0.1805,18.0,85.0,1.45,56.0,535.0,11.42,0.204,2.0,59.6,3.582,0.998874142355754,0.0,1.0,0.0,0.98,13.598443,13.02,5.391719
BaSeO3,141.0,3.7008190663972615,8.0,1.52,35.1211,3.329619986003621,2.68,2.907547372894208,5.211664,-31.04511115,0.881,6.69,16.0,13.95,0.1240809477584743,0.89,494.0,0.9924677731274276,0.3703703703703703,1000.0,34.0,0.02658,18.0,0.52,1.15,56.0,4819.0,17.36,0.204,2.0,195.0,0.321,1.131370849898476,0.5972050579582903,1.0,0.0569734428383598,2.55,13.61805,16.42,9.75239
BaTiO3,141.0,3.498207810004924,8.0,1.52,35.1211,3.1671171186216367,2.68,2.884192498821472,5.211664,-37.77974309666671,0.881,14.15,16.0,13.95,0.0682010301383643,0.89,1941.0,1.115317848877051,0.4481481481481481,1000.0,22.0,0.02658,18.0,22.0,1.4,56.0,4507.0,17.36,0.204,2.0,7.6,0.524,1.070606686604696,0.5238102714428753,1.0,0.0444919242659935,1.54,13.61805,10.64,6.82812
CaCO3,141.0,3.789681072031728,8.0,1.52,35.1211,3.09904952216779,2.31,3.4531559879995792,6.11316,-36.72983241,1.034,117.4,16.0,2.37,1.0637746744154173,1.0,3800.0,1.0168092100589927,0.1185185185185185,1115.0,6.0,0.02658,200.0,140.0,0.7,20.0,2267.0,17.36,0.647,2.0,153.9,0.709,1.2596802923124588,0.4982134365506639,1.0,0.5362869279741909,2.55,13.61805,5.29,11.2603
CaSnO3,141.0,3.808231945143496,8.0,1.52,35.1211,3.1175738509927955,2.31,3.3294642406712684,6.11316,-31.343685,1.034,7.15,16.0,2.37,0.9641701829032658,1.0,505.08,1.1747665032180457,0.5111111111111111,1115.0,50.0,0.02658,200.0,67.0,1.45,20.0,7310.0,17.36,0.647,2.0,107.3,0.227,0.9324104124469672,0.2480064609506802,1.0,0.3880689338724334,1.96,13.61805,16.29,7.34392
CaTcN3,7.0,4.120525701365616,7.0,1.55,29.6013,3.484870985966764,2.31,3.15478564583049,6.11316,-38.3412059175,1.034,33.29,15.0,2.37,0.6710399836828463,1.0,2430.0,1.2071881788974543,0.3835616438356165,1115.0,43.0,0.02583,200.0,51.0,1.35,20.0,11500.0,13.54,0.647,2.0,53.0,,0.9801480135259072,0.8289483927655819,1.0,0.9583050847955664,1.9,14.5341,8.63,7.28
CaWN3,7.0,3.7843809702608704,7.0,1.55,29.6013,3.2062960742927404,2.31,3.3154157901389407,6.11316,-40.729365220000005,1.034,52.31,15.0,2.37,0.8006781709117105,1.0,3695.0,1.1364206841204274,0.410958904109589,1115.0,74.0,0.02583,200.0,170.0,1.35,20.0,19250.0,13.54,0.647,2.0,78.6,0.132,0.9611160132632685,0.6337787490283444,1.0,0.2834362705854861,2.36,14.5341,9.47,7.86403
CdSnO3,141.0,3.785637054390316,8.0,1.52,35.1211,3.0932055656818065,2.18,3.2991913428582933,8.99382,-26.02575404666669,1.52,7.15,16.0,0.0,0.9591326546359272,1.69,505.08,1.1493926004791075,0.5111111111111111,594.22,50.0,0.02658,97.0,67.0,1.45,48.0,7310.0,17.36,0.231,12.0,107.3,0.227,0.9220117833118708,0.2304295967831742,3.0,0.3834606422265185,1.96,13.61805,16.29,7.34392
CsAuBr3,324.6,4.94301902486144,35.0,1.85,21.591,4.0383925535658864,3.43,4.064329009579455,3.893905,-12.89471536,0.659,12.55,17.0,45.5,0.0327078817426701,0.79,1337.33,0.3838068156144017,0.5663265306122449,301.59,79.0,0.12,36.0,320.0,1.35,55.0,19300.0,19.78,0.242,1.0,222.8,0.129,0.8844592963375707,0.321577194748667,1.0,0.0,2.54,11.8138,10.21,9.22553
CsAuCl3,349.0,4.746958874330636,17.0,1.75,23.8136,3.9364989780091455,3.43,3.907573973938688,3.893905,-14.24999944,0.659,12.55,17.0,45.5,0.0290941202707055,0.79,1337.33,0.4194149962577046,0.6132596685082873,301.59,79.0,0.0089,36.0,320.0,1.35,55.0,19300.0,17.39,0.242,1.0,222.8,0.129,0.8935698707460138,0.3853812737649267,1.0,3.8459253727671276e-16,2.54,12.96763,10.21,9.22553
CsAuI3,295.2,5.259788518909546,53.0,1.98,19.1313,4.253915853181856,3.43,4.32110620373121,3.893905,-11.641618630000002,0.659,12.55,17.0,45.5,0.0304386229743221,0.79,1337.33,0.3822763086201281,0.5045454545454545,301.59,79.0,0.449,36.0,320.0,1.35,55.0,19300.0,25.72,0.242,1.0,222.8,0.129,0.8715998994686143,0.2623773602698975,1.0,3.8459253727671276e-16,2.54,10.45126,10.21,9.22553
CsAuSe3,195.0,4.232312907437451,34.0,1.9,21.19,3.7157529044709854,3.43,4.074252687403119,3.893905,-16.318906239999997,0.659,12.55,16.0,45.5,0.3704646461314429,0.79,1337.33,0.5066770781671772,0.5606060606060607,301.59,79.0,0.52,36.0,320.0,1.35,55.0,19300.0,16.42,0.242,1.0,222.8,0.129,0.8833113836181468,0.7946123080825243,1.0,0.2910070757145268,2.54,9.75239,10.21,9.22553
CsBeH3,72.8,3.641941920549829,1.0,1.1,,3.466278940247519,3.43,3.182216281525264,3.893905,-14.88930261,0.659,7.895,1.0,45.5,0.1028860840792074,0.79,1560.0,1.4613616499920588,0.123076923076923,301.59,4.0,0.1805,36.0,190.0,1.05,55.0,1848.0,11.42,0.242,1.0,0.0,1.825,1.5401366877898774,0.9025872280458364,1.0,0.0245956321761844,1.57,13.598443,4.85,9.3227
CsBiO3,141.0,3.83050678175963,8.0,1.52,35.1211,3.127595690527205,3.43,3.127595690527205,3.893905,-23.48638159,0.659,11.106,16.0,45.5,0.0,0.79,544.4,0.0,0.662962962962963,301.59,83.0,0.02658,36.0,8.0,1.6,55.0,9780.0,17.36,0.242,1.0,91.2,0.122,1.0173518499922265,0.0,1.0,0.0,2.02,13.61805,21.31,7.2855
CsBrO3,141.0,4.082999890728085,8.0,1.52,35.1211,3.6274394795827503,3.43,3.462746564815744,3.893905,-19.7684657,0.659,5.285,16.0,45.5,0.1757714877394845,0.79,265.8,1.303734074158439,0.2888888888888888,301.59,35.0,0.02658,36.0,0.12,1.15,55.0,,17.36,0.242,1.0,324.6,0.474,1.312617760478476,0.7549065741367411,1.0,0.0818994588872303,2.96,13.61805,19.78,11.8138
CsCaF3,328.0,3.966799762885769,9.0,1.47,34.9708,3.238878443621145,3.43,3.238878443621145,3.893905,-25.21092025,0.659,8.54,17.0,45.5,0.0,0.79,1115.0,0.0,1.0428015564202335,301.59,20.0,0.0277,36.0,200.0,1.8,55.0,1550.0,11.2,0.242,1.0,2.37,0.647,0.8525687476020658,0.0,1.0,0.0,1.0,17.4228,26.2,6.11316
CsCaH3,72.8,4.0066906110412015,1.0,1.1,,3.2714491847503626,3.43,3.2714491847503626,3.893905,-14.42288505,0.659,8.54,1.0,45.5,0.0,0.79,1115.0,0.0,1.0307692307692309,301.59,20.0,0.1805,36.0,200.0,1.8,55.0,1550.0,11.42,0.242,1.0,2.37,0.647,0.8517422591565229,0.0,1.0,0.0,1.0,13.598443,26.2,6.11316
CsCdCl3,349.0,4.617651919838872,17.0,1.75,23.8136,3.7702970044627895,3.43,3.7702970044627895,3.893905,-13.8806868,0.659,6.21,17.0,45.5,0.0,0.79,594.22,0.0,0.7237569060773481,301.59,48.0,0.0089,36.0,97.0,1.55,55.0,8650.0,17.39,0.242,1.0,0.0,0.231,0.8362897508263974,0.0,1.0,0.0,1.69,12.96763,13.0,8.99382
CsCdF3,328.0,3.951600672636378,9.0,1.47,34.9708,3.2264684383993054,3.43,3.2264684383993054,3.893905,-19.11520431,0.659,6.21,17.0,45.5,0.0,0.79,594.22,0.0,1.019455252918288,301.59,48.0,0.0277,36.0,97.0,1.55,55.0,8650.0,11.2,0.242,1.0,0.0,0.231,0.8624250337015117,0.0,1.0,0.0,1.69,17.4228,13.0,8.99382
CsGeCl3,349.0,4.741574616084046,17.0,1.75,23.8136,3.819309305199508,3.43,3.926612321322098,3.893905,-16.9125171766667,0.659,36.94,17.0,45.5,0.0487757707083919,0.79,1211.4,0.3533802251714047,0.4033149171270718,301.59,32.0,0.0089,36.0,60.0,1.25,55.0,5323.0,17.39,0.242,1.0,119.0,0.32,1.0272535521962047,0.1896745425860453,1.0,0.0523074130918961,2.01,12.96763,13.63,7.89943
CsIO3,141.0,4.033309574815747,8.0,1.52,35.1211,3.4525092470550085,3.43,3.3683444391900275,3.893905,-21.228439,0.659,7.76,16.0,45.5,0.0680978774252657,0.79,386.85,0.5662963260789745,0.7037037037037036,301.59,53.0,0.02658,36.0,0.449,1.4,55.0,4940.0,17.36,0.242,1.0,295.2,0.214,0.9930238709706734,0.732340487260683,1.0,0.0185348995146854,2.66,13.61805,25.72,10.45126
