Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
AlBiO3,3.347164115545113,35.1211,8.0,3.53098699747994,3.0540834996780983,1.52,1.84,141.0,-97.98663535,0.02658,8.0,5.985768,1.613,13.61805,91.2,17.36,3.44,1.1125709505122772,13.0,1.61,235.0,933.47,2.02,0.7822544599274011,83.0,544.4,0.897,42.5,9780.0,7.2855,11.106,8.28849915349837,2.0,0.3962962962962963,13.0,0.9453098613210076,,21.31,0.2361832269057185,0.122
BaHfO3,3.6417216761147713,35.1211,8.0,2.9734532972380987,2.9734532972380987,1.52,2.68,141.0,-42.90841904,0.02658,23.0,5.211664,0.881,13.61805,0.0,17.36,3.44,0.0,56.0,0.89,18.0,1000.0,1.3,0.0,72.0,2506.0,0.204,13.95,13310.0,6.82507,27.2,8.124592336547465,1.0,0.5259259259259259,2.0,1.0160369283068835,,13.44,0.0,0.144
BaLiF3,3.501615780953593,34.9708,9.0,2.8590573128711783,2.8590573128711783,1.47,2.68,328.0,-26.40931132,0.0277,85.0,5.211664,0.881,17.4228,59.6,11.2,3.98,0.0,56.0,0.89,18.0,1000.0,0.98,0.0,3.0,453.69,0.204,13.95,535.0,5.391719,3.0,5.055916748337136,1.0,0.5914396887159533,2.0,1.0010142452494155,,13.02,0.0,3.582
BaLiH3,3.4803465196619428,,1.0,2.841691033747688,2.841691033747688,1.1,2.68,72.8,-16.11107729,0.1805,85.0,5.211664,0.881,13.598443,59.6,11.42,2.2,0.0,56.0,0.89,18.0,1000.0,0.98,0.0,3.0,453.69,0.204,13.95,535.0,5.391719,3.0,3.768358059314554,1.0,0.5846153846153846,2.0,0.998874142355754,,13.02,0.0,3.582
BaSeO3,3.7008190663972615,35.1211,8.0,3.329619986003621,2.907547372894208,1.52,2.68,141.0,-31.04511115,0.02658,0.52,5.211664,0.881,13.61805,195.0,17.36,3.44,0.1240809477584743,56.0,0.89,18.0,1000.0,2.55,0.9924677731274276,34.0,494.0,0.204,13.95,4819.0,9.75239,6.69,4.753664536251589,1.0,0.3703703703703703,2.0,1.131370849898476,,16.42,0.0569734428383598,0.321
BaTiO3,3.498207810004924,35.1211,8.0,3.1671171186216367,2.884192498821472,1.52,2.68,141.0,-37.77974309666671,0.02658,22.0,5.211664,0.881,13.61805,7.6,17.36,3.44,0.0682010301383643,56.0,0.89,18.0,1000.0,1.54,1.115317848877051,22.0,1941.0,0.204,13.95,4507.0,6.82812,14.15,5.73005654829244,1.0,0.4481481481481481,2.0,1.070606686604696,,10.64,0.0444919242659935,0.524
CaCO3,3.789681072031728,35.1211,8.0,3.09904952216779,3.4531559879995792,1.52,2.31,141.0,-36.72983241,0.02658,140.0,6.11316,1.034,13.61805,153.9,17.36,3.44,1.0637746744154173,20.0,1.0,200.0,1115.0,2.55,1.0168092100589927,6.0,3800.0,0.647,2.37,2267.0,11.2603,117.4,2.607924130517304,1.0,0.1185185185185185,2.0,1.2596802923124588,,5.29,0.5362869279741909,0.709
CaSnO3,3.808231945143496,35.1211,8.0,3.1175738509927955,3.3294642406712684,1.52,2.31,141.0,-31.343685,0.02658,67.0,6.11316,1.034,13.61805,107.3,17.36,3.44,0.9641701829032658,20.0,1.0,200.0,1115.0,1.96,1.1747665032180457,50.0,505.08,0.647,2.37,7310.0,7.34392,7.15,4.958291274779242,1.0,0.5111111111111111,2.0,0.9324104124469672,,16.29,0.3880689338724334,0.227
CaTcN3,4.120525701365616,29.6013,7.0,3.484870985966764,3.15478564583049,1.55,2.31,7.0,-38.3412059175,0.02583,51.0,6.11316,1.034,14.5341,53.0,13.54,3.04,0.6710399836828463,20.0,1.0,200.0,1115.0,1.9,1.2071881788974543,43.0,2430.0,0.647,2.37,11500.0,7.28,33.29,4.27230184262592,1.0,0.3835616438356165,2.0,0.9801480135259072,,8.63,0.9583050847955664,
CaWN3,3.7843809702608704,29.6013,7.0,3.2062960742927404,3.3154157901389407,1.55,2.31,7.0,-40.729365220000005,0.02583,170.0,6.11316,1.034,14.5341,78.6,13.54,3.04,0.8006781709117105,20.0,1.0,200.0,1115.0,2.36,1.1364206841204274,74.0,3695.0,0.647,2.37,19250.0,7.86403,52.31,5.953713216523869,1.0,0.410958904109589,2.0,0.9611160132632685,,9.47,0.2834362705854861,0.132
