Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
AlBiO3,141.0,1.52,8.0,3.347164115545113,16.0,35.1211,3.53098699747994,1.84,1.613,5.985768,83.0,11.106,1.6,3.0540834996780983,0.7822544599274011,0.3962962962962963,42.5,1.1125709505122772,9780.0,-97.98663535,1.61,0.122,544.4,148.0,0.9453098613210076,2.07,933.47,0.9195671350487752,235.0,17.36
BaHfO3,141.0,1.52,8.0,3.6417216761147713,16.0,35.1211,2.9734532972380987,2.68,0.881,5.211664,72.0,27.2,1.55,2.9734532972380987,0.0,0.5259259259259259,13.95,0.0,13310.0,-42.90841904,0.89,0.144,2506.0,175.0,1.0160369283068835,2.23,1000.0,0.0,18.0,17.36
BaLiF3,328.0,1.47,9.0,3.501615780953593,17.0,34.9708,2.8590573128711783,2.68,0.881,5.211664,3.0,3.0,1.45,2.8590573128711783,0.0,0.5914396887159533,13.95,0.0,535.0,-26.40931132,0.89,3.582,453.69,128.0,1.0010142452494155,1.82,1000.0,0.0,18.0,11.2
BaLiH3,72.8,1.1,1.0,3.4803465196619428,1.0,,2.841691033747688,2.68,0.881,5.211664,3.0,3.0,1.45,2.841691033747688,0.0,0.5846153846153846,13.95,0.0,535.0,-16.11107729,0.89,3.582,453.69,128.0,0.998874142355754,1.82,1000.0,0.0,18.0,11.42
BaSeO3,141.0,1.52,8.0,3.7008190663972615,16.0,35.1211,3.329619986003621,2.68,0.881,5.211664,34.0,6.69,1.15,2.907547372894208,0.9924677731274276,0.3703703703703703,13.95,0.1240809477584743,4819.0,-31.04511115,0.89,0.321,494.0,120.0,1.131370849898476,1.9,1000.0,0.5972050579582903,18.0,17.36
BaTiO3,141.0,1.52,8.0,3.498207810004924,16.0,35.1211,3.1671171186216367,2.68,0.881,5.211664,22.0,14.15,1.4,2.884192498821472,1.115317848877051,0.4481481481481481,13.95,0.0682010301383643,4507.0,-37.77974309666671,0.89,0.524,1941.0,160.0,1.070606686604696,2.11,1000.0,0.5238102714428753,18.0,17.36
CaCO3,141.0,1.52,8.0,3.789681072031728,16.0,35.1211,3.09904952216779,2.31,1.034,6.11316,6.0,117.4,0.7,3.4531559879995792,1.0168092100589927,0.1185185185185185,2.37,1.0637746744154173,2267.0,-36.72983241,1.0,0.709,3800.0,76.0,1.2596802923124588,1.7,1115.0,0.4982134365506639,200.0,17.36
CaSnO3,141.0,1.52,8.0,3.808231945143496,16.0,35.1211,3.1175738509927955,2.31,1.034,6.11316,50.0,7.15,1.45,3.3294642406712684,1.1747665032180457,0.5111111111111111,2.37,0.9641701829032658,7310.0,-31.343685,1.0,0.227,505.08,139.0,0.9324104124469672,2.17,1115.0,0.2480064609506802,200.0,17.36
CaTcN3,7.0,1.55,7.0,4.120525701365616,15.0,29.6013,3.484870985966764,2.31,1.034,6.11316,43.0,33.29,1.35,3.15478564583049,1.2071881788974543,0.3835616438356165,2.37,0.6710399836828463,11500.0,-38.3412059175,1.0,,2430.0,147.0,0.9801480135259072,2.16,1115.0,0.8289483927655819,200.0,13.54
CaWN3,7.0,1.55,7.0,3.7843809702608704,15.0,29.6013,3.2062960742927404,2.31,1.034,6.11316,74.0,52.31,1.35,3.3154157901389407,1.1364206841204274,0.410958904109589,2.37,0.8006781709117105,19250.0,-40.729365220000005,1.0,0.132,3695.0,162.0,0.9611160132632685,2.18,1115.0,0.6337787490283444,200.0,13.54
CdSnO3,141.0,1.52,8.0,3.785637054390316,16.0,35.1211,3.0932055656818065,2.18,1.52,8.99382,50.0,7.15,1.45,3.2991913428582933,1.1493926004791075,0.5111111111111111,0.0,0.9591326546359272,7310.0,-26.02575404666669,1.69,0.227,505.08,139.0,0.9220117833118708,2.17,594.22,0.2304295967831742,97.0,17.36
CsAuBr3,324.6,1.85,35.0,4.94301902486144,17.0,21.591,4.0383925535658864,3.43,0.659,3.893905,79.0,12.55,1.35,4.064329009579455,0.3838068156144017,0.5663265306122449,45.5,0.0327078817426701,19300.0,-12.89471536,0.79,0.129,1337.33,136.0,0.8844592963375707,2.14,301.59,0.321577194748667,36.0,19.78
CsAuCl3,349.0,1.75,17.0,4.746958874330636,17.0,23.8136,3.9364989780091455,3.43,0.659,3.893905,79.0,12.55,1.35,3.907573973938688,0.4194149962577046,0.6132596685082873,45.5,0.0290941202707055,19300.0,-14.24999944,0.79,0.129,1337.33,136.0,0.8935698707460138,2.14,301.59,0.3853812737649267,36.0,17.39
CsAuI3,295.2,1.98,53.0,5.259788518909546,17.0,19.1313,4.253915853181856,3.43,0.659,3.893905,79.0,12.55,1.35,4.32110620373121,0.3822763086201281,0.5045454545454545,45.5,0.0304386229743221,19300.0,-11.641618630000002,0.79,0.129,1337.33,136.0,0.8715998994686143,2.14,301.59,0.2623773602698975,36.0,25.72
CsAuSe3,195.0,1.9,34.0,4.232312907437451,16.0,21.19,3.7157529044709854,3.43,0.659,3.893905,79.0,12.55,1.35,4.074252687403119,0.5066770781671772,0.5606060606060607,45.5,0.3704646461314429,19300.0,-16.318906239999997,0.79,0.129,1337.33,136.0,0.8833113836181468,2.14,301.59,0.7946123080825243,36.0,16.42
CsBeH3,72.8,1.1,1.0,3.641941920549829,1.0,,3.466278940247519,3.43,0.659,3.893905,4.0,7.895,1.05,3.182216281525264,1.4613616499920588,0.123076923076923,45.5,0.1028860840792074,1848.0,-14.88930261,0.79,1.825,1560.0,96.0,1.5401366877898774,1.53,301.59,0.9025872280458364,36.0,11.42
