Name,ZPE
AlBiO3,30.4940185
BaHfO3,19.3823906
BaLiF3,20.3287001
BaLiH3,47.721477
BaSeO3,25.75
BaTiO3,27.5639139666667
CaCO3,45.79
CaSnO3,29.2927990166667
CaTcN3,35.32471825
CaWN3,34.99597655
CdSnO3,27.5672268166667
CsAuBr3,6.83728895
CsAuCl3,9.974861275
CsAuI3,5.247777075
CsAuSe3,8.8
CsBeH3,54.18
CsBiO3,15.7748079
CsBrO3,23.87
CsCaF3,15.6856663
CsCaH3,40.7533565
CsCdCl3,8.5345507
CsCdF3,14.0750994
CsGeCl3,8.93198143333333
CsIO3,22.5
CsMgBr3,9.0333859
CsMgCl3,12.58451505
CsPbF3,10.3726391333333
CsReO3,26.5228052
CsSbO3,20.1085789
CsSnS3,13.97
CsSrBr3,6.638043325
CsWO3,26.5950365
InBO3,45.3790963166667
InGaO3,31.4388998
KCaBr3,8.68189005
KMgF3,21.9558147
KMgH3,50.8166236
KNbO3,28.3858273
KSbO3,29.1439907833333
KTaO3,27.07
KZnF3,17.4065927
LaAlO3,31.7946775166667
LaCoN3,36.182134925
LaCrO3,28.0701563
LaScO3,26.87242305
LiAsO3,36.9297267
LiNbO3,31.4168959833333
LiSbO3,34.399048325
LiTaO3,31.5961015166667
MgCO3,50.56
MgSiO3,41.2670353
MgTiO3,34.6857921
NaBiO3,25.9516082833333
NaCdF3,18.49596025
NaCoF3,19.730801075
NaMgF3,23.936965025
NaMnF3,18.600862725
NaNbO3,28.5442921666667
NaSbO3,30.8809408
RbAuBr3,7.1844583
RbAuI3,5.622316375
RbBiO3,17.3132009
RbBrO3,24.44
RbCaH3,40.5487446
RbIO3,22.6
RbMgF3,20.6696547
RbPbBr3,5.8380683
RbPbCl3,8.173055875
RbReO3,29.0647247
RbSbO3,23.5574754
RbWO3,29.1606002
ReTlO3,25.9260651
ScBO3,46.0813441
SrWN3,32.684244875
TiCdO3,28.92860965
TiPbO3,26.1
TlCrO3,26.39191275
TlIO3,22.06
YVO3,28.618223025
YWN3,33.42
