Name,B_Ra,B_Rc,B_Rvdw,A_Rvdw,X_Rvdw,mean_A2X,mean_A2B,mean_X2X,std_A2X,std_A2B,std_B2X,X_G,X_EA,A_EA,B_CvM,A_ChiA,A_MP,B_MP
AlBiO3,1.6,148.0,2.07,1.84,1.52,3.0540834996780983,3.347164115545113,3.53098699747994,1.1125709505122772,0.2361832269057185,0.7822544599274011,16.0,141.0,42.5,0.122,1.613,933.47,544.4
BaHfO3,1.55,175.0,2.23,2.68,1.52,2.9734532972380987,3.6417216761147713,2.9734532972380987,0.0,0.0,0.0,16.0,141.0,13.95,0.144,0.881,1000.0,2506.0
BaLiF3,1.45,128.0,1.82,2.68,1.47,2.8590573128711783,3.501615780953593,2.8590573128711783,0.0,0.0,0.0,17.0,328.0,13.95,3.582,0.881,1000.0,453.69
BaLiH3,1.45,128.0,1.82,2.68,1.1,2.841691033747688,3.4803465196619428,2.841691033747688,0.0,0.0,0.0,1.0,72.8,13.95,3.582,0.881,1000.0,453.69
BaSeO3,1.15,120.0,1.9,2.68,1.52,2.907547372894208,3.7008190663972615,3.329619986003621,0.1240809477584743,0.0569734428383598,0.9924677731274276,16.0,141.0,13.95,0.321,0.881,1000.0,494.0
BaTiO3,1.4,160.0,2.11,2.68,1.52,2.884192498821472,3.498207810004924,3.1671171186216367,0.0682010301383643,0.0444919242659935,1.115317848877051,16.0,141.0,13.95,0.524,0.881,1000.0,1941.0
CaCO3,0.7,76.0,1.7,2.31,1.52,3.4531559879995792,3.789681072031728,3.09904952216779,1.0637746744154173,0.5362869279741909,1.0168092100589927,16.0,141.0,2.37,0.709,1.034,1115.0,3800.0
CaSnO3,1.45,139.0,2.17,2.31,1.52,3.3294642406712684,3.808231945143496,3.1175738509927955,0.9641701829032658,0.3880689338724334,1.1747665032180457,16.0,141.0,2.37,0.227,1.034,1115.0,505.08
CaTcN3,1.35,147.0,2.16,2.31,1.55,3.15478564583049,4.120525701365616,3.484870985966764,0.6710399836828463,0.9583050847955664,1.2071881788974543,15.0,7.0,2.37,,1.034,1115.0,2430.0
CaWN3,1.35,162.0,2.18,2.31,1.55,3.3154157901389407,3.7843809702608704,3.2062960742927404,0.8006781709117105,0.2834362705854861,1.1364206841204274,15.0,7.0,2.37,0.132,1.034,1115.0,3695.0
CdSnO3,1.45,139.0,2.17,2.18,1.52,3.2991913428582933,3.785637054390316,3.0932055656818065,0.9591326546359272,0.3834606422265185,1.1493926004791075,16.0,141.0,0.0,0.227,1.52,594.22,505.08
CsAuBr3,1.35,136.0,2.14,3.43,1.85,4.064329009579455,4.94301902486144,4.0383925535658864,0.0327078817426701,0.0,0.3838068156144017,17.0,324.6,45.5,0.129,0.659,301.59,1337.33
CsAuCl3,1.35,136.0,2.14,3.43,1.75,3.907573973938688,4.746958874330636,3.9364989780091455,0.0290941202707055,3.8459253727671276e-16,0.4194149962577046,17.0,349.0,45.5,0.129,0.659,301.59,1337.33
CsAuI3,1.35,136.0,2.14,3.43,1.98,4.32110620373121,5.259788518909546,4.253915853181856,0.0304386229743221,3.8459253727671276e-16,0.3822763086201281,17.0,295.2,45.5,0.129,0.659,301.59,1337.33
CsAuSe3,1.35,136.0,2.14,3.43,1.9,4.074252687403119,4.232312907437451,3.7157529044709854,0.3704646461314429,0.2910070757145268,0.5066770781671772,16.0,195.0,45.5,0.129,0.659,301.59,1337.33
CsBeH3,1.05,96.0,1.53,3.43,1.1,3.182216281525264,3.641941920549829,3.466278940247519,0.1028860840792074,0.0245956321761844,1.4613616499920588,1.0,72.8,45.5,1.825,0.659,301.59,1560.0
CsBiO3,1.6,148.0,2.07,3.43,1.52,3.127595690527205,3.83050678175963,3.127595690527205,0.0,0.0,0.0,16.0,141.0,45.5,0.122,0.659,301.59,544.4
CsBrO3,1.15,120.0,1.85,3.43,1.52,3.462746564815744,4.082999890728085,3.6274394795827503,0.1757714877394845,0.0818994588872303,1.303734074158439,16.0,141.0,45.5,0.474,0.659,301.59,265.8
CsCaF3,1.8,176.0,2.31,3.43,1.47,3.238878443621145,3.966799762885769,3.238878443621145,0.0,0.0,0.0,17.0,328.0,45.5,0.647,0.659,301.59,1115.0
CsCaH3,1.8,176.0,2.31,3.43,1.1,3.2714491847503626,4.0066906110412015,3.2714491847503626,0.0,0.0,0.0,1.0,72.8,45.5,0.647,0.659,301.59,1115.0
CsCdCl3,1.55,144.0,2.18,3.43,1.75,3.7702970044627895,4.617651919838872,3.7702970044627895,0.0,0.0,0.0,17.0,349.0,45.5,0.231,0.659,301.59,594.22
CsCdF3,1.55,144.0,2.18,3.43,1.47,3.2264684383993054,3.951600672636378,3.2264684383993054,0.0,0.0,0.0,17.0,328.0,45.5,0.231,0.659,301.59,594.22
