     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3
         1    0.3042871030E+00    0.3656300790E+00    0.8018783390E+00    0.4981184112E+00    0.1037490287E+01
         2    0.5440006929E+00    0.5083534798E+00    0.1179487179E+01    0.6323763747E+00    0.6962305654E-01
         3    0.2216411045E+00    0.3160287410E+00    0.7053170731E+00    0.8268632174E+00    0.3832073742E+00
         4    0.3465164618E+00    0.4238187632E+00    0.1038937488E+01    0.7093542333E+00    0.3479357486E+00
         5    0.4991514814E+00    0.4880784357E+00    0.1179487179E+01    0.6940665303E+00    0.7339217250E-01
         6    0.4039727623E+00    0.3879239528E+00    0.7668817512E+00    0.6571502421E+00    0.3384869339E+00
         7    0.2041449015E+00    0.2182033913E+00    0.4489894990E+00    0.7453937562E+00    0.1021362395E+01
         8    0.1071584303E+00    0.1293627022E+00    0.2902267887E+00    0.1278758054E+01    0.2899870315E-01
         9    0.4193853010E+00    0.3480251550E+00    0.7668817512E+00    0.7818597767E+00    0.3366413352E+00
        10    0.2067978679E+00    0.3406913114E+00    0.7668817512E+00    0.8046615200E+00    0.3366413352E+00
        11    0.5203053127E+00    0.4852679754E+00    0.7668817512E+00    0.3570272963E+00    0.3314072806E+00
        12    0.3604263711E+00    0.4499692800E+00    0.8018783390E+00    0.2358983634E+00    0.1037490287E+01
        13    0.3534103400E+00    0.3483744302E+00    0.6780984612E+00    0.7255554720E+00    0.3384869339E+00
        14    0.0000000000E+00   -0.3722345155E-01    0.2870338383E+00    0.1805084746E+01    0.3232941246E-04
        15    0.4005160987E+00    0.3406913114E+00    0.7668817512E+00    0.8046615200E+00    0.3366413352E+00
        16    0.4170447350E-01    0.4049879515E-01    0.4499568230E+00    0.1663460474E+01    0.3001282200E-03
        17    0.3601477045E+00    0.3186588706E+00    0.8402217939E+00    0.9120697318E+00    0.3538797111E+00
        18    0.5156971410E-01    0.1043869810E+00    0.2826084721E+00    0.1358883204E+01    0.8983053073E-02
        19    0.2331452547E+00    0.3004963104E+00    0.7668817512E+00    0.9234706034E+00    0.3538797111E+00
        20    0.4158897917E+00    0.3871241626E+00    0.7668817512E+00    0.6561501656E+00    0.3482416112E+00
        21    0.6608317918E+00    0.5920020663E+00    0.1104225909E+01    0.2253172265E+00    0.3514522905E+00
        22    0.1869803631E+00    0.2298812745E+00    0.5452762913E+00    0.7702461746E+00    0.1015793421E+01
        23    0.4004111965E+00    0.4549405135E+00    0.8402217939E+00    0.4712860319E+00    0.4016324958E+00
        24    0.2443533900E+00    0.2007370598E+00    0.4697259618E+00    0.8022503680E+00    0.1049873582E+01
        25    0.2256075613E+00    0.2708326603E+00    0.5452762913E+00    0.6409331417E+00    0.1021362395E+01
        26    0.1908079149E+00    0.2599092576E+00    0.6780984612E+00    0.9972262424E+00    0.3479357486E+00
        27    0.1251388899E+00    0.1734466036E+00    0.4627319979E+00    0.1256710501E+01    0.3799577483E-02
        28    0.2600511792E-01    0.5306656806E-01    0.3080321809E+00    0.1534121318E+01    0.8832168667E-02
        29    0.3868232049E+00    0.3762329850E+00    0.7668817512E+00    0.6384488123E+00    0.4924985880E+00
        30    0.6749880415E+00    0.6793304319E+00    0.9749748764E+00    0.0000000000E+00    0.0000000000E+00
        31    0.8138401227E+00    0.7692587346E+00    0.1429963152E+01    0.0000000000E+00    0.0000000000E+00
        32    0.7624289820E+00    0.6975084345E+00    0.1610146147E+01    0.1689129141E+00    0.4613135097E+00
        33    0.7277824809E-01    0.4292085128E-01    0.3192915905E+00    0.1565376238E+01    0.2899870315E-01
        34    0.2073173109E+00    0.2514176343E+00    0.5175299314E+00    0.6842460794E+00    0.1021362395E+01
        35    0.4134694955E+00    0.4349364484E+00    0.7053170731E+00    0.4503344301E+00    0.4023192984E+00
        36    0.5232340568E+00    0.4946572072E+00    0.8018783390E+00    0.3421761609E+00    0.3514522905E+00
        37    0.3032882364E+00    0.3315443458E+00    0.7668817512E+00    0.8290633856E+00    0.3479357486E+00
        38    0.3956928830E-02    0.7918395126E-02    0.2870338383E+00    0.1664733869E+01    0.3178638948E-04
        39    0.1229490256E-01   -0.2321065869E-01    0.2216329106E+00    0.1718128189E+01    0.8983053073E-02
        40    0.1000000000E+01    0.1092266516E+01    0.3064206754E+01    0.0000000000E+00    0.0000000000E+00
        41    0.3552968032E+00    0.3164591220E+00    0.5506085598E+00    0.2872022858E+00    0.1623280707E+01
        42    0.6780052156E+00    0.6793304319E+00    0.9749748764E+00    0.0000000000E+00    0.0000000000E+00
        43    0.3343240781E-01    0.4863430751E-01    0.2455266806E+00    0.1502456907E+01    0.2851162464E-01
        44    0.4450068698E+00    0.4279454574E+00    0.6780984612E+00    0.4674857414E+00    0.3683505853E+00
        45    0.4688117672E+00    0.4337344327E+00    0.9290728342E+00    0.5795943126E+00    0.4358315482E+00
        46    0.5775704050E+00    0.5157902912E+00    0.1179487179E+01    0.6029951311E+00    0.8713468909E-01
        47    0.1310201978E+00    0.7073614710E-01    0.4489894990E+00    0.1187284058E+01    0.1067809103E+01
        48    0.8829183663E+00    0.8566534143E+00    0.2220586170E+01    0.8850676674E-01    0.3514522905E+00
        49    0.3627275498E+00    0.3113250270E+00    0.8402217939E+00    0.9348714751E+00    0.3538797111E+00
        50    0.3921373369E+00    0.3939267900E+00    0.8018783390E+00    0.6251977992E+00    0.4358315482E+00
        51    0.4076677241E-01   -0.1178824177E-01    0.2816797770E+00    0.1712359923E+01    0.2899870315E-01
        52    0.7967112551E+00    0.7716218528E+00    0.2220586170E+01    0.3540270669E+00    0.3482416112E+00
        53    0.6816873729E-01    0.7435716005E-01    0.3678042909E+00    0.1126136381E+01    0.1067809103E+01
        54    0.2701456893E+00    0.2182266479E+00    0.4697259618E+00    0.7600548951E+00    0.1015793421E+01
        55    0.4126468375E+00    0.3497069061E+00    0.8402217939E+00    0.8176625139E+00    0.3479357486E+00
        56    0.2412652736E+00    0.2051019149E+00    0.4924705873E+00    0.7646141517E+00    0.1156303427E+01
        57    0.3852392283E+00    0.3543653870E+00    0.8018783390E+00    0.7670086412E+00    0.3832073742E+00
        58    0.5205698419E-01    0.1372583126E+00    0.3421336016E+00    0.1286107238E+01    0.2899870315E-01
        59    0.3680806173E+00    0.3676315592E+00    0.5874225042E+00    0.5871448898E+00    0.4023192984E+00
        60    0.4146590585E+00    0.3423730625E+00    0.8402217939E+00    0.8404642572E+00    0.3479357486E+00
        61    0.3626837726E+00    0.4204713994E+00    0.1038937488E+01    0.7071540651E+00    0.3832073742E+00
        62    0.4620766013E+00    0.4895017145E+00    0.8824163381E+00    0.3684281680E+00    0.4613135097E+00
