     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6
         1    0.3042871030E+00    0.3388928237E+00    0.8018783390E+00    0.4981184112E+00    0.5965577177E+00    0.3798202243E+01    0.5921282056E-02    0.2609445941E+00
         2    0.5440006929E+00    0.5477004663E+00    0.1179487179E+01    0.6323763747E+00    0.3895757298E-01    0.8534039262E-01    0.2274410324E-04    0.3466549731E+00
         3    0.2216411045E+00    0.2779578085E+00    0.7053170731E+00    0.8268632174E+00    0.3085306689E+00    0.5266014258E+01    0.8774544985E-04    0.1181061397E+00
         4    0.3465164618E+00    0.3235133838E+00    0.1038937488E+01    0.7093542333E+00    0.3314072806E+00    0.1878252323E+02    0.2072407779E-02    0.4446604203E+00
         5    0.4991514814E+00    0.5507569570E+00    0.1179487179E+01    0.6940665303E+00    0.3895757298E-01   -0.9800467322E+00    0.1564824180E-04    0.4629539423E+00
         6    0.4039727623E+00    0.3898455160E+00    0.7668817512E+00    0.6571502421E+00    0.2800336878E+00    0.9158149552E+00    0.2265031338E-03    0.2453100250E+00
         7    0.2041449015E+00    0.2162917266E+00    0.4489894990E+00    0.7453937562E+00    0.7386998675E+00   -0.5033553206E+00    0.2238715300E-03    0.1279847980E+00
         8    0.1071584303E+00    0.8675237454E-01    0.2902267887E+00    0.1278758054E+01    0.1647476305E-01    0.2000750563E+01    0.6571108598E-02    0.2805795448E+00
         9    0.4193853010E+00    0.3939617116E+00    0.7668817512E+00    0.7818597767E+00    0.3075676549E+00    0.1737874562E+01    0.8883616324E-05    0.6428290582E+00
        10    0.2067978679E+00    0.3315057890E+00    0.7668817512E+00    0.8046615200E+00    0.2774196641E+00    0.2824742554E+01    0.1881236398E-05    0.2118134249E+00
        11    0.5203053127E+00    0.5055969662E+00    0.7668817512E+00    0.3570272963E+00    0.3075676549E+00    0.4655998625E+00    0.0000000000E+00    0.4580784626E+00
