     Index              y_true              y_pred        descriptor_1        descriptor_2        descriptor_3        descriptor_4
         1    0.4409666276E+00    0.4715037664E+00    0.1344379893E+00    0.5384615385E+00    0.8253455961E+00    0.0000000000E+00
         2    0.7424838322E+00    0.7163600319E+00    0.0000000000E+00   -0.5262669068E-02   -0.2544204347E-01    0.3171639799E+00
         3    0.7088784800E+00    0.6723376583E+00    0.1532467686E+00    0.4310021034E-02    0.9936221143E-01    0.1802659780E-01
         4    0.4845643894E+00    0.4777011471E+00    0.1726227968E+00    0.9822343564E-01   -0.4676730546E-01    0.5010126714E+00
         5    0.7039212836E+00    0.6499071529E+00    0.0000000000E+00   -0.5298368936E-03   -0.4321479351E-01    0.5594671592E+00
         6    0.6862391363E+00    0.6136379829E+00    0.1144947122E+00   -0.2166800024E-02   -0.1353650896E-01    0.3526629543E+00
         7    0.4035735992E+00    0.4829343843E+00    0.2867585085E+00   -0.6802489513E-01    0.1569371681E+00    0.4752852203E+00
         8    0.2325611125E+00    0.2136574871E+00    0.6751063812E+00    0.1326966563E-03    0.0000000000E+00    0.1469451357E+00
         9    0.6806239492E+00    0.6808037858E+00    0.1585311400E+00   -0.3354109031E-01   -0.4732370136E-01    0.1039001472E-01
        10    0.8332189795E+00    0.6809844244E+00    0.1585311400E+00    0.9014423077E-02    0.3439192091E+00    0.8002359821E-02
        11    0.8189209971E+00    0.7700240198E+00    0.3170622799E-01   -0.9348704964E-01   -0.2170565813E-01    0.1774146917E+00
        12    0.6127430717E+00    0.6983236372E+00    0.5615764110E-01   -0.3817334802E-02   -0.7675619339E-02    0.2131475024E+00
        13    0.6061163367E+00    0.6028665862E+00    0.1144947122E+00   -0.9747332568E-01   -0.2603355300E+00    0.5217077845E+00
        14    0.2418758418E-01    0.1680288718E-01    0.8426900585E+00    0.1158291539E+00    0.1460708343E+01    0.4555946001E+00
        15    0.6474339979E+00    0.5978953113E+00    0.1585311400E+00    0.7979131574E-02   -0.2105165623E-01    0.2563186933E+00
        16    0.1780865173E+00    0.1862726738E+00    0.4723913558E+00    0.4610995789E-01   -0.1723786766E+01    0.4550548483E+00
        17    0.6188163482E+00    0.6311049424E+00    0.2008061106E+00    0.2636718750E-01    0.2189407348E+00    0.1140616488E-01
        18    0.1285892075E+00    0.1043096164E+00    0.8060207930E+00    0.1330983733E-03    0.3684709346E+00    0.2329363983E+00
        19    0.4475593517E+00    0.4485014928E+00    0.2008061106E+00    0.3864933894E+00    0.1016473725E+00    0.2127109924E-01
        20    0.6828693696E+00    0.6447654333E+00    0.1056874266E+00   -0.1248858983E+00   -0.1465147731E+00    0.4616394484E+00
        21    0.9522744680E+00    0.8954591674E+00    0.2642185666E-01   -0.2460944720E+00    0.0000000000E+00    0.0000000000E+00
        22    0.3664971306E+00    0.4020164192E+00    0.3970502425E+00    0.1624755859E+00    0.1397924010E+00    0.1366341074E-01
        23    0.6724321317E+00    0.6794731613E+00    0.5900881321E-01   -0.2869721246E-02   -0.4391639678E-02    0.2754210392E+00
        24    0.4646119970E+00    0.4517419103E+00    0.4323435974E+00    0.1502403846E-03    0.1415430424E+00    0.1464937558E-01
        25    0.4396619002E+00    0.4046356069E+00    0.2867585085E+00   -0.3589192082E-01   -0.1284835568E-01    0.6823098059E+00
        26    0.3541765893E+00    0.4297030088E+00    0.1726227968E+00    0.4637920673E+00    0.7360685342E-01    0.3198260099E-01
        27    0.0000000000E+00    0.8230761790E-01    0.3728726318E+00    0.2873569871E+00   -0.4099017513E+01    0.2471631823E+00
        28    0.7734600107E-01    0.1222867773E+00    0.6928950677E+00    0.1028232073E+00    0.4378562649E+00    0.3380527535E+00
        29    0.6337399507E+00    0.6622232937E+00    0.1004030553E+00   -0.1226166200E+00   -0.1501322703E+00    0.4062172111E+00
        30    0.7833527589E+00    0.8130403845E+00    0.0000000000E+00    0.2065805288E-03    0.5697246245E+00    0.5392103614E-01
        31    0.1000000000E+01    0.9944148128E+00    0.0000000000E+00    0.0000000000E+00    0.3859268531E+01    0.7486425468E-02
        32    0.9030349124E+00    0.8939253893E+00    0.3170622799E-01   -0.3010769869E+00   -0.3043655450E-01    0.8527706738E-01
        33    0.1581868218E+00    0.1286673871E+00    0.6751063812E+00    0.1161048318E+00    0.0000000000E+00    0.2578740616E+00
        34    0.4062673064E+00    0.4846460831E+00    0.2867585085E+00   -0.1091917360E-01   -0.1549636569E-01    0.3290680838E+00
        35    0.6678368555E+00    0.7524081394E+00    0.0000000000E+00   -0.1124830980E+00   -0.5437857140E-01    0.3718211771E+00
        36    0.8085237899E+00    0.7766130947E+00    0.2642185666E-01   -0.1468015972E-02   -0.1270915454E-01    0.0000000000E+00
        37    0.5274269211E+00    0.4768159253E+00    0.1726227968E+00    0.3864933894E+00    0.1641432062E+00    0.1240694301E-01
        38    0.3343038757E-01    0.1174048760E+00    0.7244177696E+00    0.9706234273E-01    0.1478519037E+01    0.4747751210E+00
        39    0.5616516847E-01    0.3200511383E-01    0.8060207930E+00    0.1544381488E-03    0.2553467720E+00    0.4875933363E+00
        40    0.6233070624E+00    0.7077789741E+00    0.0000000000E+00    0.4463432684E-04   -0.1621600423E+00    0.3132817974E+00
        41    0.5912133463E+00    0.5785726199E+00    0.7147336140E-01    0.3894230769E+00    0.1496997220E+01    0.1930137927E+00
        42    0.8192085992E+00    0.8067072955E+00    0.0000000000E+00    0.2065805288E-03    0.5344655411E+00    0.7123605244E-01
        43    0.1002716451E+00    0.1234414623E+00    0.5803546084E+00    0.2441074276E+00    0.0000000000E+00    0.3344497483E+00
        44    0.7052999839E+00    0.7628724457E+00    0.7574265576E-01   -0.1621757964E+00   -0.9297179796E-02    0.1979953610E+00
        45    0.7350808441E+00    0.7069642301E+00    0.1092103409E+00   -0.1758786895E+00   -0.8504174614E-02    0.3340258759E+00
        46    0.6882458243E+00    0.6599654455E+00    0.0000000000E+00   -0.2150659498E-01   -0.1354172254E-01    0.5656061885E+00
        47    0.2710053822E+00    0.2756100989E+00    0.5029303071E+00    0.2124680739E+00    0.6132944365E-01    0.6197310527E-01
        48    0.9592419374E+00    0.9807907209E+00    0.2642185666E-01   -0.4244601764E+00   -0.1646722243E-01    0.0000000000E+00
        49    0.6174797606E+00    0.6343143930E+00    0.2008061106E+00    0.1525878906E-01    0.1831383296E+00    0.1261905181E-01
