     Index       y_measurement           y_fitting        descriptor_1
         1    0.5159430722E+00    0.4853510549E+00    0.3182247033E+01
         2    0.2888610547E+00    0.2934508198E+00    0.3717814718E+01
         3    0.3082002436E+00    0.3133082079E+00    0.3662395425E+01
         4    0.8680108400E+00    0.9223618018E+00    0.1962608954E+01
         5    0.4189922652E+00    0.5468104371E+00    0.3010722183E+01
         6    0.4560621929E+00    0.4090441042E+00    0.3395209445E+01
         7    0.8285383435E+00    0.7764241083E+00    0.2369901382E+01
         8    0.4913944330E+00    0.4657202532E+00    0.3237033954E+01
         9    0.6146653346E+00    0.5536420626E+00    0.2991656037E+01
        10    0.6079470275E+00    0.5409235271E+00    0.3027151755E+01
        11    0.4561298958E+00    0.4712633622E+00    0.3221563884E+01
        12    0.3248394984E-01    0.6434436764E-01    0.4357219939E+01
        13    0.9660473033E-01    0.1000028762E+00    0.4257701849E+01
        14    0.0000000000E+00    0.4931126219E-02    0.4523034286E+01
        15    0.7259475889E-01    0.2335845794E+00    0.3884893324E+01
        16    0.1000000000E+01    0.1012462486E+01    0.1711150092E+01
        17    0.2151349396E+00    0.2325126298E+00    0.3887884991E+01
        18    0.3805717748E+00    0.4076489447E+00    0.3399103147E+01
        19    0.2133132035E+00    0.5086042574E-01    0.4394851803E+01
        20    0.7256073259E+00    0.7744811280E+00    0.2375323978E+01
        21    0.6716992257E-01    0.3502752480E-01    0.4439039295E+01
        22    0.1803989641E+00    0.1663854041E+00    0.4072437163E+01
        23    0.7529198835E-01    0.1465986844E+00    0.4127659230E+01
        24    0.3525738643E+00    0.2855535792E+00    0.3739854852E+01
        25    0.7736433374E-01    0.3452106788E-01    0.4440452748E+01
        26    0.1499367398E+00    0.7490298551E-01    0.4327752260E+01
        27    0.1047338901E+00    0.8527991885E-01    0.4298791638E+01
        28    0.4347856454E+00    0.4190108518E+00    0.3367393596E+01
        29    0.3037017519E+00    0.3424857226E+00    0.3580964915E+01
        30    0.1782511074E+00    0.1900943644E+00    0.4006268651E+01
        31    0.2841208036E-01   -0.4462335665E-01    0.4661334167E+01
        32    0.4362617954E+00    0.4151512932E+00    0.3378165104E+01
        33    0.8201409387E+00    0.7622636375E+00    0.2409421347E+01
        34    0.5352530737E+00    0.6039363369E+00    0.2851291498E+01
        35    0.7018101304E-01    0.8371668605E-01    0.4303154410E+01
        36    0.3414526589E+00    0.2856225166E+00    0.3739662457E+01
        37    0.9312645901E+00    0.9082696252E+00    0.2001938319E+01
        38    0.4728591681E+00    0.3896927313E+00    0.3449216518E+01
        39    0.4883533238E+00    0.4364807419E+00    0.3318637488E+01
        40    0.4459683542E+00    0.3747047017E+00    0.3491046088E+01
        41    0.2484827972E+00    0.3482135496E+00    0.3564979322E+01
        42    0.5425239005E+00    0.5238483813E+00    0.3074806185E+01
        43    0.6321878713E+00    0.4972997417E+00    0.3148899859E+01
        44    0.4664079795E+00    0.5183722687E+00    0.3090089277E+01
        45    0.4419305865E+00    0.4269351300E+00    0.3345278004E+01
        46    0.6474659791E+00    0.6456162563E+00    0.2734968462E+01
        47    0.5348033942E+00    0.5209927693E+00    0.3082775813E+01
        48    0.5957479450E+00    0.5003015900E+00    0.3140522105E+01
        49    0.5384657158E+00    0.5219192089E+00    0.3080190245E+01
        50    0.9260201196E+00    0.8777008076E+00    0.2087251768E+01
        51    0.7361050872E+00    0.6310633219E+00    0.2775583740E+01
        52    0.6016079643E+00    0.5466872315E+00    0.3011066033E+01
        53    0.4231124190E+00    0.3938772512E+00    0.3437538087E+01
        54    0.2707455820E+00    0.3722447595E+00    0.3497911455E+01
        55    0.2959813214E+00    0.4184316007E+00    0.3369010208E+01
        56    0.3819403009E+00    0.3757439414E+00    0.3488145710E+01
        57    0.2728894142E+00    0.4606654221E+00    0.3251141306E+01
        58    0.4760976244E+00    0.4843934769E+00    0.3184919504E+01
        59    0.5238503831E+00    0.4562208223E+00    0.3263545585E+01
        60    0.3957885232E-01    0.1603265607E+00    0.4089346578E+01
        61    0.7654246581E-02    0.1162291533E+00    0.4212416497E+01
        62    0.2465742021E+00    0.2461653434E+00    0.3849782108E+01
        63    0.3922205405E+00    0.4631896648E+00    0.3244096485E+01
        64    0.7214257889E+00    0.7820652482E+00    0.2354157721E+01
        65    0.3546175074E+00    0.3310542005E+00    0.3612868752E+01
        66    0.3151681388E+00    0.2708967823E+00    0.3780759996E+01
        67    0.1206344592E-01    0.5723063886E-01    0.4377073397E+01
        68    0.5978225850E-01    0.8958186904E-01    0.4286785475E+01
        69    0.4867334080E+00    0.4343913271E+00    0.3324468763E+01
        70    0.3741848874E+00    0.3619200422E+00    0.3526726349E+01
        71    0.4886927610E+00    0.4299300525E+00    0.3336919579E+01
        72    0.4225904075E+00    0.3799375815E+00    0.3476441826E+01
        73    0.8344923771E+00    0.7861922562E+00    0.2342639798E+01
        74    0.5607034825E+00    0.5172895084E+00    0.3093111115E+01
        75    0.4839517022E+00    0.4892053643E+00    0.3171490175E+01
        76    0.4261450161E+00    0.4842531792E+00    0.3185311056E+01
        77    0.4321106709E+00    0.5323906424E+00    0.3050965886E+01
        78    0.3435818346E+00    0.3945693147E+00    0.3435606631E+01
        79    0.4776085073E+00    0.5637358268E+00    0.2963485702E+01
        80    0.5757396914E+00    0.6321112948E+00    0.2772658989E+01
