     Index       y_measurement           y_fitting        descriptor_1        descriptor_2
         1    0.5159430722E+00    0.5303594261E+00    0.3182247033E+01    0.8160750087E+00
         2    0.2888610547E+00    0.2858947843E+00    0.3717814718E+01    0.4572457864E+00
         3    0.3082002436E+00    0.3093664364E+00    0.3662395425E+01    0.4843879361E+00
         4    0.8680108400E+00    0.8545492282E+00    0.1962608954E+01    0.3605505915E+00
         5    0.4189922652E+00    0.4722285768E+00    0.3010722183E+01    0.1843013220E+00
         6    0.4560621929E+00    0.3857602144E+00    0.3395209445E+01    0.4140073465E+00
         7    0.8285383435E+00    0.8393610985E+00    0.2369901382E+01    0.1022090637E+01
         8    0.4913944330E+00    0.4937165653E+00    0.3237033954E+01    0.7156866335E+00
         9    0.6146653346E+00    0.5907191683E+00    0.2991656037E+01    0.7979769842E+00
        10    0.6079470275E+00    0.5917100124E+00    0.3027151755E+01    0.8682984398E+00
        11    0.4561298958E+00    0.5100380533E+00    0.3221563884E+01    0.7767345476E+00
        12    0.3248394984E-01    0.5250247920E-01    0.4357219939E+01    0.3488692206E+00
        13    0.9660473033E-01    0.1011308050E+00    0.4257701849E+01    0.4330738794E+00
        14    0.0000000000E+00   -0.2650249772E-01    0.4523034286E+01    0.2196160463E+00
        15    0.7259475889E-01    0.1575724863E+00    0.3884893324E+01    0.6037539946E-01
        16    0.1000000000E+01    0.9767110450E+00    0.1711150092E+01    0.5694269375E+00
        17    0.2151349396E+00    0.2771263875E+00    0.3887884991E+01    0.7202000753E+00
        18    0.3805717748E+00    0.3820698078E+00    0.3399103147E+01    0.4009276418E+00
        19    0.2133132035E+00    0.1537141043E+00    0.4394851803E+01    0.9716351167E+00
        20    0.7256073259E+00    0.7614646015E+00    0.2375323978E+01    0.6056537526E+00
        21    0.6716992257E-01    0.6208886284E-01    0.4439039295E+01    0.5509320705E+00
        22    0.1803989641E+00    0.2229041641E+00    0.4072437163E+01    0.7608495808E+00
        23    0.7529198835E-01    0.1195516258E+00    0.4127659230E+01    0.2961344315E+00
        24    0.3525738643E+00    0.2990170942E+00    0.3739854852E+01    0.5693650555E+00
        25    0.7736433374E-01    0.6545050995E-01    0.4440452748E+01    0.5719156619E+00
        26    0.1499367398E+00    0.1177043392E+00    0.4327752260E+01    0.6518618905E+00
        27    0.1047338901E+00    0.1443689740E+00    0.4298791638E+01    0.7448556698E+00
        28    0.4347856454E+00    0.4635259441E+00    0.3367393596E+01    0.7887860071E+00
        29    0.3037017519E+00    0.3792050999E+00    0.3580964915E+01    0.7177534864E+00
        30    0.1782511074E+00    0.1796972171E+00    0.4006268651E+01    0.4033862291E+00
        31    0.2841208036E-01   -0.4655864533E-02    0.4661334167E+01    0.5920486133E+00
        32    0.4362617954E+00    0.4731927401E+00    0.3378165104E+01    0.8613893097E+00
        33    0.8201409387E+00    0.8557278895E+00    0.2409421347E+01    0.1183927024E+01
        34    0.5352530737E+00    0.5420200767E+00    0.2851291498E+01    0.2747978412E+00
        35    0.7018101304E-01    0.4542696820E-01    0.4303154410E+01    0.2112925910E+00
        36    0.3414526589E+00    0.3172074541E+00    0.3739662457E+01    0.6685746678E+00
        37    0.9312645901E+00    0.8829297448E+00    0.2001938319E+01    0.5877932732E+00
        38    0.4728591681E+00    0.3719180991E+00    0.3449216518E+01    0.4369885635E+00
        39    0.4883533238E+00    0.3805761379E+00    0.3318637488E+01    0.2456336964E+00
        40    0.4459683542E+00    0.3723764876E+00    0.3491046088E+01    0.5159761667E+00
        41    0.2484827972E+00    0.3213239656E+00    0.3564979322E+01    0.3717253120E+00
        42    0.5425239005E+00    0.5329435645E+00    0.3074806185E+01    0.6337803153E+00
        43    0.6321878713E+00    0.5752875157E+00    0.3148899859E+01    0.1001010124E+01
        44    0.4664079795E+00    0.4748967035E+00    0.3090089277E+01    0.3440148759E+00
        45    0.4419305865E+00    0.3683229754E+00    0.3345278004E+01    0.2272763472E+00
        46    0.6474659791E+00    0.6748679196E+00    0.2734968462E+01    0.7892363846E+00
        47    0.5348033942E+00    0.5314785689E+00    0.3082775813E+01    0.6403331432E+00
        48    0.5957479450E+00    0.5347525934E+00    0.3140522105E+01    0.7638327688E+00
        49    0.5384657158E+00    0.5284339798E+00    0.3080190245E+01    0.6189418814E+00
        50    0.9260201196E+00    0.9546585760E+00    0.2087251768E+01    0.1136369045E+01
        51    0.7361050872E+00    0.7296196662E+00    0.2775583740E+01    0.1163167922E+01
        52    0.6016079643E+00    0.5612210793E+00    0.3011066033E+01    0.6720130495E+00
        53    0.4231124190E+00    0.4159173342E+00    0.3437538087E+01    0.6564576188E+00
        54    0.2707455820E+00    0.3307106893E+00    0.3497911455E+01    0.3004788003E+00
        55    0.2959813214E+00    0.3898822911E+00    0.3369010208E+01    0.3886675974E+00
        56    0.3819403009E+00    0.2972306143E+00    0.3488145710E+01    0.9937705112E-01
        57    0.2728894142E+00    0.3865450083E+00    0.3251141306E+01    0.1548971281E+00
        58    0.4760976244E+00    0.4539903582E+00    0.3184919504E+01    0.4029700435E+00
        59    0.5238503831E+00    0.4759035974E+00    0.3263545585E+01    0.6666631315E+00
