     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3
         1    0.5159430722E+00    0.4972935314E+00    0.3182247033E+01    0.8160750087E+00   -0.4872511329E+00
         2    0.2888610547E+00    0.3029318008E+00    0.3717814718E+01    0.4572457864E+00    0.6590326640E-01
         3    0.3082002436E+00    0.3447349626E+00    0.3662395425E+01    0.4843879361E+00    0.3552763222E+00
         4    0.8680108400E+00    0.8642475689E+00    0.1962608954E+01    0.3605505915E+00    0.7580036997E-01
         5    0.4189922652E+00    0.4796815047E+00    0.3010722183E+01    0.1843013220E+00   -0.1238745711E+00
         6    0.4560621929E+00    0.4067838191E+00    0.3395209445E+01    0.4140073465E+00    0.1369507436E+00
         7    0.8285383435E+00    0.8273911069E+00    0.2369901382E+01    0.1022090637E+01   -0.1570461082E-01
         8    0.4913944330E+00    0.4949020875E+00    0.3237033954E+01    0.7156866335E+00   -0.2218238770E-01
         9    0.6146653346E+00    0.5896667617E+00    0.2991656037E+01    0.7979769842E+00    0.0000000000E+00
        10    0.6079470275E+00    0.5889593227E+00    0.3027151755E+01    0.8682984398E+00    0.0000000000E+00
        11    0.4561298958E+00    0.5109564309E+00    0.3221563884E+01    0.7767345476E+00    0.0000000000E+00
        12    0.3248394984E-01    0.2147677823E-01    0.4357219939E+01    0.3488692206E+00   -0.7525277705E+00
        13    0.9660473033E-01    0.5559216465E-01    0.4257701849E+01    0.4330738794E+00   -0.9257869121E+00
        14    0.0000000000E+00   -0.4639857739E-01    0.4523034286E+01    0.2196160463E+00   -0.6539859282E+00
        15    0.7259475889E-01    0.1402276801E+00    0.3884893324E+01    0.6037539946E-01   -0.6229013836E+00
        16    0.1000000000E+01    0.9695542847E+00    0.1711150092E+01    0.5694269375E+00   -0.6807652344E-01
        17    0.2151349396E+00    0.2579990568E+00    0.3887884991E+01    0.7202000753E+00   -0.3820471052E+00
        18    0.3805717748E+00    0.3776770201E+00    0.3399103147E+01    0.4009276418E+00   -0.2477100240E+00
        19    0.2133132035E+00    0.1788994648E+00    0.4394851803E+01    0.9716351167E+00    0.3349461762E+00
        20    0.7256073259E+00    0.7663113571E+00    0.2375323978E+01    0.6056537526E+00    0.6561487061E-01
        21    0.6716992257E-01    0.4050302605E-01    0.4439039295E+01    0.5509320705E+00   -0.5371732006E+00
        22    0.1803989641E+00    0.1773770882E+00    0.4072437163E+01    0.7608495808E+00   -0.7758924837E+00
        23    0.7529198835E-01    0.7117428962E-01    0.4127659230E+01    0.2961344315E+00   -0.1011928332E+01
        24    0.3525738643E+00    0.3075246529E+00    0.3739854852E+01    0.5693650555E+00   -0.1778753105E-01
        25    0.7736433374E-01    0.7028945924E-01    0.4440452748E+01    0.5719156619E+00   -0.1347482003E+00
        26    0.1499367398E+00    0.1286892382E+00    0.4327752260E+01    0.6518618905E+00   -0.4845027286E-03
        27    0.1047338901E+00    0.1545370769E+00    0.4298791638E+01    0.7448556698E+00    0.2768146126E-01
