     Index       y_measurement           y_fitting        descriptor_1        descriptor_2        descriptor_3        descriptor_4        descriptor_5        descriptor_6        descriptor_7
         1    0.5159430722E+00    0.5028222467E+00    0.3182247033E+01    0.8160750087E+00   -0.4872511329E+00    0.3243692580E+00    0.0000000000E+00   -0.9627641072E-03   -0.3016540118E+01
         2    0.2888610547E+00    0.2832540220E+00    0.3717814718E+01    0.4572457864E+00    0.6590326640E-01    0.9052201100E-02    0.7577932077E-01   -0.3714374298E-01   -0.2125760947E+00
         3    0.3082002436E+00    0.3182877197E+00    0.3662395425E+01    0.4843879361E+00    0.3552763222E+00    0.3418536586E+00    0.3223580120E+02   -0.2652419722E-02   -0.2205153167E+00
         4    0.8680108400E+00    0.8726692099E+00    0.1962608954E+01    0.3605505915E+00    0.7580036997E-01    0.1253582203E+00    0.2600001208E+02   -0.2621014209E-02   -0.1977783501E+00
         5    0.4189922652E+00    0.4199142104E+00    0.3010722183E+01    0.1843013220E+00   -0.1238745711E+00    0.3109610199E+00    0.9951275905E+02    0.3375662842E-03    0.1120324863E+01
         6    0.4560621929E+00    0.4583339840E+00    0.3395209445E+01    0.4140073465E+00    0.1369507436E+00    0.1415575573E-01    0.1590355358E+01    0.1550427983E-02    0.1513043473E+01
         7    0.8285383435E+00    0.8284858449E+00    0.2369901382E+01    0.1022090637E+01   -0.1570461082E-01    0.2044293775E+00    0.0000000000E+00   -0.2073454314E-01    0.4703645653E+00
         8    0.4913944330E+00    0.4716224567E+00    0.3237033954E+01    0.7156866335E+00   -0.2218238770E-01    0.6419587090E+00   -0.2465084772E+01    0.1850511072E-02   -0.1998272553E+00
         9    0.6146653346E+00    0.6249853598E+00    0.2991656037E+01    0.7979769842E+00    0.0000000000E+00    0.1945088970E-01   -0.4385659577E+00   -0.9793965624E-02   -0.2384822657E+00
        10    0.6079470275E+00    0.6089405815E+00    0.3027151755E+01    0.8682984398E+00    0.0000000000E+00    0.4893117361E+00    0.3024799379E+00    0.2194881749E-01   -0.3299303465E+01
        11    0.4561298958E+00    0.4795499648E+00    0.3221563884E+01    0.7767345476E+00    0.0000000000E+00    0.7242225330E+00   -0.7959914138E+01    0.1374638399E-02   -0.6631083335E+00
        12    0.3248394984E-01    0.3674082909E-01    0.4357219939E+01    0.3488692206E+00   -0.7525277705E+00    0.1198771177E+00    0.4341905837E-02    0.0000000000E+00   -0.5301220036E+01
        13    0.9660473033E-01    0.9308993668E-01    0.4257701849E+01    0.4330738794E+00   -0.9257869121E+00    0.1396091602E+00    0.6918587807E-02    0.0000000000E+00    0.1515847901E+00
        14    0.0000000000E+00   -0.8889831949E-02    0.4523034286E+01    0.2196160463E+00   -0.6539859282E+00    0.2282869845E+00    0.2351799104E-02    0.0000000000E+00    0.4854641692E+01
        15    0.7259475889E-01    0.8423155286E-01    0.3884893324E+01    0.6037539946E-01   -0.6229013836E+00    0.7288358196E+00   -0.1245248602E-01    0.0000000000E+00   -0.2320686431E+01
        16    0.1000000000E+01    0.9999201850E+00    0.1711150092E+01    0.5694269375E+00   -0.6807652344E-01    0.1581731132E+00   -0.6653518349E+00    0.0000000000E+00   -0.9833153059E+00
        17    0.2151349396E+00    0.2442285116E+00    0.3887884991E+01    0.7202000753E+00   -0.3820471052E+00    0.6001527165E+00    0.0000000000E+00    0.0000000000E+00    0.1565179122E+01
        18    0.3805717748E+00    0.3850224392E+00    0.3399103147E+01    0.4009276418E+00   -0.2477100240E+00    0.2647477336E+00   -0.1227046813E+01    0.0000000000E+00   -0.2365583525E+01
        19    0.2133132035E+00    0.2257772316E+00    0.4394851803E+01    0.9716351167E+00    0.3349461762E+00    0.5577267220E-01    0.1401011871E+01    0.0000000000E+00    0.3984402273E+00
        20    0.7256073259E+00    0.7426453705E+00    0.2375323978E+01    0.6056537526E+00    0.6561487061E-01    0.6037399890E+00    0.1668366858E+01    0.0000000000E+00    0.4175792168E+00
