Sample Target mean_A2B mean_A2X mean_X2X std_A2B std_A2X std_B2X A_Rvdw B_Rvdw X_Rvdw B_Rc B_Ra A_Z B_Z X_Z A_EA X_EA A_MP B_MP B_MV X_MV X_G B_Rho B_Hf B_CvM A_IEI A_ChiP A_ChiA OF TF E_coh
Sample1 0.5159430722 0.1514840413 0.4741793218 0.4363726842 0.2441754762 0.9343893476 0.5352914933 0.06470588235 0.5625 0.4772727273 0.6050420168 0.6923076923 0.1282051282 1 0.1346153846 0.7130872483 0.3918128655 0.2001260527 0.07882972101 0.5725888325 0.4242424242 0.9375 0.4513058335 0.07085664336 0 0.410176052 0.7387387387 0.9740338164 0.3005332419 0.3792926114 0
Sample2 0.2888610547 0.2821614448 0.4407173897 0.09823195819 0 0 0 0.5588235294 0.7291666667 0.4772727273 0.8319327731 0.6538461538 0.6794871795 0.8625 0.1346153846 0.2340604027 0.3918128655 0.2211971204 0.633863392 0.3062605753 0.4242424242 0.9375 0.6236270442 0.2115384615 0.006358381503 0.2583884241 0.09009009009 0.5320048309 0.4407820881 0.4530969711 0.6372220496
Sample3 0.3082002436 0.2200049191 0.3932424913 0.02885150425 0 0 0 0.5588235294 0.3020833333 0.4204545455 0.4369747899 0.5769230769 0.6794871795 0 0.1538461538 0.2340604027 0.9385964912 0.2211971204 0.05316337502 0.2920473773 0 1 0 0 1 0.2583884241 0.09009009009 0.5320048309 0.5116627167 0.43742066 0.8281068665
Sample4 0.86801084 0.2105690321 0.3860353997 0.01831896384 0 0 0 0.5588235294 0.3020833333 0 0.4369747899 0.5769230769 0.6794871795 0 0 0.2340604027 0.1923976608 0.2211971204 0.05316337502 0.2920473773 0.01515151515 0 0 0 1 0.2583884241 0.09009009009 0.5320048309 0.5042793679 0.4351874425 0.9472512804
Sample5 0.4189922652 0.3083793884 0.4133661057 0.3142448426 0.05890137805 0.1042090087 0.6791390571 0.5588235294 0.3854166667 0.4772727273 0.3697478992 0.3461538462 0.6794871795 0.3875 0.1346153846 0.2340604027 0.3918128655 0.2211971204 0.06456906796 0.407106599 0.4242424242 0.9375 0.2091286307 0.03225524476 0.05751445087 0.2583884241 0.09009009009 0.5320048309 0.2724834726 0.5734490031 0.7744734327
Sample6 0.4560621929 0.2184930081 0.4036737176 0.2156878629 0.04599749499 0.05727842887 0.7632045421 0.5588235294 0.6041666667 0.4772727273 0.7058823529 0.5384615385 0.6794871795 0.2375 0.1346153846 0.2340604027 0.3918128655 0.2211971204 0.4739969441 0.2115059222 0.4242424242 0.9375 0.1938979741 0.09746503497 0.1161849711 0.2583884241 0.09009009009 0.5320048309 0.3566327803 0.5100410272 0.6965577655
Sample7 0.8285383435 0.3478020946 0.6397963749 0.1744052885 0.5544344438 0.8934079427 0.6957957396 0.3411764706 0.1770833333 0.4772727273 0 0 0.2179487179 0.0375 0.1346153846 0.03976510067 0.3918128655 0.2576193779 1 0.03045685279 0.4242424242 0.9375 0.08454967049 1 0.1696531792 0.4351552918 0.1891891892 0.6243961353 0 0.7073411132 0.7087046048
Sample8 0.491394433 0.3560319969 0.588463689 0.1856401788 0.4012008726 0.8097554118 0.8038848585 0.3411764706 0.6666666667 0.4772727273 0.5294117647 0.5769230769 0.2179487179 0.5875 0.1346153846 0.03976510067 0.3918128655 0.2576193779 0.06770414804 0.4027072758 0.4242424242 0.9375 0.3307298023 0.03627622378 0.03034682081 0.4351552918 0.1891891892 0.6243961353 0.4247536485 0.3658319152 0.7710191117
Sample9 0.6146653346 0.4945778794 0.5159712097 0.4084036097 0.9907333536 0.5635709006 0.8260707943 0.3411764706 0.65625 0.5113636364 0.5966386555 0.5 0.2179487179 0.5 0.1153846154 0.03976510067 0 0.2576193779 0.6123592326 0.1434856176 0.1611570248 0.875 0.5352697095 0.2647727273 0.02543352601 0.4351552918 0.1891891892 0.6243961353 0.2867553709 0.4156465509 0.6900619762
Sample10 0.6079470275 0.3454507595 0.5826335127 0.2394496561 0.2930275247 0.67244714 0.777645071 0.3411764706 0.6770833333 0.5113636364 0.7226890756 0.5 0.2179487179 0.8875 0.1153846154 0.03976510067 0 0.2576193779 0.9702903062 0.1719120135 0.1611570248 0.875 0.9135953136 0.4310314685 0.00289017341 0.4351552918 0.1891891892 0.6243961353 0.3163970057 0.3957864796 0.6624324002
Sample11 0.4561298958 0.3460080082 0.575900287 0.1708609651 0.3964366401 0.8055246589 0.7865216666 0.2647058824 0.6666666667 0.4772727273 0.5294117647 0.5769230769 0.5769230769 0.5875 0.1346153846 0 0.3918128655 0.09268039311 0.06770414804 0.4027072758 0.4242424242 0.9375 0.3307298023 0.03627622378 0.03034682081 1 0.8108108108 0.9178743961 0.4247536485 0.3549808478 0.832544395
Sample12 0.03248394984 0.8594685028 0.8934361966 0.7441110022 0 0.02746961555 0.2626364361 1 0.6354166667 0.8522727273 0.5042016807 0.5 0.6666666667 0.95 0.6538461538 0.7634228188 0.9286549708 0 0.3031888405 0.1969543147 0.5909090909 1 0.916036124 0.08347902098 0.002023121387 0 0 0.3979468599 0.484492297 0.3157944745 0.9844626659
Sample13 0.09660473033 0.7724884526 0.8283820828 0.6823131815 3.98E-16 0.02443460891 0.2870028759 1 0.6354166667 0.7386363636 0.5042016807 0.5 0.6666666667 0.95 0.3076923077 0.7634228188 1 0 0.3031888405 0.1969543147 0.4263085399 1 0.916036124 0.08347902098 0.002023121387 0 0 0.3979468599 0.5352701821 0.3253014445 0.968782839
Sample14 0 1 1 0.8748245446 3.98E-16 0.02556378544 0.2615891204 1 0.6354166667 1 0.5042016807 0.5 0.6666666667 0.95 1 0.7634228188 0.8426900585 0 0.3031888405 0.1969543147 1 1 0.916036124 0.08347902098 0.002023121387 0 0 0.3979468599 0.4176501355 0.3023755729 0.9989602462
Sample15 0.07259475889 0.5441711128 0.8975545719 0.5484320591 0.3008545197 0.3111336125 0.3467157347 1 0.6354166667 0.9090909091 0.5042016807 0.5 0.6666666667 0.95 0.6346153846 0.7634228188 0.5497076023 0 0.3031888405 0.1969543147 0.3595041322 0.9375 0.916036124 0.08347902098 0.002023121387 0 0 0.3979468599 0.478303208 0.3145966167 0.9448468236
Sample16 1 0.282259154 0.5273550589 0.3971276494 0.02542792847 0.08640856651 1 1 0 0 0.1680672269 0.2692307692 0.6666666667 0.0125 0 0.7634228188 0.1923976608 0 0.3661931979 0.01556683587 0.01515151515 0 0.06409567977 0.04278846154 0.4921965318 0 0 0.3979468599 0.004931827559 1 0.9613864833
Sample17 0.2151349396 0.3659139969 0.504687244 0.1917183622 0 0 0 1 0.5625 0.4772727273 0.6050420168 0.6923076923 0.6666666667 1 0.1346153846 0.7634228188 0.3918128655 0 0.07882972101 0.5725888325 0.4242424242 0.9375 0.4513058335 0.07085664336 0 0 0 0.3979468599 0.589045154 0.4544691042 0.8619234169
Sample18 0.3805717748 0.4779299431 0.6437765116 0.4948705155 0.08467087032 0.1476211523 0.8921365044 1 0.3333333333 0.4772727273 0.3697478992 0.3461538462 0.6666666667 0.4 0.1346153846 0.7634228188 0.3918128655 0 0 0.5208121827 0.4242424242 0.9375 0.1261410788 0.01997377622 0.101734104 0 0 0.3979468599 0.184327055 0.7625818592 0.904937482
Sample19 0.2133132035 0.4263789629 0.550870136 0.2592106607 0 0 0 1 0.8125 0.4204545455 0.8403361345 0.8461538462 0.6666666667 0.2125 0.1538461538 0.7634228188 0.9385964912 0 0.2402806859 0.738071066 0 1 0.04954845009 0.04842657343 0.151734104 0 0 0.3979468599 1 0.2825163869 0.8419715351
Sample20 0.7256073259 0.4440761235 0.5643871544 0.2789646129 0 0 0 1 0.8125 0 0.8403361345 0.8461538462 0.6666666667 0.2125 0 0.7634228188 0.1923976608 0 0.2402806859 0.738071066 0.01515151515 0 0.04954845009 0.04842657343 0.151734104 0 0 0.3979468599 0.9869819902 0.2816539384 0.9667826558
Sample21 0.06716992257 0.7151227648 0.7714114626 0.5815127169 0 0 0 1 0.6770833333 0.7386363636 0.5714285714 0.6538461538 0.6666666667 0.5625 0.3076923077 0.7634228188 1 0 0.09292626337 0.2913705584 0.4263085399 1 0.3961435196 0.02805944056 0.03150289017 0 0 0.3979468599 0.654819317 0.2655291006 0.9730555655
Sample22 0.1803989641 0.4196360443 0.5457199225 0.2516840697 0 0 0 1 0.6770833333 0.4204545455 0.5714285714 0.6538461538 0.6666666667 0.5625 0.1538461538 0.7634228188 0.9385964912 0 0.09292626337 0.2913705584 0 1 0.3961435196 0.02805944056 0.03150289017 0 0 0.3979468599 0.974741175 0.2928015141 0.9124953259
Sample23 0.07529198835 0.7700997824 0.836283091 0.6112383729 0.05407745363 0.0409641835 0.2418157238 1 0.6041666667 0.7386363636 0.3697478992 0.4230769231 0.6666666667 0.3625 0.3076923077 0.7634228188 1 0 0.2675570143 0.3126903553 0.4263085399 1 0.233731999 0.2966783217 0.05722543353 0 0 0.3979468599 0.3081268258 0.4648016236 0.9379790998
Sample24 0.3525738643 0.4558853504 0.6045991634 0.388776416 0.01916210552 0.05719179638 0.3875127872 1 0.46875 0.4772727273 0.5294117647 0.5384615385 0.6666666667 0.625 0.1346153846 0.7634228188 0.3918128655 0 0.03425103277 0.7218274112 0.4242424242 0.9375 0.2150353918 0.04160839161 0.02658959538 0 0 0.3979468599 0.6331233629 0.4290826293 0.8880464634
Sample25 0.07736433374 0.7988684093 0.864253148 0.6055015211 0 0.07021367831 1.71E-06 1 0.2083333333 0.8522727273 0.5462184874 0.6153846154 0.6666666667 0.1125 0.6538461538 0.7634228188 0.9286549708 0 0.1859543885 0.3252115059 0.5909090909 1 0.058725897 0.0479020979 0.2604046243 0 0 0.3979468599 0.2692123625 0.4501031394 0.9597362233
Sample26 0.1499367398 0.6988456126 0.7912795571 0.454154507 0 0.07185911103 9.08E-09 1 0.2083333333 0.7386363636 0.5462184874 0.6153846154 0.6666666667 0.1125 0.3076923077 0.7634228188 1 0 0.1859543885 0.3252115059 0.4263085399 1 0.058725897 0.0479020979 0.2604046243 0 0 0.3979468599 0.3021493691 0.4690385752 0.9356317209
Sample27 0.1047338901 0.5276903645 0.5891792759 0.5237036413 0.03680328264 0.1394188115 0.01348800781 1 0.5104166667 0.4204545455 0.5882352941 0.8461538462 0.6666666667 0.9875 0.1538461538 0.7634228188 0.9385964912 0 0.09473431045 0.4693739425 0 1 0.5274591164 0.01550699301 0.002312138728 0 0 0.3979468599 0.873705875 0.3364353873 0.8799630728
Sample28 0.4347856454 0.2261712112 0.3979522799 0.03573445248 0 1.76E-16 1.43E-16 1 0.65625 0.4772727273 0.6302521008 0.5 0.6666666667 0.9 0.1346153846 0.7634228188 0.3918128655 0 0.9035142324 0.1512690355 0.4242424242 0.9375 1 0.2716783217 0.004335260116 0 0 0.3979468599 0.3365972309 0.6277380736 0.7525366164
Sample29 0.3037017519 0.2793152563 0.4385434826 0.0950549812 0 0 0 1 0.5520833333 0.4772727273 0.5294117647 0.5769230769 0.6666666667 0.6 0.1346153846 0.7634228188 0.3918128655 0 0.1805160998 0.4670050761 0.4242424242 0.9375 0.3008054674 0.1467657343 0.02456647399 0 0 0.3979468599 0.3526256705 0.6150725844 0.8449582385
Sample30 0.1782511074 0.6567255438 0.7234396003 0.4919425328 0.002149654579 0.04118606318 0.300290916 1 0.6666666667 0.7954545455 0.5294117647 0.5769230769 0.6666666667 0.5875 0.2884615385 0.7634228188 0.5643274854 0 0.06770414804 0.4027072758 0.2982093664 0.9375 0.3307298023 0.03627622378 0.03034682081 0 0 0.3979468599 0.27749236 0.4777880524 0.9029129948
Sample31 0.02841208036 0.9312357711 0.8677040624 0.9601782294 0.204140962 0.3674213426 0.01886642923 1 1 0.8522727273 1 1 0.6666666667 0.4375 0.6538461538 0.7634228188 0.9286549708 0 0.2218889706 1 0.5909090909 1 0.1022699536 0.03872377622 0.05317919075 0 0 0.3979468599 0.5231322852 0.2952193433 0.9381588289
Sample32 0.4362617954 0.2337044657 0.4037061486 0.04414323349 0 0 0 1 0.6770833333 0.4772727273 0.7226890756 0.5 0.6666666667 0.8875 0.1346153846 0.7634228188 0.3918128655 0 0.9702903062 0.1719120135 0.4242424242 0.9375 0.9135953136 0.4310314685 0.00289017341 0 0 0.3979468599 0.36865411 0.6026642626 0.7263573169
Sample33 0.8201409387 0.2361009092 0.5339484232 0.07799505004 0.4249089135 0.8290485843 0.5772077172 0.1176470588 0.40625 0.4772727273 0.06722689076 0.1153846154 0.5897435897 0.025 0.1346153846 0.4848993289 0.3918128655 0.0405902306 0.589440326 0 0.4242424242 0.9375 0.09397119844 0.4125874126 0.2612716763 0.3710757924 0.8918918919 1 0.08815641761 0.4267854414 0.7437492826
Sample34 0.5352530737 0.2774322253 0.3038703573 0.4777839692 0 0.3488633281 0.8671143065 0.1176470588 0.3541666667 0.4772727273 0.3865546218 0.4615384615 0.5897435897 0.35 0.1346153846 0.4848993289 0.3918128655 0.0405902306 0.01050025465 0.2507614213 0.4242424242 0.9375 0.2620942153 0.02259615385 0.0725433526 0.3710757924 0.8918918919 1 0.36865411 0.243091839 0.805262827
Sample35 0.07018101304 0.7785790264 0.7562877092 0.8875963039 0.1989752507 0.3840934649 0.01274523574 0.6 0.8125 0.8522727273 0.8403361345 0.8461538462 0.2051282051 0.2125 0.6538461538 0.8120805369 0.9286549708 0.01106603197 0.2402806859 0.738071066 0.5909090909 1 0.04954845009 0.04842657343 0.151734104 0.08760112669 0.02702702703 0.443236715 0.6114522583 0.1978047819 0.9360486008
Sample36 0.3414526589 0.2238099021 0.3961487217 0.0330987083 0 0 0 0.6 0.2083333333 0.4204545455 0.5462184874 0.6153846154 0.2051282051 0.1125 0.1538461538 0.8120805369 0.9385964912 0.01106603197 0.1859543885 0.3252115059 0 1 0.058725897 0.0479020979 0.2604046243 0.08760112669 0.02702702703 0.443236715 0.4779842834 0.4693004049 0.8540481582
Sample37 0.9312645901 0.2112488517 0.3865546431 0.01907779307 0 0 0 0.6 0.2083333333 0 0.5462184874 0.6153846154 0.2051282051 0.1125 0 0.8120805369 0.1923976608 0.01106603197 0.1859543885 0.3252115059 0.01515151515 0 0.058725897 0.0479020979 0.2604046243 0.08760112669 0.02702702703 0.443236715 0.4709895319 0.4667862345 0.9757119145
Sample38 0.4728591681 0.2139563193 0.4001339919 0.2131099489 0.04757304912 0.06625865617 0.7578630597 0.6 0.6770833333 0.4772727273 0.7394957983 0.5769230769 0.2051282051 0.475 0.1346153846 0.8120805369 0.3918128655 0.01106603197 0.7029030615 0.2179357022 0.4242424242 0.9375 0.3922382231 0.236013986 0.04132947977 0.08760112669 0.02702702703 0.443236715 0.3846825496 0.5015156966 0.7010240469
Sample39 0.4883533238 0.5077878686 0.5781914895 0.3893072316 0.4101458044 0.6269902438 0.005969696042 0.6 0.5520833333 0.4772727273 0.5294117647 0.5769230769 0.2051282051 0.6 0.1346153846 0.8120805369 0.3918128655 0.01106603197 0.1805160998 0.4670050761 0.4242424242 0.9375 0.3008054674 0.1467657343 0.02456647399 0.08760112669 0.02702702703 0.443236715 0.3526256705 0.524257498 0.8170537245
Sample40 0.4459683542 0.2133854592 0.3881865751 0.02146272041 0 0 0 0.6 0.71875 0.4772727273 0.7899159664 0.5769230769 0.2051282051 0.875 0.1346153846 0.8120805369 0.3918128655 0.01106603197 0.8556957727 0.2186125212 0.4242424242 0.9375 0.7866731755 0.2934440559 0.005202312139 0.08760112669 0.02702702703 0.443236715 0.3846825496 0.5015156966 0.6925548049
