material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP,s_A,s_B,s_X,density,mean_A2B,mean_A2X,mean_B2X,mean_X2X,std_A2B,std_A2X,std_B2X,std_X2X,E_coh,TF,OF,A_Z,B_Z,X_Z,A_M,B_M,X_M,A_G,B_G,X_G,A_IEI,B_IEI,X_IEI,A_IEII,B_IEII,X_IEII,A_EA,B_EA,X_EA,A_ChiP,B_ChiP,X_ChiP,A_ChiA,B_ChiA,X_ChiA,A_Rvdw,B_Rvdw,X_Rvdw,A_Rc,B_Rc,X_Rc,A_Ra,B_Ra,X_Ra,A_MP,B_MP,X_MP,A_BP,B_BP,X_BP,A_Rho,B_Rho,X_Rho,A_MV,B_MV,X_MV,A_Hf,B_Hf,X_Hf,A_Hv,B_Hv,X_Hv,A_Kappa,B_Kappa,X_Kappa,A_CvM,B_CvM,X_CvM,A_B,B_B,X_B,A_MendeleevNo,B_MendeleevNo,X_MendeleevNo,Coeff_A,unscaled_Coeff_A,Coeff_B,unscaled_Coeff_B,Coeff_C,unscaled_Coeff_C,Coeff_D,unscaled_Coeff_D
mp-1183115,AcAlO3,Ac,Al,O,Pm-3m,0.0,-39.09924288,8.54677368663323,1.12,0.535,1.42,8.546773823543099,3.365151802867715,2.7476349413442627,1.942871299249629,2.7476349413442627,0.0,0.0,0.0,0.0,-38.61665148,0.9186962783702458,0.3767605633802817,89.0,13.0,8.0,227.0,26.9815386,15.9994,3.0,13.0,16.0,5.17,5.985768,13.61805,11.75,18.82855,35.1211,33.77,42.5,141.0,1.1,1.61,3.44,,1.613,3.61,2.47,1.84,1.52,215.0,121.0,66.0,1.95,1.25,0.6,1323.0,933.47,54.8,3573.0,2792.0,90.2,10070.0,2700.0,1429.0,22.55,10.0,17.36,12.0,10.71,0.22,400.0,293.0,3.41,12.0,235.0,0.02658,0.12,0.897,0.918,4.0,2.0,2.0,48.0,80.0,101.0,-0.5784943008054739,6.470434533247273e-08,0.521946199366397,-0.0002195119819752,1.046405540708463,0.0254204821661823,0.4986027725469668,31.560423238998325
mp-1183052,AcBO3,Ac,B,O,Pm-3m,0.792472744666666,-35.95268513,9.20687860674916,1.12,0.27,1.42,9.20687875423318,3.223059015131116,2.63161666598284,1.86083399,2.63161666598284,0.0,0.0,0.0,0.0,-35.462058279999994,1.0627522036768229,0.1901408450704225,89.0,5.0,8.0,227.0,10.811,15.9994,3.0,13.0,16.0,5.17,8.29802,13.61805,11.75,25.1548,35.1211,33.77,26.7,141.0,1.1,2.04,3.44,,2.051,3.61,2.47,1.92,1.52,215.0,84.0,66.0,1.95,0.85,0.6,1323.0,2349.0,54.8,3573.0,4200.0,90.2,10070.0,2460.0,1429.0,22.55,4.39,17.36,12.0,50.2,0.22,400.0,507.0,3.41,12.0,27.0,0.02658,0.12,1.026,0.918,4.0,2.0,2.0,48.0,86.0,101.0,-0.8134459110577836,5.818784551007609e-08,0.8129924644716056,-0.0002032032882578,0.8907040788109271,0.0195472887433244,1.3663659204245846,40.892859006540064
mp-866101,AcCrO3,Ac,Cr,O,Pm-3m,0.0,-42.17972925,8.69648776439053,1.12,0.615,1.42,8.696487903698651,3.4356777780396373,2.8052191589387308,1.98358949,2.8052191589387308,0.0,0.0,0.0,0.0,-40.73602615,0.8825804541591306,0.4330985915492958,89.0,24.0,8.0,227.0,51.9961,15.9994,3.0,6.0,16.0,5.17,6.76651,13.61805,11.75,16.4857,35.1211,33.77,64.3,141.0,1.1,1.66,3.44,,1.65,3.61,2.47,2.06,1.52,215.0,139.0,66.0,1.95,1.4,0.6,1323.0,2180.0,54.8,3573.0,2944.0,90.2,10070.0,7140.0,1429.0,22.55,7.23,17.36,12.0,21.0,0.22,400.0,339.0,3.41,12.0,94.0,0.02658,0.12,0.449,0.918,4.0,3.0,2.0,48.0,57.0,101.0,-0.3522413996553126,7.097958212943887e-08,0.3587033459484132,-0.0002286592482938,0.6720915996920667,0.0113010374951474,0.2329382981008869,28.70331107705683
mp-864606,AcCuO3,Ac,Cu,O,Pm-3m,0.0,-33.10720375,9.16094865738273,1.12,0.54,1.42,9.160948804131,3.415887566974148,2.7890605192679203,1.97216360631402,2.7890605192679203,0.0,0.0,0.0,0.0,-32.63320183999999,0.9163526654152198,0.3802816901408451,89.0,29.0,8.0,227.0,63.546,15.9994,3.0,11.0,16.0,5.17,7.72638,13.61805,11.75,20.2924,35.1211,33.77,118.4,141.0,1.1,1.9,3.44,,1.85,3.61,2.47,1.96,1.52,215.0,132.0,66.0,1.95,1.35,0.6,1323.0,1357.77,54.8,3573.0,3200.0,90.2,10070.0,8920.0,1429.0,22.55,7.11,17.36,12.0,13.6,0.22,400.0,300.0,3.41,12.0,400.0,0.02658,0.12,0.385,0.918,4.0,3.0,2.0,48.0,72.0,101.0,-0.4556816901954619,6.81106141993631e-08,0.4029731222671273,-0.0002261786041163,0.88051509820923,0.0191629516078459,0.2378797732588395,28.756454610083427
mp-861502,AcFeO3,Ac,Fe,O,Pm-3m,0.0,-39.36239622,8.88749944089024,1.12,0.55,1.42,8.887499583258158,3.4242027112688898,2.795849806154498,1.97696435711094,2.795849806154498,0.0,0.0,0.0,0.0,-38.07095318,0.9117011290425536,0.3873239436619718,89.0,26.0,8.0,227.0,55.845,15.9994,3.0,8.0,16.0,5.17,7.9024,13.61805,11.75,16.1877,35.1211,33.77,15.7,141.0,1.1,1.83,3.44,,1.8,3.61,2.47,2.04,1.52,215.0,132.0,66.0,1.95,1.4,0.6,1323.0,1811.0,54.8,3573.0,3134.0,90.2,10070.0,7874.0,1429.0,22.55,7.09,17.36,12.0,13.81,0.22,400.0,347.0,3.41,12.0,80.0,0.02658,0.12,0.449,0.918,4.0,3.0,2.0,48.0,61.0,101.0,-0.3462220710678139,7.114653120303431e-08,0.3307551865052005,-0.0002302253153662,0.6992597580809274,0.0123258438599433,0.2248454724791884,28.616276065859203
mp-1183053,AcGaO3,Ac,Ga,O,Pm-3m,0.0,-35.24674247,9.09709602156382,1.12,0.62,1.42,9.097096167289246,3.444559275759345,2.812470871460389,1.98871722509928,2.812470871460389,0.0,0.0,0.0,0.0,-34.76114639,0.8804172667714856,0.4366197183098592,89.0,31.0,8.0,227.0,69.723,15.9994,3.0,13.0,16.0,5.17,5.999301,13.61805,11.75,20.51515,35.1211,33.77,28.9,141.0,1.1,1.81,3.44,,1.756,3.61,2.47,1.87,1.52,215.0,122.0,66.0,1.95,1.3,0.6,1323.0,302.91,54.8,3573.0,2477.0,90.2,10070.0,5904.0,1429.0,22.55,11.8,17.36,12.0,5.585,0.22,400.0,256.0,3.41,12.0,29.0,0.02658,0.12,0.373,0.918,4.0,2.0,2.0,48.0,81.0,101.0,-0.1075691918909313,7.776568756080738e-08,0.0500616780928879,-0.0002459538953413,0.675693153649263,0.0114368912164657,0.2299660540148593,28.671345814316474
mp-1183142,AcMgO3,Ac,Mg,O,Pm-3m,0.0821852571250012,-33.5421901,7.67175047059251,1.12,0.89,1.42,7.671750593485476,3.4781776261350243,2.8399201395985623,2.00812678873839,2.8399201395985623,0.0,0.0,0.0,0.0,-33.10043236,0.7775113524735198,0.6267605633802817,89.0,12.0,8.0,227.0,24.305,15.9994,3.0,2.0,16.0,5.17,7.646235,13.61805,11.75,15.03527,35.1211,33.77,0.0,141.0,1.1,1.31,3.44,,1.293,3.61,2.47,1.73,1.52,215.0,141.0,66.0,1.95,1.5,0.6,1323.0,923.0,54.8,3573.0,1363.0,90.2,10070.0,1738.0,1429.0,22.55,14.0,17.36,12.0,8.48,0.22,400.0,128.0,3.41,12.0,160.0,0.02658,0.12,1.023,0.918,4.0,1.0,2.0,48.0,73.0,101.0,-0.3449162566356989,7.1182748616083e-08,0.3127752215034576,-0.0002312328175314,0.7708653028201411,0.0150268667615732,0.3295507609461197,29.74233838082326
mp-864911,AcMnO3,Ac,Mn,O,Pm-3m,0.0,-41.25959656,8.74581750474719,1.12,0.645,1.42,8.745817644845525,3.4394024919125554,2.808285184186541,1.9857481953271705,2.808286888025964,0.0,6.97636196147323e-06,1.559216455156181e-05,9.51220817384441e-06,-39.98764153,0.8697584620890222,0.4542253521126761,89.0,25.0,8.0,227.0,54.938045,15.9994,3.0,7.0,16.0,5.17,7.43402,13.61805,11.75,15.64,35.1211,33.77,0.0,141.0,1.1,1.55,3.44,,1.75,3.61,2.47,2.05,1.52,215.0,139.0,66.0,1.95,1.4,0.6,1323.0,1519.0,54.8,3573.0,2334.0,90.2,10070.0,7470.0,1429.0,22.55,7.35,17.36,12.0,12.91,0.22,400.0,220.0,3.41,12.0,7.8,0.02658,0.12,0.479,0.918,4.0,3.0,2.0,48.0,60.0,101.0,-0.2701126134163303,7.325746488310565e-08,0.2781404691791209,-0.0002331735659118,0.6301346667935945,0.0097183858017114,0.1375111323680471,27.677031156253044
mp-1183139,AcNiO3,Ac,Ni,O,Pm-3m,0.0,-32.22996124,9.08984200957633,1.12,0.56,1.42,9.089842155185556,3.408336298424868,2.7828949343157663,1.9678038793843704,2.7828949343157663,0.0,0.0,0.0,0.0,-31.63341665,0.907096577885773,0.3943661971830986,89.0,28.0,8.0,227.0,58.6934,15.9994,3.0,10.0,16.0,5.17,7.6398,13.61805,11.75,18.16884,35.1211,33.77,112.0,141.0,1.1,1.91,3.44,,1.88,3.61,2.47,1.97,1.52,215.0,124.0,66.0,1.95,1.35,0.6,1323.0,1728.0,54.8,3573.0,3186.0,90.2,10070.0,8908.0,1429.0,22.55,6.59,17.36,12.0,17.48,0.22,400.0,378.0,3.41,12.0,91.0,0.02658,0.12,0.444,0.918,4.0,3.0,2.0,48.0,67.0,101.0,-0.2228045646570251,7.456957715595573e-08,0.1960331358208265,-0.0002377744267104,0.6049708873349573,0.0087691863387804,0.3478141197828854,29.938753293879373
mp-1183145,AcPdO3,Ac,Pd,O,Pm-3m,0.0081020410000007,-33.26572516,9.24097272383091,1.12,0.76,1.42,9.240972871861077,3.544111429057609,2.8937548642524145,2.04619368760444,2.8937548642524145,0.0,0.0,0.0,0.0,-31.355990980000005,0.8238767083549683,0.5352112676056339,89.0,46.0,8.0,227.0,106.42,15.9994,3.0,10.0,16.0,5.17,8.3369,13.61805,11.75,19.43,35.1211,33.77,53.7,141.0,1.1,2.2,3.44,,1.58,3.61,2.47,2.1,1.52,215.0,139.0,66.0,1.95,1.4,0.6,1323.0,1828.05,54.8,3573.0,3236.0,90.2,10070.0,12023.0,1429.0,22.55,8.56,17.36,12.0,16.74,0.22,400.0,380.0,3.41,12.0,72.0,0.02658,0.12,0.244,0.918,4.0,3.0,2.0,48.0,69.0,101.0,-0.0408878209773178,7.961512856378284e-08,0.0141998184134166,-0.0002479634043293,0.3410861828145357,-0.0011847722952242,0.0158597927652017,26.368721030781945
