A_site,v_A,s_A
Ac,3,1.12
Ag,,
Al,3,0.535
As,,
Ba,2,1.61
B,3,0.27
Be,2,0.45
Bi,,
Ca,2,1.34
Cd,2,1.31
Ce,,
C,4,0.16
Co,,
Cr,,
Cs,1,1.88
Cu,,
Dy,,
Er,3,1.062
Eu,,
Fe,,
Ga,3,0.62
Gd,3,1.107
Ge,,
Hf,4,0.83
Ho,3,1.12
In,3,0.92
K,1,1.64
La,3,1.36
Li,1,0.92
Lu,3,1.032
Mg,2,0.89
Mn,,
Mo,,
Na,1,1.39
Nb,,
Nd,,
Ni,,
Np,,
Os,,
Pa,,
Pb,,
P,,
Pd,,
Pm,3,1.144
Pr,,
Pu,,
Rb,1,1.72
Re,,
Rh,,
Ru,,
Sb,,
Sc,3,0.87
Si,4,0.4
Sm,,
Sn,4,0.81
Sr,2,1.44
Ta,,
Tb,,
Tc,,
Th,4,1.21
Ti,,
Tl,,
Tm,,
U,,
V,,
Y,3,1.075
Yb,,
Zn,2,0.9
Zr,4,0.89
