Name,A_site,B_site,X_site
AcAlO3,Ac,Al,O
AcBO3,Ac,B,O
AcCrO3,Ac,Cr,O
AcCuO3,Ac,Cu,O
AcFeO3,Ac,Fe,O
AcGaO3,Ac,Ga,O
AcMgO3,Ac,Mg,O
AcMnO3,Ac,Mn,O
AcNiO3,Ac,Ni,O
AcPdO3,Ac,Pd,O
AcScO3,Ac,Sc,O
AcSiO3,Ac,Si,O
AcTiO3,Ac,Ti,O
AcVO3,Ac,V,O
AgAsO3,Ag,As,O
AgAuO3,Ag,Au,O
AgBiO3,Ag,Bi,O
AgBO3,Ag,B,O
AgBrO3,Ag,Br,O
AgClO3,Ag,Cl,O
AgCO3,Ag,C,O
AgGeO3,Ag,Ge,O
AgIO3,Ag,I,O
AgPbO3,Ag,Pb,O
AgPdO3,Ag,Pd,O
AgPO3,Ag,P,O
AgPS3,Ag,P,S
AgRuO3,Ag,Ru,O
AgSbO3,Ag,Sb,O
AgSnO3,Ag,Sn,O
AlAgO3,Al,Ag,O
AlAuO3,Al,Au,O
AlBiO3,Al,Bi,O
AlBO3,Al,B,O
AlCoO3,Al,Co,O
AlCrO3,Al,Cr,O
AlCuO3,Al,Cu,O
AlFeO3,Al,Fe,O
AlGaO3,Al,Ga,O
AlInO3,Al,In,O
AlInS3,Al,In,S
AlInSe3,Al,In,Se
AlIrO3,Al,Ir,O
AlMoN3,Al,Mo,N
AlMoO3,Al,Mo,O
AlNiO3,Al,Ni,O
AlPbO3,Al,Pb,O
AlPdO3,Al,Pd,O
AlRhO3,Al,Rh,O
AlSbO3,Al,Sb,O
AlSBr3,Al,S,Br
AlSiO3,Al,Si,O
AlSnO3,Al,Sn,O
AlTlO3,Al,Tl,O
AlVO3,Al,V,O
AlWN3,Al,W,N
AlWO3,Al,W,O
AsAuO3,As,Au,O
AsCF3,As,C,F
BaAlO3,Ba,Al,O
BaAuO3,Ba,Au,O
BaBeO3,Ba,Be,O
BaBiO3,Ba,Bi,O
BaBiSe3,Ba,Bi,Se
BaBO3,Ba,B,O
BaCaO3,Ba,Ca,O
BaCdO3,Ba,Cd,O
BaCeO3,Ba,Ce,O
BaClO3,Ba,Cl,O
BaCO3,Ba,C,O
BaCoO3,Ba,Co,O
BaCrO3,Ba,Cr,O
BaCuO3,Ba,Cu,O
BaDyO3,Ba,Dy,O
BaErO3,Ba,Er,O
BaEuO3,Ba,Eu,O
BaFeO3,Ba,Fe,O
BaGeO3,Ba,Ge,O
BaGeS3,Ba,Ge,S
BaHfO3,Ba,Hf,O
BaHfS3,Ba,Hf,S
BaInO3,Ba,In,O
BaIrO3,Ba,Ir,O
BaLiF3,Ba,Li,F
BaLiH3,Ba,Li,H
BaLiO3,Ba,Li,O
BaMnO3,Ba,Mn,O
