Name,A_site,B_site,X_site,v_A,s_A,v_B,s_B,s_X,v_X
AcAlO3,Ac,Al,O,3.0,1.12,3.0,0.535,1.42,-2
BaAlO3,Ba,Al,O,2.0,1.61,3.0,0.535,1.42,-2
CeAlO3,Ce,Al,O,,,3.0,0.535,1.42,-2
DyAlO3,Dy,Al,O,,,3.0,0.535,1.42,-2
ErAlO3,Er,Al,O,3.0,1.062,3.0,0.535,1.42,-2
EuAlO3,Eu,Al,O,,,3.0,0.535,1.42,-2
GdAlO3,Gd,Al,O,3.0,1.107,3.0,0.535,1.42,-2
HoAlO3,Ho,Al,O,3.0,1.12,3.0,0.535,1.42,-2
KAlO3,K,Al,O,1.0,1.64,3.0,0.535,1.42,-2
LaAlO3,La,Al,O,3.0,1.36,3.0,0.535,1.42,-2
LiAlO3,Li,Al,O,1.0,0.92,3.0,0.535,1.42,-2
LuAlO3,Lu,Al,O,3.0,1.032,3.0,0.535,1.42,-2
MgAlO3,Mg,Al,O,2.0,0.89,3.0,0.535,1.42,-2
MnAlO3,Mn,Al,O,,,3.0,0.535,1.42,-2
NaAlO3,Na,Al,O,1.0,1.39,3.0,0.535,1.42,-2
NdAlO3,Nd,Al,O,,,3.0,0.535,1.42,-2
NpAlO3,Np,Al,O,,,3.0,0.535,1.42,-2
PrAlO3,Pr,Al,O,,,3.0,0.535,1.42,-2
RbAlO3,Rb,Al,O,1.0,1.72,3.0,0.535,1.42,-2
ScAlO3,Sc,Al,O,3.0,0.87,3.0,0.535,1.42,-2
SmAlO3,Sm,Al,O,,,3.0,0.535,1.42,-2
SrAlO3,Sr,Al,O,2.0,1.44,3.0,0.535,1.42,-2
TbAlO3,Tb,Al,O,,,3.0,0.535,1.42,-2
TiAlO3,Ti,Al,O,,,3.0,0.535,1.42,-2
TmAlO3,Tm,Al,O,,,3.0,0.535,1.42,-2
UAlO3,U,Al,O,,,3.0,0.535,1.42,-2
YAlO3,Y,Al,O,3.0,1.075,3.0,0.535,1.42,-2
YbAlO3,Yb,Al,O,,,3.0,0.535,1.42,-2
ZrAlO3,Zr,Al,O,4.0,0.89,3.0,0.535,1.42,-2
AcBO3,Ac,B,O,3.0,1.12,3.0,0.27,1.42,-2
AgBO3,Ag,B,O,,,3.0,0.27,1.42,-2
AlBO3,Al,B,O,3.0,0.535,3.0,0.27,1.42,-2
BaBO3,Ba,B,O,2.0,1.61,3.0,0.27,1.42,-2
BeBO3,Be,B,O,2.0,0.45,3.0,0.27,1.42,-2
BiBO3,Bi,B,O,,,3.0,0.27,1.42,-2
CaBO3,Ca,B,O,2.0,1.34,3.0,0.27,1.42,-2
CdBO3,Cd,B,O,2.0,1.31,3.0,0.27,1.42,-2
CeBO3,Ce,B,O,,,3.0,0.27,1.42,-2
CoBO3,Co,B,O,,,3.0,0.27,1.42,-2
CrBO3,Cr,B,O,,,3.0,0.27,1.42,-2
CuBO3,Cu,B,O,,,3.0,0.27,1.42,-2
DyBO3,Dy,B,O,,,3.0,0.27,1.42,-2
ErBO3,Er,B,O,3.0,1.062,3.0,0.27,1.42,-2
EuBO3,Eu,B,O,,,3.0,0.27,1.42,-2
