material_id,Name,A_site,B_site,X_site,Spacegroup,Ehull,Energy,density_MP
mp-1183115,AcAlO3,Ac,Al,O,Pm-3m,0,-39.09924288,8.54677368663323
mp-1183052,AcBO3,Ac,B,O,Pm-3m,0.792472744666666,-35.95268513,9.20687860674916
mp-866101,AcCrO3,Ac,Cr,O,Pm-3m,0,-42.17972925,8.69648776439053
mp-864606,AcCuO3,Ac,Cu,O,Pm-3m,0,-33.10720375,9.16094865738273
mp-861502,AcFeO3,Ac,Fe,O,Pm-3m,0,-39.36239622,8.88749944089024
mp-1183053,AcGaO3,Ac,Ga,O,Pm-3m,0,-35.24674247,9.09709602156382
mp-1183142,AcMgO3,Ac,Mg,O,Pm-3m,0.0821852571250012,-33.5421901,7.67175047059251
mp-864911,AcMnO3,Ac,Mn,O,Pm-3m,0,-41.25959656,8.74581750474719
mp-1183139,AcNiO3,Ac,Ni,O,Pm-3m,0,-32.22996124,9.08984200957633
mp-1183145,AcPdO3,Ac,Pd,O,Pm-3m,0.00810204100000078,-33.26572516,9.24097272383091
mp-1183152,AcScO3,Ac,Sc,O,Pm-3m,0.0241400348749998,-42.38073837,7.56920789310877
mp-1183150,AcSiO3,Ac,Si,O,Pm-3m,0.470820513500001,-36.6716862,8.042348175117
mp-865927,AcTiO3,Ac,Ti,O,Pm-3m,0,-42.82411215,8.28464459357667
mp-1183168,AcVO3,Ac,V,O,Pm-3m,0,-39.98401739,8.40871027977234
mp-558950,AgAsO3,Ag,As,O,Pca2_1,0.0257653142500054,-26.49850691375,5.32051927267678
mp-1178563,AgAsO3,Ag,As,O,R-3,0,-26.63466162,6.12713900547965
mp-775767,AgAsO3,Ag,As,O,C2/c,0.0372678645000057,-26.43810733,5.03052795224848
mp-776165,AgAuO3,Ag,Au,O,Fd-3m,0.0593819920416694,-20.6572657425,8.56917224999458
mp-752678,AgAuO3,Ag,Au,O,Cmcm,0.418690363541669,-20.436227555,7.96334062103367
mp-775774,AgBiO3,Ag,Bi,O,Cmmm,0.026863360999986,-24.633184925,7.84322658960505
mp-23548,AgBiO3,Ag,Bi,O,R-3,0.0488216819999865,-24.524536485,7.83602290690699
mp-780275,AgBO3,Ag,B,O,R-3c,0.0851976207083345,-29.800182965,5.03521879250732
mp-985292,AgBO3,Ag,B,O,Pm-3m,1.03971330270833,-25.03867502,6.54874680026596
mp-1178562,AgBrO3,Ag,Br,O,R3m,0.0016109087916707,-18.66179941,4.57296444528785
mp-776199,AgClO3,Ag,Cl,O,P2_1/c,0.0486049455000011,-19.43060952,4.11192348404495
mp-775761,AgClO3,Ag,Cl,O,P2_13,0.0315841525000007,-19.515443365,4.02164684154748
mp-27941,AgClO3,Ag,Cl,O,I4/m,0.0382847265000006,-19.479343065,4.13444242678425
mp-1178561,AgClO3,Ag,Cl,O,R3m,0.0928175745000006,-19.20856268,4.13425987706201
mp-753176,AgCO3,Ag,C,O,R-3c,0.0035800969999995,-31.014519825,4.66130612898133
mp-891880,AgGeO3,Ag,Ge,O,Pbam,0.0845761869583281,-26.8923292375,5.1841878936333
mp-891854,AgGeO3,Ag,Ge,O,Pmma,0.0869077203333282,-26.900301655,4.98491318286869
mp-779706,AgGeO3,Ag,Ge,O,P2_12_12,0.0907621188333279,-26.8930659325,5.18419888830301
mp-759939,AgGeO3,Ag,Ge,O,Pmma,0.112304915333328,-26.792951205,6.66947876629855
mp-779664,AgGeO3,Ag,Ge,O,Pmc2_1,0.0863577643333278,-26.914833775,4.985150661529
mp-27384,AgIO3,Ag,I,O,Pca2_1,0,-20.69355764375,5.65583460978469
mp-1202188,AgIO3,Ag,I,O,Pbca,0.0109432500000004,-20.63926917,5.79831128543912
mp-849271,AgIO3,Ag,I,O,Pnma,0.0274698735000003,-20.5576666975,5.65759584763595
mp-1178556,AgPbO3,Ag,Pb,O,R-3,0.110328907000002,-23.562874165,8.23510633514352
mp-776166,AgPdO3,Ag,Pd,O,Cmcm,0.438217555000001,-23.2228446225,6.51035621598347
mp-18702,AgPO3,Ag,P,O,P2_1/c,0,-30.82192584875,4.40552900872216
mp-775762,AgPO3,Ag,P,O,P2_1/c,0.0454448285000009,-30.5952955575,4.68793250531224
mp-5470,AgPS3,Ag,P,S,C2/m,0.0096905379999912,-21.442577375,3.11152908721451
mp-776168,AgRuO3,Ag,Ru,O,Fd-3m,0.0572183593333335,-29.85851858,6.42702471925485
mp-540872,AgSbO3,Ag,Sb,O,Fd-3m,0.00688871599998997,-26.8494631575,6.48163240229557
mp-860791,AgSbO3,Ag,Sb,O,C2,0.0436601923333217,-26.6681579433333,6.42037270146072
mp-677054,AgSbO3,Ag,Sb,O,P1,0.0597553393333223,-26.5875452258333,6.44836095808704
mp-545999,AgSbO3,Ag,Sb,O,R-3,0,-26.88737673,6.37523918318294
mp-755834,AgSnO3,Ag,Sn,O,Cmmm,0.0906154869999982,-26.375844405,6.77507279284434
