material_id,Name,mean_A2B,X_IEII,X_Z,mean_X2X,mean_A2X,X_Rvdw,A_Rvdw,X_EA,E_coh,X_Kappa,B_Kappa,A_IEI,A_ChiA,X_IEI,B_EA,X_MV,X_ChiP,std_A2X,A_Z,A_ChiP,A_Kappa,A_MP,B_ChiP,std_B2X,B_Z,B_MP,A_CvM,A_EA,B_Rho,B_IEI,B_Hf,density,A_B,OF,A_G,TF,X_Rho,B_MV,std_A2B,B_CvM
mp-1183115,AcAlO3,3.365151802867715,35.1211,8.0,2.7476349413442627,2.7476349413442627,1.52,2.47,141.0,-38.61665148,0.02658,235.0,5.17,,13.61805,42.5,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.61,0.0,13.0,933.47,0.12,33.77,2700.0,5.985768,10.71,8.546773823543099,4.0,0.3767605633802817,3.0,0.9186962783702458,1429.0,10.0,0.0,0.897
mp-1183052,AcBO3,3.223059015131116,35.1211,8.0,2.63161666598284,2.63161666598284,1.52,2.47,141.0,-35.462058279999994,0.02658,27.0,5.17,,13.61805,26.7,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,2.04,0.0,5.0,2349.0,0.12,33.77,2460.0,8.29802,50.2,9.20687875423318,4.0,0.1901408450704225,3.0,1.0627522036768229,1429.0,4.39,0.0,1.026
mp-866101,AcCrO3,3.4356777780396373,35.1211,8.0,2.8052191589387308,2.8052191589387308,1.52,2.47,141.0,-40.73602615,0.02658,94.0,5.17,,13.61805,64.3,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.66,0.0,24.0,2180.0,0.12,33.77,7140.0,6.76651,21.0,8.696487903698651,4.0,0.4330985915492958,3.0,0.8825804541591306,1429.0,7.23,0.0,0.449
mp-864606,AcCuO3,3.415887566974148,35.1211,8.0,2.7890605192679203,2.7890605192679203,1.52,2.47,141.0,-32.63320183999999,0.02658,400.0,5.17,,13.61805,118.4,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.9,0.0,29.0,1357.77,0.12,33.77,8920.0,7.72638,13.6,9.160948804131,4.0,0.3802816901408451,3.0,0.9163526654152198,1429.0,7.11,0.0,0.385
mp-861502,AcFeO3,3.4242027112688898,35.1211,8.0,2.795849806154498,2.795849806154498,1.52,2.47,141.0,-38.07095318,0.02658,80.0,5.17,,13.61805,15.7,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.83,0.0,26.0,1811.0,0.12,33.77,7874.0,7.9024,13.81,8.887499583258158,4.0,0.3873239436619718,3.0,0.9117011290425536,1429.0,7.09,0.0,0.449
mp-1183053,AcGaO3,3.444559275759345,35.1211,8.0,2.812470871460389,2.812470871460389,1.52,2.47,141.0,-34.76114639,0.02658,29.0,5.17,,13.61805,28.9,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.81,0.0,31.0,302.91,0.12,33.77,5904.0,5.999301,5.585,9.097096167289246,4.0,0.4366197183098592,3.0,0.8804172667714856,1429.0,11.8,0.0,0.373
mp-1183142,AcMgO3,3.4781776261350243,35.1211,8.0,2.8399201395985623,2.8399201395985623,1.52,2.47,141.0,-33.10043236,0.02658,160.0,5.17,,13.61805,0.0,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.31,0.0,12.0,923.0,0.12,33.77,1738.0,7.646235,8.48,7.671750593485476,4.0,0.6267605633802817,3.0,0.7775113524735198,1429.0,14.0,0.0,1.023
mp-864911,AcMnO3,3.4394024919125554,35.1211,8.0,2.8082868880259637,2.808285184186541,1.52,2.47,141.0,-39.98764153,0.02658,7.8,5.17,,13.61805,0.0,17.36,3.44,6.97636196147323e-06,89.0,1.1,12.0,1323.0,1.55,1.559216455156181e-05,25.0,1519.0,0.12,33.77,7470.0,7.43402,12.91,8.745817644845525,4.0,0.4542253521126761,3.0,0.8697584620890222,1429.0,7.35,0.0,0.479
mp-1183139,AcNiO3,3.408336298424868,35.1211,8.0,2.7828949343157663,2.7828949343157663,1.52,2.47,141.0,-31.63341665,0.02658,91.0,5.17,,13.61805,112.0,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,1.91,0.0,28.0,1728.0,0.12,33.77,8908.0,7.6398,17.48,9.089842155185556,4.0,0.3943661971830986,3.0,0.907096577885773,1429.0,6.59,0.0,0.444
mp-1183145,AcPdO3,3.544111429057609,35.1211,8.0,2.8937548642524145,2.8937548642524145,1.52,2.47,141.0,-31.355990980000005,0.02658,72.0,5.17,,13.61805,53.7,17.36,3.44,0.0,89.0,1.1,12.0,1323.0,2.2,0.0,46.0,1828.05,0.12,33.77,12023.0,8.3369,16.74,9.240972871861077,4.0,0.5352112676056339,3.0,0.8238767083549683,1429.0,8.56,0.0,0.244
