material_id,Name,X_EA,X_Rvdw,X_Z,mean_A2B,X_G,X_IEII,mean_X2X,A_Rvdw,A_ChiA,A_IEI,B_Z,B_Hf,B_Ra,mean_A2X,std_B2X,OF,A_EA,std_A2X,B_Rho,E_coh,A_ChiP,B_CvM,B_MP,B_Rc,TF,B_Rvdw,A_MP,std_X2X,A_Kappa,X_MV
mp-1183115,AcAlO3,141.0,1.52,8.0,3.365151802867715,16.0,35.1211,2.7476349413442627,2.47,,5.17,13.0,10.71,1.25,2.7476349413442627,0.0,0.3767605633802817,33.77,0.0,2700.0,-38.61665148,1.1,0.897,933.47,121.0,0.9186962783702458,1.84,1323.0,0.0,12.0,17.36
mp-1183052,AcBO3,141.0,1.52,8.0,3.223059015131116,16.0,35.1211,2.63161666598284,2.47,,5.17,5.0,50.2,0.85,2.63161666598284,0.0,0.1901408450704225,33.77,0.0,2460.0,-35.462058279999994,1.1,1.026,2349.0,84.0,1.0627522036768229,1.92,1323.0,0.0,12.0,17.36
mp-866101,AcCrO3,141.0,1.52,8.0,3.4356777780396373,16.0,35.1211,2.8052191589387308,2.47,,5.17,24.0,21.0,1.4,2.8052191589387308,0.0,0.4330985915492958,33.77,0.0,7140.0,-40.73602615,1.1,0.449,2180.0,139.0,0.8825804541591306,2.06,1323.0,0.0,12.0,17.36
mp-864606,AcCuO3,141.0,1.52,8.0,3.415887566974148,16.0,35.1211,2.7890605192679203,2.47,,5.17,29.0,13.6,1.35,2.7890605192679203,0.0,0.3802816901408451,33.77,0.0,8920.0,-32.63320183999999,1.1,0.385,1357.77,132.0,0.9163526654152198,1.96,1323.0,0.0,12.0,17.36
mp-861502,AcFeO3,141.0,1.52,8.0,3.4242027112688898,16.0,35.1211,2.795849806154498,2.47,,5.17,26.0,13.81,1.4,2.795849806154498,0.0,0.3873239436619718,33.77,0.0,7874.0,-38.07095318,1.1,0.449,1811.0,132.0,0.9117011290425536,2.04,1323.0,0.0,12.0,17.36
mp-1183053,AcGaO3,141.0,1.52,8.0,3.444559275759345,16.0,35.1211,2.812470871460389,2.47,,5.17,31.0,5.585,1.3,2.812470871460389,0.0,0.4366197183098592,33.77,0.0,5904.0,-34.76114639,1.1,0.373,302.91,122.0,0.8804172667714856,1.87,1323.0,0.0,12.0,17.36
mp-1183142,AcMgO3,141.0,1.52,8.0,3.4781776261350243,16.0,35.1211,2.8399201395985623,2.47,,5.17,12.0,8.48,1.5,2.8399201395985623,0.0,0.6267605633802817,33.77,0.0,1738.0,-33.10043236,1.1,1.023,923.0,141.0,0.7775113524735198,1.73,1323.0,0.0,12.0,17.36
mp-864911,AcMnO3,141.0,1.52,8.0,3.4394024919125554,16.0,35.1211,2.8082868880259637,2.47,,5.17,25.0,12.91,1.4,2.808285184186541,1.559216455156181e-05,0.4542253521126761,33.77,6.97636196147323e-06,7470.0,-39.98764153,1.1,0.479,1519.0,139.0,0.8697584620890222,2.05,1323.0,9.51220817384441e-06,12.0,17.36
mp-1183139,AcNiO3,141.0,1.52,8.0,3.408336298424868,16.0,35.1211,2.7828949343157663,2.47,,5.17,28.0,17.48,1.35,2.7828949343157663,0.0,0.3943661971830986,33.77,0.0,8908.0,-31.63341665,1.1,0.444,1728.0,124.0,0.907096577885773,1.97,1323.0,0.0,12.0,17.36
mp-1183145,AcPdO3,141.0,1.52,8.0,3.544111429057609,16.0,35.1211,2.8937548642524145,2.47,,5.17,46.0,16.74,1.4,2.8937548642524145,0.0,0.5352112676056339,33.77,0.0,12023.0,-31.355990980000005,1.1,0.244,1828.05,139.0,0.8238767083549683,2.1,1323.0,0.0,12.0,17.36
mp-1183152,AcScO3,141.0,1.52,8.0,3.5723873877275247,16.0,35.1211,2.916842087828855,2.47,,5.17,21.0,14.1,1.6,2.916842087828855,0.0,0.6126760563380282,33.77,0.0,2985.0,-40.14816712,1.1,0.568,1814.0,170.0,0.7843018446348605,2.15,1323.0,0.0,12.0,17.36
mp-1183150,AcSiO3,141.0,1.52,8.0,3.4382582560101618,16.0,35.1211,2.807326110378823,2.47,,5.17,14.0,50.21,1.1,2.807326110378823,0.0,0.2816901408450704,33.77,0.0,2330.0,-36.1543926,1.1,0.712,1687.0,111.0,0.9868413319856212,2.1,1323.0,0.0,12.0,17.36
mp-865927,AcTiO3,141.0,1.52,8.0,3.476924377298949,16.0,35.1211,2.8388968662088545,2.47,,5.17,22.0,14.15,1.4,2.8388968662088545,0.0,0.471830985915493,33.77,0.0,4507.0,-41.12338005,1.1,0.524,1941.0,160.0,0.8593546527338903,2.11,1323.0,0.0,12.0,17.36
mp-1183168,AcVO3,141.0,1.52,8.0,3.470679805153308,16.0,35.1211,2.8337981944025823,2.47,,5.17,23.0,21.5,1.35,2.8337981944025823,0.0,0.4507042253521127,33.77,0.0,6110.0,-38.66000943,1.1,0.489,2183.0,153.0,0.8718695263173936,2.07,1323.0,0.0,12.0,17.36
mp-558950,AgAsO3,141.0,1.52,8.0,4.289092909955594,16.0,35.1211,3.7521694806187487,2.11,1.87,7.57623,33.0,24.44,1.15,3.776634894827807,1.1185598634904952,0.323943661971831,125.6,0.8895478100741403,5727.0,-26.09253479375,1.93,0.329,1090.0,119.0,1.0155256963849353,1.85,1234.93,0.8213042409077983,430.0,17.36
mp-1178563,AgAsO3,141.0,1.52,8.0,3.578134586952932,16.0,35.1211,2.696701752080064,2.11,1.87,7.57623,33.0,24.44,1.15,2.548842889037724,0.0094742580141865,0.323943661971831,125.6,0.1493249889846516,5727.0,-26.2286895,1.93,0.329,1090.0,119.0,1.0155256963849353,1.85,1234.93,0.168452413462838,430.0,17.36
mp-775767,AgAsO3,141.0,1.52,8.0,3.693050463718917,16.0,35.1211,3.357780579417788,2.11,1.87,7.57623,33.0,24.44,1.15,3.3830749097938644,1.1605815417780954,0.323943661971831,125.6,0.8803626502446913,5727.0,-26.032135210000003,1.93,0.329,1090.0,119.0,1.0155256963849353,1.85,1234.93,0.4528293205316265,430.0,17.36
mp-776165,AgAuO3,141.0,1.52,8.0,4.020204473361742,16.0,35.1211,3.2832045292409697,2.11,1.87,7.57623,79.0,12.55,1.35,3.314026446501334,0.9551509621777832,0.4014084507042253,125.6,0.8661309367543234,19300.0,-20.307457622500003,1.93,0.129,1337.33,136.0,0.9593911101526024,2.14,1234.93,0.6908570938017032,430.0,17.36
