material_id,Name,Coeff_A,unscaled_Coeff_A
mp-1183115,AcAlO3,-0.5784943008054739,6.470434533247272e-08
mp-1183052,AcBO3,-0.8134459110577836,5.818784551007609e-08
mp-866101,AcCrO3,-0.35224139965531265,7.097958212943887e-08
mp-864606,AcCuO3,-0.4556816901954619,6.81106141993631e-08
mp-861502,AcFeO3,-0.3462220710678139,7.114653120303431e-08
mp-1183053,AcGaO3,-0.10756919189093139,7.776568756080738e-08
mp-1183142,AcMgO3,-0.3449162566356989,7.1182748616083e-08
mp-864911,AcMnO3,-0.2701126134163303,7.325746488310565e-08
mp-1183139,AcNiO3,-0.22280456465702514,7.456957715595573e-08
mp-1183145,AcPdO3,-0.0408878209773178,7.961512856378283e-08
mp-1183152,AcScO3,-0.1240996143438764,7.730720806852776e-08
mp-1183150,AcSiO3,-0.612317405286916,6.376624469928475e-08
mp-865927,AcTiO3,-0.3008587209224629,7.240470629214329e-08
mp-1183168,AcVO3,-0.3002949508361894,7.242034273601838e-08
mp-558950,AgAsO3,-0.5670821642978439,6.502086661719715e-08
mp-1178563,AgAsO3,-0.7687601007492191,5.94272286946676e-08
mp-775767,AgAsO3,-0.632717805779464,6.320042944037359e-08
mp-776165,AgAuO3,-0.3829988002889948,7.012651031796444e-08
mp-752678,AgAuO3,-0.42121289636463644,6.906662334795157e-08
mp-775774,AgBiO3,-0.30807779509059685,7.220448167787487e-08
mp-23548,AgBiO3,-0.32418825069976975,7.1757650174983e-08
mp-780275,AgBO3,-1.0353409965327387,5.203347489931322e-08
mp-985292,AgBO3,-1.043277964429457,5.181333914525821e-08
mp-1178562,AgBrO3,-0.48121594177645477,6.740240902590682e-08
mp-776199,AgClO3,-0.5037377545929473,6.677775534057512e-08
mp-775761,AgClO3,-0.5005097007855355,6.686728701920501e-08
mp-27941,AgClO3,-0.5158312886215839,6.644233515654178e-08
mp-1178561,AgClO3,-0.5281450607073381,6.610080656040371e-08
mp-753176,AgCO3,-1.0274166350563547,5.225326100802731e-08
mp-891880,AgGeO3,-0.5972761760385339,6.418342067701247e-08
mp-891854,AgGeO3,-0.660291115582659,6.243566997248804e-08
mp-779706,AgGeO3,-0.6003448637919959,6.409830909518951e-08
mp-759939,AgGeO3,-0.7605844176832761,5.965398533272586e-08
mp-779664,AgGeO3,-0.6582833161570818,6.249135728863852e-08
mp-27384,AgIO3,-0.2806403799460071,7.296547203978274e-08
mp-1202188,AgIO3,-0.2800013075615766,7.298319703036768e-08
mp-849271,AgIO3,-0.2556188019092289,7.36594579573836e-08
mp-1178556,AgPbO3,-0.27678735126586673,7.307233770749558e-08
mp-776166,AgPdO3,-0.4689806703944157,6.774176036596535e-08
mp-18702,AgPO3,-0.7598515506455712,5.967431176469164e-08
mp-775762,AgPO3,-0.8500087588024954,5.717375673418363e-08
mp-5470,AgPS3,-0.30816732797644164,7.220199843873434e-08
mp-776168,AgRuO3,-0.565309142490392,6.507004225928344e-08
mp-540872,AgSbO3,-0.5240995273506073,6.621301144111223e-08
mp-860791,AgSbO3,-0.454588787253833,6.814092640627828e-08
mp-677054,AgSbO3,-0.42040894874110535,6.908892123533497e-08
mp-545999,AgSbO3,-0.5606103313738018,6.520036612373303e-08
mp-755834,AgSnO3,-0.44554636650062207,6.839172244538205e-08
mp-1404877,AlAgO3,-0.8236300433894712,5.790538353222696e-08
mp-1183169,AlAgO3,-0.9096791428152784,5.551876894157361e-08
mp-1253488,AlAgO3,-0.8219403017047568,5.7952249358668893e-08
mp-1343733,AlAgO3,-0.8273032350693228,5.7803505733204104e-08
mp-1343327,AlAgO3,-0.8279338822673594,5.778601441935617e-08
mp-1418444,AlAgO3,-0.7319838589056502,6.044723606207688e-08
mp-1183159,AlAuO3,-0.6435858709673141,6.289899824443343e-08
mp-1376082,AlBiO3,-0.44488834465730065,6.840997300863861e-08
mp-23080,AlBiO3,-0.4787114521946876,6.74718722906925e-08
mp-551918,AlBiO3,-0.5286342044080214,6.608723991646709e-08
mp-1413511,AlBiO3,-0.22563102251461942,7.449118394082839e-08
mp-1344602,AlBiO3,-0.41907600950165147,6.912589096841252e-08
mp-1392353,AlBiO3,-0.3684241928765033,7.053074430688245e-08
mp-775763,AlBiO3,-0.4625166451253051,6.792104332330661e-08
mp-8110,AlBO3,-1.554260766544033,3.7640976863290724e-08
mp-1435808,AlCoO3,-0.9577591941046819,5.4185244794402386e-08
mp-1386773,AlCoO3,-0.9775080819769784,5.363749956220691e-08
mp-1348445,AlCoO3,-0.9635581854684148,5.4024406883348e-08
mp-1378752,AlCoO3,-1.0507596497217122,5.160583088078685e-08
mp-1404938,AlCoO3,-1.0520383093790429,5.157036661892904e-08
mp-1248478,AlCoO3,-0.9590444311439512,5.41495981055836e-08
mp-776216,AlCoO3,-1.0802666410735355,5.0787439792949114e-08
mp-1178576,AlCoO3,-1.0915119332677534,5.047554601827898e-08
mp-756947,AlCoO3,-0.9984024949336714,5.3057982621781805e-08
mp-754022,AlCoO3,-1.0833218427331275,5.070270225465032e-08
mp-1385937,AlCrO3,-0.9574648987492651,5.4193407222526396e-08
mp-1345463,AlCrO3,-1.0181111977289987,5.251135194269219e-08
mp-1383064,AlCrO3,-0.9717891898011715,5.379611588242677e-08
mp-1251690,AlCrO3,-0.963292852381997,5.4031766028529686e-08
mp-776172,AlCuO3,-1.1446719250161124,4.900112719469749e-08
mp-1504314,AlCuO3,-1.0634666207441228,5.125339671648461e-08
mp-1347317,AlCuO3,-1.1272369802642999,4.9484694063026985e-08
mp-1412082,AlCuO3,-1.106032854188399,5.007280105092674e-08
mp-1253258,AlCuO3,-1.0833795219089524,5.070110249400763e-08
mp-1178579,AlCuO3,-1.1697778324356847,4.830480235970249e-08
mp-1178577,AlFeO3,-1.1219782788581512,4.9630546763259195e-08
mp-1254277,AlFeO3,-1.0313130814695768,5.2145191127882744e-08
mp-1259818,AlFeO3,-1.0326420073981382,5.2108332705979825e-08
mp-776154,AlFeO3,-1.0793646215060022,5.081245775450008e-08
mp-1421498,AlFeO3,-0.975996496156327,5.367942414710861e-08
mp-1398131,AlFeO3,-0.9724395141930273,5.3778078811816876e-08
mp-21216,AlFeO3,-0.8602894466001914,5.6888616742438696e-08
mp-1264966,AlFeO3,-1.0338730647065262,5.20741887189569e-08
mp-756686,AlGaO3,-1.0068802763011035,5.2822847137007464e-08
mp-772187,AlGaO3,-0.8274960302399137,5.779815846321278e-08
mp-772898,AlGaO3,-0.8310253253895894,5.770027170605735e-08
mp-1178550,AlInO3,-0.7200254158959609,6.077890942947835e-08
mp-1183160,AlInO3,-0.7074409352266997,6.112794626288473e-08
mp-754157,AlInO3,-0.6620568216971634,6.238669723478594e-08
mp-504482,AlInS3,0.07769017631768804,8.290394832323563e-08
mp-862787,AlInSe3,0.46912204388399914,9.376050594689707e-08
mp-1183133,AlIrO3,-0.8565766126397989,5.6991594039838376e-08
mp-1246835,AlMoN3,-0.9151128933081338,5.536806116781707e-08
mp-1433892,AlMoO3,-0.8515500514951952,5.7131008214403514e-08
mp-1389151,AlMoO3,-0.8390885540607655,5.747663404659531e-08
mp-1248370,AlMoO3,-0.8781828381553538,5.6392334623894916e-08
mp-1373731,AlMoO3,-0.8828551336713701,5.626274618282142e-08
mp-1416557,AlNiO3,-0.9374499599573198,5.474853150936541e-08
mp-1400395,AlNiO3,-0.965363705383723,5.397432989006924e-08
mp-1333178,AlNiO3,-0.9227851219330603,5.515526808919961e-08
mp-1376903,AlNiO3,-1.007205336849367,5.281383142095107e-08
mp-1183176,AlNiO3,-1.0259012425876364,5.2295291172207327e-08
mp-1183154,AlPbO3,-0.344852799706004,7.118450862560428e-08
mp-776116,AlPdO3,-0.7647284551012916,5.953904839286193e-08
mp-1178574,AlPdO3,-0.7726747785015675,5.931865315926044e-08
mp-1178547,AlRhO3,-0.8676813887132369,5.668359754969897e-08
mp-1371447,AlSbO3,-0.770258610235814,5.938566678839775e-08
mp-1374707,AlSbO3,-0.8188980474639465,5.803662779386513e-08
mp-1261047,AlSbO3,-0.8185817584159452,5.8045400227997046e-08
mp-1183134,AlSbO3,-0.8248491562306555,5.787157083094551e-08
mp-1384267,AlSbO3,-0.7271397449334245,6.05815899735303e-08
mp-1421511,AlSbO3,-0.6428556500112563,6.291925128600803e-08
mp-1079481,AlSBr3,0.568796684576121,9.652503170464838e-08
mp-1183132,AlSiO3,-1.3988799691997968,4.195054059520222e-08
mp-1406914,AlSnO3,-0.681878738095449,6.183692652008314e-08
mp-1248301,AlSnO3,-0.7446443992892142,6.009608967464698e-08
mp-1340379,AlSnO3,-0.7331439773742119,6.041505959907576e-08
mp-1426094,AlSnO3,-0.5750538011818094,6.479976930152952e-08
mp-768539,AlTlO3,-0.451845042969623,6.821702551928949e-08
mp-765647,AlVO3,-0.84825594998604,5.722237175890664e-08
mp-1395974,AlVO3,-0.9505875733636202,5.4384153264258105e-08
mp-1248251,AlVO3,-0.9915576663934189,5.32478273473361e-08
mp-1178549,AlVO3,-1.097431801677331,5.031135552220961e-08
mp-802021,AlVO3,-0.8252745606255587,5.7859772028371405e-08
mp-1183128,AlVO3,-1.08757222608034,5.058481575752233e-08
mp-1384488,AlVO3,-0.9353486170075485,5.480681330170671e-08
mp-756082,AlVO3,-1.0482328117233664,5.1675913990026926e-08
mp-1246403,AlWN3,-0.7471783410953705,6.00258095377624e-08
mp-1417649,AlWO3,-0.8118336594186673,5.8232562111544275e-08
mp-1400236,AlWO3,-0.7573528593981393,5.974361420978928e-08
mp-1251647,AlWO3,-0.7814409721927547,5.907551841517262e-08
mp-1046804,AlWO3,-0.8014361203657074,5.852094303099919e-08
mp-755240,AsAuO3,-0.4776395566745748,6.750160184631862e-08
mp-27274,AsCF3,-0.5560648328287172,6.53264377877235e-08
mp-1183283,BaAlO3,-0.6475396133617863,6.278933923173837e-08
mp-1183287,BaAuO3,0.05049437554370684,8.214965925612403e-08
mp-1183282,BaBeO3,-0.848598008253262,5.721288460265685e-08
mp-545783,BaBiO3,0.3316165852684776,8.994672362940472e-08
mp-644369,BaBiO3,0.12432176504495374,8.419729864049022e-08
mp-1227955,BaBiO3,0.4438153539318108,9.305861230845047e-08
mp-23438,BaBiO3,0.32929475027040667,8.988232638038687e-08
mp-559051,BaBiO3,0.3248823623868162,8.975994660682888e-08
mp-22942,BaBiO3,0.34204464356542985,9.023595101527817e-08
mp-23482,BaBiO3,0.3254702187118994,8.977625109452269e-08
mp-1182285,BaBiO3,0.16333050695693885,8.527922550819027e-08
mp-27365,BaBiSe3,1.2949809663914067,1.1666611411048818e-07
mp-1214407,BaBO3,-0.8699534880465762,5.6620579744090945e-08
mp-1183285,BaCaO3,0.034907374699614024,8.171734603161304e-08
mp-1183292,BaCdO3,0.17959194889940022,8.573024469216678e-08
mp-4900,BaCeO3,0.16304089439206848,8.527119295959222e-08
